title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Book of Hours, use of Rouen",,,,,,Book of hours,Q795
"Book of Hours, use of Langres",,,,,,Book of hours,Q795
"Book of Hours, use of St. Quentin",,,,,,Book of hours,Q795
Psalter and prayers,,,,,,Psalter,Q660
Devotions,,,,,,Devotional texts,Q5966
"Book of Hours, undetermined use",,,,,,Book of hours,Q795
"Book of Hours, use of Châlons-sur-Marne",,,,,,Book of hours,Q795
"Book of Hours, use of Rome",,,,,,Book of hours,Q795
Prayerbook from Germany,,Nonnberg Passion (Woodcut set),,,,Nonnberg Passion,Q39690
"Offices for the week, compiled by Andrea Matteo Acquaviva",,,,,,Offices,Q40010
Prayer roll,,,,,,Prayer roll,Q39691
Fragment from a Book of Hours,,,,,,Book of hours,Q795
"Martyrology and Customal, the House of Bonshommes, Ashridge Priory",,,,,,Martyrology;Custumal,Q19946;Q39601
Processional,,,,,,Processional,Q1336
Choir breviary,,,,,,Breviary,Q657
Choir psalter,,,,,,Psalter,Q660
"Missal, use of Rome",,,,,,Missal,Q662
Evangeliary,,,,,,Evangeliary,Q20460
Martyrologium,,,,,,Martyrology,Q19946
"Monastic breviary, fragment",,,,,,Breviary,Q657
"Breviary, for Dominican use",,,,,,Breviary,Q657
Ritual,,,,,,Ritual,Q17539
"Rule and testament of St. Clare of Assisi, in Dutch",,,,,,Rule of Saint Clare,Q40029
"Meditations on the Passion, in Spanish",,,,,,Meditations on the Passion,Q39606
"Breviary, for Dominican use",,Breviary (Dominican),,,,Breviary,Q657
Diurnal for Dominican use,,Diurnal (Dominican),,,,Diurnal,Q1479
"Missal, use of York",,Missal (York),,,,Missal,Q662
"Breviary, use of Autun",,,,,,Breviary,Q657
Pontifical,,,,,,Pontifical,Q1375
"Missal, for Cistercian use",,,,,,Missal,Q662
"Book of Hours, use of Troyes",,,,,,Book of hours,Q795
Book of Hours,,,,,,Book of hours,Q795
Prayerbook,,,,,,Prayer book,Q1486
Dogali and Antiphonal fragments,,,,,,Antiphonary;Dogale,Q654;Q2827
"Portolan atlas, Italian; cartographic material",,,,,,Portolan atlas,Q2828
"Matheus de Chiara, Portolan atlas, 19th or early 20th-century forgery",,,,,,Portolan atlas;Forgery,Q2828;Q2829
"Matheus da Gaio, Portolan chart, 19th or 20th century forgery",,,,,,Portolan chart;Forgery,Q38411;Q2829
Portolan charts,,,,,,Portolan charts,Q39686
"Portolan atlas, engraved, with manuscript additions; cartographic material",,,,,,Portolan atlas,Q2828
"Portolan atlas, French; cartographic material",,,,,,Portolan atlas,Q2828
"Portolan atlas, Spanish; cartographic material",,,,,,Portolan atlas,Q2828
"Portolan atlas, Portuguese; cartographic material",,,,,,Portolan atlas,Q2828
Book of privileges of Columbus,,,,,,Privileges,Q4353
"Portolan chart, English; cartographic material",,,,,,Portolan chart,Q38411
"Portolan chart ; Nautical almanac, French; cartographic material",,,,,,Portolan chart,Q38411
"Portolan chart, French; cartographic material",,,,,,Portolan chart,Q38411
"Ptolemy, Geographia; cartographic material",,Geographia,,,,Geographia,Q39706
Portolan chart,,,,,,Portolan chart,Q38411
Derrotero,,,,,,Derrotero,Q39320
Presentation to the Audiencia de los Confines,,,,,,Presentation to the Audiencia de los Confines,Q39694
Letter to the Dominicans in Chiapa and Guatemala,,,,,,Letter to the Dominicans in Chiapa and Guatemala,Q39550
Relacion del comercio de las Indias,,,,,,Relacion del comercio de las Indias,Q39723
Johannes Hispanus Flos decretorum ; Martin of Troppau Margarita Decreti ; and other titles,,,,,,Flos decretorum,Q39464
Summa summarum,,,,,,Summa summarum,Q39813
Bible,,Bible,,,,Bible,Q661
"Works by Aegidius Romanus [i.e. Giles of Rome, Archbishop of Bourges] and Nicholas Trevet",,,,,,Works,Q5989
Statutes dating from the reign of Edward III to the reign of Edward IV,,,,,,Statute,Q7024
Prisciani grammatici viri disertissimi apocrisarii cesariensis urbis Rome constantinopolitane liber primus de arte grammatica incipit,,Institutio de arte grammatica,,,,Institutiones grammaticae,Q1343
Book of Hours and Psalter,,,,,,Book of hours;Psalter,Q795;Q660
"Works by Gautier de Metz, Jean de Meun, Geoffroi de Paris and Jacobus de Cessolis",,,,,,Works,Q5989
Confessio amantis,,,,,,Confessio amantis,Q12732
"Regularium scilicet communium sententiarum Index ex utroque Iure Canonico ac Civili selectus ordine alphabetico digestus, 1596",,,,,,Regularium,Q39720
Statutes primarily from the reigns of Henry III and Edward I,,"Laws, etc",,,,Laws,Q39985
Satires by Persius and Juvenal,,,,,,Satires,Q1364
Statutes and other legal writings,,,,,,Statute,Q7024
Tenures,,,,,,Tenures,Q39820
Governance of England ; Declaration upon Certain Writings Sent out of Scotland,,Difference between an absolute and limited monarchy,,,,Difference between an absolute and limited monarchy,Q39409
Register of writs,,,,,,Writ,Q1367
Modus coronationis ; Modus tenendi parliamentum ; and two other works,,,,,,Procedural texts,Q39619
Master of game,,,,,,Master of game,Q39604
Psalms in English,,Bible,,,,Psalter,Q660
Statutes,,,,,,Statute,Q7024
Fragment from a year book,,,,,,Year book,Q39397
Fragment from a Register of writs,,,,,,Register of writs,Q39396
"Statutes, roll",,,,,,Statute,Q7024
Bracton's De legibus et consuetudinibus Angliae and several leaves of Statutes,,De legibus et consuetudinibus Angliae,,,,De legibus et consuetudinibus Angliae,Q39233
Fragment from a cartulary,,,,,,Cartulary,Q3686
"Old Tenures, Natura brevium and Subject index to the statutes, Accusacions to Wurstede",,,,,,Miscellany,Q3673
Latin Bible,,Bible,,,,Bible,Q661
Bible and Missal,,Bible,,,,Bible;Missal,Q661;Q662
Peter Comestor's Historia scholastica and Peter of Poitiers' Historia actuum apostolorum,,Historia scholastica,,,,Historia scholastica;Historia Actuum Apostolorum,Q1372;Q55385
Abbreviated version of Adam of Eynsham's Magni vita sancti Hugonis,,,,,,Life of Hugo,Q39154
Miscellany,,,,,,Miscellany,Q3673
Towneley cycle,,Towneley plays,,,,Towneley plays,Q39835
Chester mystery cycle,,Chester plays,,,,Chester plays,Q39247
Traicté de peyne,,,,,,Traicté de peyne,Q39842
Satires of Juvenal and Persius,,,,,,Satires,Q1364
Life of St. Norbert,,,,,,Life of Saint Norbert,Q39572
Epistles of Paul ; Missal bifolium fragment,,Bible,,,,Bible;Missal,Q661;Q662
Summa de poenitentia et matrimonio,,Summa de poenitentia et matrimonio,,,,Summa de poenitentia et matrimonio,Q40045
Agnus castus with additional medical recipes,,,,,,Agnus castus,Q39171
Les XXI epistres des dames illustes traduicttes d'Ovide; par le Reverend Pere en Dieu Monseigneur l'Evesque de Angoulesme,,Heroides,,,,Heroides,Q39961
"Cato, Distichs, in English",,Catonis disticha,,,,Catonis disticha,Q39243
The Psalmes of David done into English verse by the most noble & vertuous gent. Sr. Phillipp Sidney Knt.,,Bible,,,,Psalms,Q5972
"Brut Chronicle, in English",,Chronicles of England,,,,Brut Chronicle,Q39915
The nativite of oure lady,,Life of our Lady,,,,Life of the Virgin Mary,Q7218
"The Psalmes of David metaphrased into verse by the noble, learnead & famous gent. Sr. Philip Sidney Knight",,Bible,,,,Psalms,Q5972
Mirroure of myserie /,,,,,,Mirroure of myserie,Q39617
Speculum Christiani,,,,,,Speculum Christiani,Q39800
Pricke of conscience,,Prick of conscience,,,,Prick of Conscience,Q40018
Chronicle,,,,,,Chronicle,Q1475
Almagest,,Almagest,,,,Almagest,Q354
Prose and poetry in English,,,,,,Prose;Poetry,Q39703;Q1330
Prick of conscience ; Piers Plowman ; and other works,,,,,,Prick of Conscience;Piers Plowman,Q40018;Q40016
Northern homily cycle,,Northern homily cycle,,,,Northern homily cycle,Q39639
Pricke of Conscience,,Prick of conscience,,,,Prick of Conscience,Q40018
"Brut chronicle, in English",,Chronicles of England,,,,Brut Chronicle,Q39915
Polychronicon,,,,,,Polychronicon,Q1120
Wycliffite New Testament,,Bible,,,,Wycliffite Bible,Q39891
Regiment of princes,,De regimine principum,,,,De regimine principum,Q39992
Piers Plowman,,Piers Plowman,,,,Piers Plowman,Q40016
Pricke of conscience.,,,,,,Prick of Conscience,Q40018
Book of vices and virtues,,Somme le Roi,,,,Somme le roi,Q7515
Here bygynneth þe proheme of þe boke þat men cleped þe mirrour of þe blessede lyfe of oure lord Ihesu criste et cetera,,Mirrour of the blessed lyf of Jesu Christi,,,,Mirror of the Blessed Life of Jesus Christ,Q18369
Vox clamantis and other Latin poems,,,,,,Vox clamantis,Q39879
Arcadia,,,,,,Arcadia,Q39201
Prayers based on the Psalms,,,,,,Prayers,Q798
Life of Cardinal Wolsey,,,,,,Life of Cardinal Wolsey,Q39567
"Album of English manuscripts; poems, epigrams and letters written between 1450 and 1790",,,,,,Miscellany,Q3673
Genealogical chronicle of the Kings of England,,,,,,Genealogy,Q5953
Scale of perfection,,,,,,Scale of perfection,Q7028
Misogonus,,,,,,Misogonus,Q39618
Wycliffe materials,,,,,,Wycliffite texts,Q39890
Devotional miscellany,,,,,,Devotional texts,Q5966
The clergy may not hold property,,,,,,Miscellany,Q3673
Explanationes notabiles super lectiones beati Iob,,,,,,Bible commentary;Commentary on Job,Q1433;Q1450
Liber Uricrisiarum,,,,,,Liber Uricrisiarum,Q39561
Miscellany of patristic literature,,,,,,Patristic texts,Q20452
Astrolabium,,,,,,Astrolabium,Q39210
Report on the conclave electing Alexander VII,,,,,,Papal conclave text,Q39733
Relatione del stato di Milano,,,,,,Relatione del stato di Milano,Q39725
Treatise on the government of France under Henry IV,,,,,,Text on the government of France under Henry IV,Q39848
Discorso della virtù femminile,,,,,,Discorso della virtù femminile,Q39346
Prima pars de ymittacione christi et contemptu omnium vanitatum mundi et cetera,,Imitatione Christi,,,,Imitatione Christi,Q39695
Roman de la Rose,,,,,,Roman de la rose,Q7852
Manuel des péchés,,,,,,Manuel des péchés,Q39592
Statutes of the Archdeaconry of London,,,,,,Statute,Q7024
De casibus vivorum illustrium in French,,De casibus virorum illustrium,,,,De casibus virorum illustrium,Q362
Mensulae planetarum,,,,,,Mensulae planetarum,Q39609
Factorum et dictorum memorabilium libri novem,,Factorum et dictorum memorabilium libri IX,,,,Factorum et dictorum memorabilium libri IX,Q1469
De oratore,,,,,,De oratore,Q10841
Epistolae ad familiares,,,,,,Epistolae ad familiares,Q19958
Vita Bruti,,Brutus,,,,Life of Brutus,Q39867
Aeneid,,Aeneis,,Aeneid,Q5978,,
Eloquentię principis M. Tullii Ciceronis Ad Brutum Tusculanarum Quęstionum,,Tusculanae disputationes,,,,Tusculanae disputationes,Q1404
Pharsalia,,,,,,Pharsalia,Q39930
Nicomachean ethics,,Nicomachean ethics,,,,Nicomachean ethics,Q369
Chronicles,,,,,,Chronicle,Q1475
De animalibus,,,,,,De animalibus,Q5047
Georgics ; Aeneid ; and other Latin verse,,,,,,Latin poetry,Q39405
De ludo scachorum,,,,,,De ludo scachorum,Q39942
Works by and attributed to Ovid,,,,,,Works of Ovid,Q39885
De coniuratione Catiline et Bellum Jugurthinum,,Bellum Catilinae,,,,Bellum Catilinae;Bellum Jugurthinum,Q17541;Q17597
Works,,,,,,Works,Q5989
"Psalter, with collects",,,,,,Psalter,Q660
"Theotokarion, in Greek",,,,,,Theotokarion,Q39828
Psalter,,,,,,Psalter,Q660
Psalter,,Bible,,Psalter,Q660,,
Works by Ephraem and othe church fathers,,,,,,Works;Patristic texts,Q5989;Q20452
Etymologies and correspondence by Isidore of Seville,,Etymologiae,,,,Etymologiae,Q359
Gospels in Greek,,,,,,Gospels,Q6034
Die Vierundzwanzig Alten,,,,,,Die vierundzwanzig alten,Q39343
Report on Switzerland,,,,,,Report on Switzerland,Q39732
Instructions to the Ambassador to the Court of Spain,,,,,,Instructions to the Ambassador to the Court of Spain,Q39457
Medical recipes and leaves from a Missal,,,,,,Medical texts;Missal,Q817;Q662
Mirrour of the blessed lyf of Jesu Christi,,,,,,Mirror of the Blessed Life of Jesus Christ,Q18369
Grand coutumier and Decisions of the Norman Exchequer,,,,,,Grand coutumier,Q39953
"Meditations on the Psalms, in Flemish",,,,,,Meditations on Psalms,Q39607
