subject_as_recorded,source_authority_uri,authorized_label,structured_value
"Beeleye, John de",,,
"Beeleye, Margery de",,,
"Bokenham, William",,,
"Costyn, John.--(Dyer)",,,
"Cuenca, Alonso Gaytan de",,,
"Cuenca, Francisco Gaytan de",,,
"Cuenca, Juan Gaytan de",,,
Dhūrtasvāmī.--Āpastambaśrautasūtra dhūtasvāmibhāṣya,,,
"Dulaert, Johannes",,,
"Ede, William,--witness",,,
"Elys, John",,,
"Garcia y la Puente, Johan",,,
"Golle, John",,,
"Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān,--active 10th century.--Risālah",,,
"Martini, Luca",,,
Pseudo-Ptolemy.--Centiloquium,,,
"Rucellai, Cosimo",,,
"Soderini, Giovanni di Luigi",,,
"Sveti Nikola (Abbey : Šibenik, Croatia)",,,
"Vettori, Jacopo",,,
"Wryghte, Thomas",,,
"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf,--1611-1688.--Sharḥ Mukhtaṣar Khalīl",,,
