row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
184,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.697738Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.340393600Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.365313600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.892652900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.894741700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.377268700Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.950252700Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.262976100Z",Cancon (France),,,
374,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.703737700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.345388700Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.369315Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.893652800Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:06.941895200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.379268300Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.952253Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.273972800Z",Corró de Munt (Spain),,,
1153,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.731731500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.366390200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.384313200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.898659600Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:07.246926200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.392266100Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.957251900Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.309972800Z",Małogoszcz (Poland),,,
1256,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.738734700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.368392700Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.386311Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.898659600Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:07.258948800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.393266700Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.958251200Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.313971200Z",Montedoglio (Italy),,,
1429,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.743736Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.372390500Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.389313500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.899661200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:07.286942500Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.397269200Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.959250700Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.317972900Z","Piccolomini, Roma di",,,
1606,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.749733100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.375388600Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.392311300Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.900661100Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:07.309493500Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.400271100Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.961251200Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.322971600Z",Saint-Geoire-en-Valdaine (France),,,
1871,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.755736300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.381388900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.396310900Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.901655500Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:07.364175500Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.404267800Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.964253Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.330976900Z",Val Secret (France),,,
1872,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-17T14:24:24.755736300Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-01-17T14:31:08.381388900Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T03:49:13.396310900Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-01-18T04:06:52.901655500Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T04:07:07.364175500Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-01-18T04:15:39.404267800Z | KNOWN SUBJECT RECON APPLIED 2023-01-18T17:34:21.964253Z | SUBJECT RECON, STEP 12: FINALIZED 2023-01-24T16:31:42.330976900Z",Valdenoceda (Spain),,,
