row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
2,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.857Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Account books,rbgenr,,,
7,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.857Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Annotations (Provenance),rbprov,,,
9,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.857Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Antiphonaries,rbgenr,,,
10,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.857Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Armorial bindings,rbbin,,,
13,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.858Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Biographies,rbgenr,,,
15,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.858Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Bookplates (Provenance),rbprov,,,
16,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.858Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Books of hours,rbgenr,,,
20,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.858Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Calendars--14th century,rbgenr,,,
30,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.858Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Contracts,rbgenr,,,
31,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-12T15:31:32.869Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-07-12T15:31:55.391Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-07-12T15:32:45.441Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-07-12T15:34:57.274Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-07-12T15:36:13.261Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-07-12T15:37:49.858Z | GENRE RECON, STEP 7: FINALIZED 2022-07-12T15:54:24.261Z",Cords,rbbin,,,
