row_index,workflow_history,subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
211,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.226680700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.451365700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.217798700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.167945800Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.893476500Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.569365200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.851990Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.717864300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.287937800Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.558327600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.420062700Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.645610800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.488269800Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.400274500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.092123800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.652668200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.038318400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.690714Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.738003600Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.464393600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.939542200Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.836698700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.296057900Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.618672400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.350704300Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.144087Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.033238800Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.555123500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.141814200Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.112839900Z",Cancon (France),a,0,,,
427,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.227684400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.451365700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.218798600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.168948300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.894480900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.569365200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.852987400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.718861900Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.288937900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.559324300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.421061700Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.646611900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.489271100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.401272100Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.093124500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.653670800Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.039317500Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.691716900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.739001100Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.465393900Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.940540Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.837698Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.297059300Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.619673200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.351704200Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.145088500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.034237500Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.556124Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.142812700Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.113840900Z",Corró de Munt (Spain),a,0,,,
1296,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.230679Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.455363500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.224796800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.171947800Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.898473100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.572366500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.855986300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.721860500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.292936100Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.561323600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.424063400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.650609500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.493272600Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.404268900Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.096122900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.656666800Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.042318100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.694714Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.742999900Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.468389600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.944535Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.840695600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.301052700Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.622670500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.355704800Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.148086200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.039237600Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.559123800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.145807400Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.115840Z",Małogoszcz (Poland),a,0,http://id.loc.gov/authorities/names/no2015103671,,
1414,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.230679Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.455363500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.225797100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.171947800Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.899474700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.573366300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.855986300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.721860500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.293937400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.562328600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.425065800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.650609500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.493272600Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.404268900Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.096122900Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.656666800Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.042318100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.694714Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.743999700Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.468389600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.944535Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.840695600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.302052600Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.622670500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.355704800Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.148086200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.040234100Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.559123800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.146804400Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.116839400Z",Montedoglio (Italy),a,0,,,
1600,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.230679Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.455363500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.226795900Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.172945200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.899474700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.573366300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.856986500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.722859400Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.294939600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.563323700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.425065800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.651608900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.495272600Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.405266700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.097121600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.657673100Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.043317300Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.695714200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.745000400Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.469389200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.945538200Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.841700500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.302052600Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.623673Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.356705800Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.149084900Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.040234100Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.560123300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.146804400Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.117839900Z","Piccolomini, Roma di.",a,0,,,
1804,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.231680100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.456362300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.227797100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.173945300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.900473200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.574365900Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.857986400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.723859400Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.294939600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.563323700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.426064800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.652607700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.496270800Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.406497200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.098121300Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.658667600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.044317100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.696712100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.746004500Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.470389100Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.946535300Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.842699200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.303053300Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.623673Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.357703Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.149084900Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.041234700Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.561123500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.147801900Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.117839900Z",Saint-Geoire-en-Valdaine (France),a,0,http://id.loc.gov/authorities/names/nb2014014560,,
2098,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.232678700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.457365300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.228795900Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.174945100Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.901473100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.575363700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.858986900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.724859200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.296940400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.564323500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.427062800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.653612100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.497274500Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.407408Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.099124400Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.659667600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.045317400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.697714600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.747005200Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.471389Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.947537700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.843698300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.305054900Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.624672800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.358701800Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.150084500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.043233100Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.562123900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.148802500Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.118839300Z",Val Secret (France),a,0,,,
2099,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-04T19:00:18.232678700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-08-04T19:08:10.457365300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:35:57.228795900Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-08-04T19:41:12.174945100Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:43:52.901473100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-08-04T19:47:19.575363700Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T19:48:00.858986900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-08-04T19:49:51.724859200Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:31:36.296940400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-08-04T20:55:20.564323500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:57:17.427062800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-08-04T20:57:36.653612100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T20:57:47.497274500Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-08-04T20:58:11.407408Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T20:59:30.099124400Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-08-04T21:00:35.659667600Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:01:19.045317400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-08-04T21:01:45.697714600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:02:02.747005200Z | SUBJECT RECON, STEP 31: START SUBJECT RECON 8 2023-08-04T21:02:20.471389Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:03:17.947537700Z | SUBJECT RECON, STEP 34: START SUBJECT RECON 9a 2023-08-04T21:03:38.843698300Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:04:00.305054900Z | SUBJECT RECON, STEP 37: START SUBJECT RECON 9b 2023-08-04T21:05:50.624672800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:07:17.358701800Z | SUBJECT RECON, STEP 40: START SUBJECT RECON 10a 2023-08-04T21:07:57.150084500Z | KNOWN SUBJECT RECON APPLIED 2023-08-04T21:08:29.043233100Z | SUBJECT RECON, STEP 43: START SUBJECT RECON 10b 2023-08-04T21:08:45.562123900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-08-04T21:09:04.148802500Z | SUBJECT RECON, STEP 46: FINALIZED 2023-08-04T21:09:32.118839300Z",Valdenoceda (Spain),a,0,http://id.loc.gov/authorities/names/nb2013013469,,
