row_index,workflow_history,place_as_recorded,structured_value
61,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Germany, Upper Swabia",http://vocab.getty.edu/tgn/7000084|http://vocab.getty.edu/tgn/7118137
62,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z",Germany?,http://vocab.getty.edu/tgn/7000084
63,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Ghent?, Belgium",http://vocab.getty.edu/tgn/7007887|http://vocab.getty.edu/tgn/1000063
64,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Granada,",http://vocab.getty.edu/tgn/7007703
65,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z",Italy,http://vocab.getty.edu/tgn/1000080
66,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z",Italy (?),http://vocab.getty.edu/tgn/1000080
67,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Campania",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003005
68,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.001Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Campania (?)",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003005
69,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.199Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Campania?",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003005
70,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Emilia-romagna",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7008516
71,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Ferrara",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7004264
72,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Latium",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7594274
73,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Latium (?)",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7594274
74,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Lazio",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003080
75,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Lazio?",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003080
76,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Liguria",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003236
77,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.200Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Lombardy",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003237
78,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Lombardy or Savoy",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003237|http://vocab.getty.edu/tgn/7024413
79,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Lombardy?",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003237
80,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Piedmont",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003120
81,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Sicily",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003122
82,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.202Z","Italy, Tuscany",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7009760
83,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy, Tuscany (?)",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7009760
84,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy, Tuscany?",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7009760
85,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy, Umbria",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003125
86,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.185Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy, Umbria ?",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003125
87,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy, Umbria?",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003125
88,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy, Veneto",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7002997
89,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy, Veneto ?",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7002997
90,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z",Italy?,http://vocab.getty.edu/tgn/1000080
91,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.002Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Italy?, Emilia Romagna",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7008516
92,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.201Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","London?, England",http://vocab.getty.edu/tgn/7011781|http://vocab.getty.edu/tgn/7002445
93,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z",Low Countries,http://vocab.getty.edu/tgn/7029439
94,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Low Countries, Lorraine",http://vocab.getty.edu/tgn/7029439|http://vocab.getty.edu/tgn/7024272
95,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z",Low countries,http://vocab.getty.edu/tgn/7029439
96,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Malta,",http://vocab.getty.edu/tgn/7005729
97,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z",Mexico,http://vocab.getty.edu/tgn/7005560
98,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Milan, Italy",http://vocab.getty.edu/tgn/7005903|http://vocab.getty.edu/tgn/1000080
99,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Milan, Lombardy, Italy",http://vocab.getty.edu/tgn/7005903|http://vocab.getty.edu/tgn/7003237|http://vocab.getty.edu/tgn/1000080
100,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Naples, Italy",http://vocab.getty.edu/tgn/7004474|http://vocab.getty.edu/tgn/1000080
101,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z",Netherlands,http://vocab.getty.edu/tgn/7016845
102,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Netherlands (now Ger, Cleves",http://vocab.getty.edu/tgn/7016845|http://vocab.getty.edu/tgn/7647352|http://vocab.getty.edu/tgn/7012313
103,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.202Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Netherlands, Brabant",http://vocab.getty.edu/tgn/7016845|http://vocab.getty.edu/tgn/7003463
104,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Netherlands, Holland",http://vocab.getty.edu/tgn/7016845|http://vocab.getty.edu/tgn/1003759
105,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z",Netherlands?,http://vocab.getty.edu/tgn/7016845
106,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Oxford, England",http://vocab.getty.edu/tgn/7011931|http://vocab.getty.edu/tgn/7002445
107,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.203Z","Oxford?, England",http://vocab.getty.edu/tgn/7011931|http://vocab.getty.edu/tgn/7002445
108,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Padua or Venice, Italy",http://vocab.getty.edu/tgn/7003085|http://vocab.getty.edu/tgn/7018159|http://vocab.getty.edu/tgn/1000080
109,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Paris, France",http://vocab.getty.edu/tgn/7008038|http://vocab.getty.edu/tgn/1000070
110,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.003Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Pontigny?, France",http://vocab.getty.edu/tgn/7008254|http://vocab.getty.edu/tgn/1000070
111,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Prague,http://vocab.getty.edu/tgn/7006464
112,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.186Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Reims, France",http://vocab.getty.edu/tgn/7011060|http://vocab.getty.edu/tgn/1000070
113,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Reims?, France",http://vocab.getty.edu/tgn/7011060|http://vocab.getty.edu/tgn/1000070
114,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Siena?, Italy",http://vocab.getty.edu/tgn/7011179|http://vocab.getty.edu/tgn/1000080
115,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.203Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Spain,http://vocab.getty.edu/tgn/1000095
116,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Spain (?),http://vocab.getty.edu/tgn/1000095
117,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Spain, Catalonia",http://vocab.getty.edu/tgn/1000095|http://vocab.getty.edu/tgn/7030216
118,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z","Spain, Valencia",http://vocab.getty.edu/tgn/1000095|http://vocab.getty.edu/tgn/7008769
119,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Spain?,http://vocab.getty.edu/tgn/1000095
120,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Switzerland,http://vocab.getty.edu/tgn/7011731
121,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Switzerland; Germany,http://vocab.getty.edu/tgn/7011731|http://vocab.getty.edu/tgn/7000084
122,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Switzerland?,http://vocab.getty.edu/tgn/7011731
123,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.187Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.204Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:34.004Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.204Z",Undetermined,http://vocab.getty.edu/tgn/7544559
