row_index,workflow_history,place_as_recorded,structured_value
16,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Cologne?,http://vocab.getty.edu/tgn/7004446
18,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z","Dijon, Burgundy, France",http://vocab.getty.edu/tgn/7008224|http://vocab.getty.edu/tgn/7029372|http://vocab.getty.edu/tgn/1000070
19,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z","Diocese of Treviso, Montello, Italy",http://vocab.getty.edu/tgn/7002996|http://vocab.getty.edu/tgn/1047496|http://vocab.getty.edu/tgn/1000080
20,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Engalnd,http://vocab.getty.edu/tgn/7002445
21,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",England,http://vocab.getty.edu/tgn/7002445
22,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z","England,  Leicestershire and Staffordshire",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008155|http://vocab.getty.edu/tgn/7008174
23,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Dorset",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7011961
24,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, East Anglia",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7012973
25,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Kent",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008153
26,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Leicestershire and Rutland",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008155|http://vocab.getty.edu/tgn/5000748
27,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Norfolk",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008160
28,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.183Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.198Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.201Z","England, Possibly south-east.",http://vocab.getty.edu/tgn/7002445
