title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
ḥāshiyah ʻalá al-ḥāshiyah al-Fatḥīyah,,,,,,,
Ḥāshiyah ʻalá al-ḥawāshī al-Mīrīyah,,,,,,,
ḥāshiyah ʻalá ḥāshiyat Mīr Abī al-Fatḥ,,,,,,,
ḥāshiyah ʻalá ḥāshiyat al-Khalkhālī,,,,,,,
Sharḥ Tahdhīb al-manṭiq,,,,,,,
ḥāshiyah ʻalá Tahdhīb al-kalām,,,,Ḥāshiyah ʻalá Tahdhīb al-kalām,Q108596,,
Ḥāshiyah ʻalá Tahdhīb al-kalām ... [etc,حاشية على تهذيب الكلام ... الخ,,,Ḥāshiyah ʻalá Tahdhīb al-kalām,Q108596,,
al-Tahdhīb fī sharḥ al-Tahdhīb,,,,,,,
ḥāshiyah ʻalá sharḥ al-Khabīṣī,,,,,,,
Sharḥ al-Ghurrah fī al-rnanṭiq,,,,Sharḥ al-Ghurrah fī al-manṭiq,Q108602,,
Sharḥ al-Ghurrah fī al-manṭiq,,,,Sharḥ al-Ghurrah fī al-manṭiq,Q108602,,
Sharḥ Muqaddimat Īsāghūjī,,,,,,,
Sharḥ Risālat al-ʻilm,,,,,,,
Sharḥ al-Sullam,,,,,,,
al-Munhiyah,,,,,,,
ʻArāʼis al-nafāʼis,,,,ʻArāʼis al-nafāʼis,Q108598,,
ʻArāʼis al-anẓār wa-nafāʼis al-abkār,,,,,,,
Miftāḥ bāb al-muwajjahāt,,,,,,Text on logic,Q20450
Ḥāshiyah ʻalā Tahdhīb al-manṭiq,,,,Ḥāshiyah ʻalá Tahdhīb al-mantiq,Q51972,,
Ḥāshiyah ʻalá Tahdhīb al-manṭiq,,,,Ḥāshiyah ʻalá Tahdhīb al-mantiq,Q51972,,
Ḥāshiyah bar Tahdhīb,حاشىه بر تهذىب,Ḥāshiyah ʻalá Tahdhīb al-manṭiq,حاشية على تهذيب المنطق,,,,
Taḥrīr al-Mijistī,,,,,,,
Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,,,,Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,Q108587,,
al-Talwīḥ ilá asrār al-Tanqīh,,,,,,,
Tanqīḥ al-idrāk fī tawḍīḥ Tashrīḥ al-aflāk,,,,,,,
Sharḥ Taqdimat al-maʻrifah,,,,,,,
Taqwīm al-adwiyah al-mufradah,,,,,,,
Tashrīḥ al-aflāk,,,,,,Tashrīḥ al-aflāk,Q11935
Hādhā Kitāb al-Ṭāliʼ al-saʻīd fī al-manṭiq al-ḥamīd /,,Ṭāliʼ al-saʻīd fī al-manṭiq al-ḥamīd,,,,,
