name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Hacı Paşa, -1423?",author,,,human,Hacı Paşa,Q59619558,DSNAME8958,Q108532,,,,
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"ʻAjamī, ʻAlī, -1455 or 1456",author,,,human,ʻAlī ʻAjamī,Q136458616,DSNAME8959,Q108533,,,,
"Saʻīdī, Mīr Abū al-Fatḥ ibn Makhdūm, active 16th century",author,,,,,,,,human,Mīr Abū al-Fatḥ ibn Makhdūm Saʻīdī,Q129951591,Q54220
"Qarah Khalīl, -1711 or 1712",author,,,human,Qarah Khalīl,Q136458632,DSNAME8960,Q108536,,,,
"Marʻashī, ʻAlī ibn Faḍl Allāh, 18th cent",author,,,human,ʻAlī ibn Faḍl Allāh Marʻashī,Q136458537,DSNAME8961,Q108537,,,,
"Nithārī, Muḥammad ibn ʻAbd Allāh, -1774 or 1775",author,,,,,,,,human,Muḥammad ibn ʻAbd Allāh Nithārī,Q125099237,Q54137
"Kalanbawī, Ismāʻīl ibn Muṣṭafá, d. 1790 or 91",author,,,,,,,,human,Gelenbevi Ismail Efendi,Q5530412,Q106643
"Kānqarī, ʻAbd Allāh ibn Ḥasan",author,,,human,ʻAbd Allāh ibn Ḥasan Kānqarī,Q136458538,DSNAME8962,Q108534,,,,
"Khalkhālī, Ḥusayn al-Ḥusaynī, -1605",author,,,,,,,,human,Ḥusayn al-Ḥusaynī Khalkhālī,Q131398924,Q68411
"Shirwānī, Ṣadr al-Dīn",author,,,human,Sadreddinzade Şirvani,Q12842271,DSNAME5216,Q41661,,,,
"Shīrāzī, ʻAbd al-Raḥmān, 16th cent",author,,,,,,,,,,,
"Yazdī, ʻAbd Allāh ibn al-Ḥusayn, -1606 or 1607",author,,,,,,,,human,Abdullah Yazdi,Q5847560,Q42659
"Khabīṣī, ʻUbayd Allāh ibn Faḍl Allāh, -approximately 1640",author,,,human,ʻUbayd Allāh ibn Faḍl Allāh Khabīṣī,Q136458539,DSNAME8963,Q108539,,,,
"ʻUlaymī, Yāsīn ibn Zayn al-Dīn, -1650 or 1651",author,,,,,,,,human,Yāsīn ibn Zayn al-Dīn ʻUlaymī,Q129951552,Q54192
"Ṣafawī, ʻĪsá ibn Muḥammad, 1494 or 1495-1546 or 1547",author,,,,,,,,human,Qutb al-Din al-Safawi,Q57477040,Q101353
"Fārābī, Muḥammad ibn ʻAbd Allāh",author,,,,,,,,,,,
"Sanūsī, Muḥammad ibn Yūsuf, approximately 1427-approximately 1490",author,,http://id.loc.gov/authorities/names/n84016675 http://id.loc.gov/authorities/names/n84016675 http://viaf.org/viaf/sourceID/LC%7cn84016675,,,,,,human,Muhammad ibn Yusuf al‐Sanusi,Q3478584,Q12458
"Chillī, ʻUmar ibn Aḥmad, fl. 1710",author,,,human,ʻUmar ibn Aḥmad Chillī,Q136458540,DSNAME8964,Q108535,,,,
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576",author,,,human,Ahdari,Q4702171,DSNAME8953,Q108527,,,,
"Fārūqī, Muḥammad Mubārak ibn Muḥammad Dāʼim, -1748 or 1749",author,,,human,Muḥammad Mubārak ibn Muḥammad Dāʼim Fārūqī,Q136458541,DSNAME8965,Q108540,,,,
"Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 1702-1762 or 1763",author,,http://id.loc.gov/authorities/names/nr91027348,,,,,,human,Muḥammad ibn Muṣṭafá Khādimī,Q12178022,Q41064
"Ṣafawī, Muḥammad Irtiḍā ʻAlī Khān, 1783 or 1784-1853 or 1854",author,,,human,Muḥammad Irtiḍā ʻAlī Khān Ṣafawī,Q136458543,DSNAME8966,Q108541,,,,
"Kalanbawī, Ismaʻīl ibn Muṣṭafá, d. 1790 or 91",author,,,human,Gelenbevi Ismail Efendi,Q5530412,DSNAME8865,Q106643,,,,
"Qazwīnī al-Naḥwī, Muḥsin ibn Muḥammad Ṭāhir, active 18th century",author,قزويني النحوي، محسن بن محمد طاهر، active 18th century,,human,Muḥsin ibn Muḥammad Ṭāhir Qazwīnī al-Naḥwī,Q136458657,DSNAME8967,Q108543,,,,
"Qazwīnī al-Naḥwī, Muḥsin ibn Muḥammad Ṭāhir, active 18th century",author,,,human,Muḥsin ibn Muḥammad Ṭāhir Qazwīnī al-Naḥwī,Q136458657,DSNAME8967,Q108543,,,,
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,,http://id.loc.gov/authorities/names/n82136884,,,,,,human,Nasir al-Din al-Tusi,Q302835,Q2837
"Khujandī, Muḥammad ibn Muḥammad, -approximately 1350",author,,,,,,,,,,,
"Rashtī, Muḥammad Riḍā ibn Muḥammad Ṣāliḥ",author,,,human,Muḥammad Riḍā ibn Muḥammad Ṣāliḥ Rashtī,Q136458544,DSNAME8968,Q108544,,,,
"Muhadhdhab al-Dīn al-Dakhwār, ʻAbd al-Raḥīm ibn ʻAlī, 1169 or 1170-1230 or 1231",author,,,human,ʻAbd al-Raḥīm ibn ʻAlī Muhadhdhab al-Dīn al-Dakhwār,Q136458545,DSNAME8969,Q108545,,,,
"Maghribī, Abū Saʻīd ibn Ibrāhīm, active 12th century",author,,,human,Abū Saʻīd ibn Ibrāhīm Maghribī,Q136458546,DSNAME8970,Q108546,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"Fīshāwī, Aḥmad ibn Aḥmad, active 19th century",author,,,human,Aḥmad ibn Aḥmad Fīshāwī,Q136458547,DSNAME8971,Q108547,,,,
"Marʻashī, ʻAbd al-Raḥīm ibn Abī Bakr, d. 1736",author,,,,,,,,human,ʻAbd al-Raḥīm ibn Abī Bakr Marʻashī,Q131386079,Q64008
"Manūfī, Manṣūr ibn ʻAlī, -1722 or 1723",author,,,human,Manṣūr ibn ʻAlī Manūfī,Q136458548,DSNAME8972,Q108548,,,,
"Cormick, John, -1833",author,,,,,,,,,,,
"Abarqūhī, Muḥammad ibn Isḥāq, active 14th century",author,,,human,Muḥammad ibn Isḥāq Abarqūhī,Q136458549,DSNAME8973,Q108549,,,,
"Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century",author,,http://id.loc.gov/authorities/names/nr93001807,,,,,,human,ʿAbd-al-ʿAlī Ibn-Muḥammad al Birǧandī,Q114413753,Q457
"Nīsābūrī, Niẓām al-Dīn al-Ḥasan ibn Muḥammad, -1328 or 1329",author,,http://id.loc.gov/authorities/names/n2007003877,,,,,,human,Nizam al-Din al-Nisaburi,Q4116610,Q3194
"Kaḥḥāl, ʻAlī ibn ʻĪsá, -1038 or 1039",author,,,,,,,,,,,
"ʻIṣām al-Asfarāyīnī, Ibrāhīm ibn Muḥammad, 1468 or 1469-1538 or 1539",author,عصام الاسفراييني، ابراهيم بن محمد، 1468 or 1469-1538 or 1539,,,,,,,human,Ibrāhīm ibn Muḥammad ʻIṣām al-Asfarāyīnī,Q25452064,Q12363
"Ḥusaynī, Muḥammad Amīn ibn Ibrāhīm, active 18th century",author,حسيني، محمد امين بن ابراهيم، active 18th century,,human,Muḥammad Amīn ibn Ibrāhīm Ḥusaynī,Q136458550,DSNAME8974,Q108550,,,,
"Wafāʼī, ʻAbd al-ʻAzīz ibn Muḥammad, active 15th century",author,وفائي، عبد العزيز بن محمد,,,,,,,human,ʻAbd al-ʻAzīz ibn Muḥammad Wafāʼī,Q131398895,Q68325
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,جرجاني، علي بن محمد، السيد الشريف,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",author,قطب التحتاني، محمد بن محمد,,,,,,,human,Qutb al-Din Razi,Q5934574,Q41551
"Ibn al-Nafīs, ʻAlī ibn Abī al-Ḥazm, 1210 or 1211-1288",author,ابن النفيس، علي بن ابي الحزم,,,,,,,human,Ibn al-Nafis,Q319146,Q12411
"Turkumānī, Kamāl al-Dīn, active 1354",author,تركماني، كمال الدين,,,,,,,human,Kamāl al-Dīn Turkumānī,Q124130532,Q27912
"Ibn Jumayʻ, Hibat Allāh ibn Zayn, -1198",author,ابن جميع، هبة الله بن زين,,human,Ibn Jumay‘,Q4165834,DSNAME8975,Q108551,,,,
"Ibn al-Hāʼim, Aḥmad ibn Muḥammad, -1412",author,ابن الهائم، احمد بن محمد، -1412,,,,,,,human,Ahmad Ibn-Muhammad Ibn-al-Haʾim,Q56250455,Q12285
"Fayyūmī, Muḥammad, active 19th century",scribe,فيومي، محمد، active 19th century,,,,,,,,,,
"Azʹharī, ʻAlī Yūsuf",scribe,ازهري، علي يوسف،,,,,,,,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,عاملي، بهاء الدين محمد بن حسين، 1547-1621,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"Sibṭ al-Māridīnī, Badr al-Dīn Muḥammad ibn Muḥammad, 1423-",author,سبط المارديني، بدر الدين محمد بن محمد، 1423-,,,,,,,human,Sibt al-Maridini,Q7507290,Q12506
"Ḥifnī, Muḥammad ibn Sālim, 1689 or 1690-1767 or 1768",author,حفني، محمد بن سالم، 1689 or 1690-1767 or 1768,http://id.loc.gov/authorities/names/nr92013241 http://id.loc.gov/authorities/names/nr92013241 http://viaf.org/viaf/sourceID/LC%7cnr92013241,,,,,,human,Muhammad al-Hiffnawi,Q12240136,Q12508
"Shawwālī, ʻAbd al-Ghanī, active 19th century",scribe,شوالي، عبد الغني، active 19th century,,,,,,,,,,
"Khāṭirī, Aḥmad ibn Muḥammad",author,,,,,,,,,,,
"Niẓāmī, Muḥammad, d. 1513",author,,,,,,,,,,,
"Qabūjāqī, Muḥammad ʻĀṭif ibn ʻAbd al-Raḥmān",author,قبوجاقي، محمد عاطف بن عبد الرحمن,,human,Muḥammad ʻĀṭif ibn ʻAbd al-Raḥmān Qabūjāqī,Q136458551,DSNAME8976,Q108552,,,,
"Avicenna, 980-1037",author,ابن سينا، 980-1037,,,,,,,human,Avicenna,Q8011,Q2845
"Kāzarūnī, Sadīd al-Dīn, 14th cent",author,,,human,Sadid al-Din al-Kazaruni,Q4116936,DSNAME8949,Q108522,,,,
"Nafīs ibn ʻIwaḍ, -approximately 1449",author,نفيس بن عوض، -approximately 1449,,,,,,,human,Nafīs ibn ʻIwaḍ,Q120599075,Q41312
