genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Manuscripts, Arabic--18th century",lcsh,,,,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058,Q256;Q3024
"Manuscripts, Arabic--19th century",lcsh,,,,,"Manuscripts, Arabic;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841,Q256;Q3538
"Manuscripts, Arabic--17th century",lcsh,,,,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663,Q256;Q2771
"Manuscripts, Arabic--16th century",lcsh,,,,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851,Q256;Q335
"Manuscripts, Arabic--15th century",lcsh,,,,,"Manuscripts, Arabic;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/923962,Q256;Q154
"Manuscripts, Arabic",lcsh,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
Manuscripts--18th century,aat,,,,,manuscripts (documents);Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/904058,Q10789;Q3024
holographs (autographs),aat,,,,,holographs (autographs),http://vocab.getty.edu/aat/300028573,Q11544
scientific illustrations (images),aat,,,,,scientific illustrations (images),http://vocab.getty.edu/aat/300015595,Q11377
diagrams,aat,,,,,diagrams,http://vocab.getty.edu/aat/300015387,Q276
tables (documents),aat,,,,,tables (documents),http://vocab.getty.edu/aat/300027364,Q252
Pictures,lcgft,,,,,Pictures,http://id.worldcat.org/fast/1986252,Q48755
Tables (Data),lcgft,,,,,Tables (Data),http://id.worldcat.org/fast/1919974,Q238
Illustrated works,rbmscv,,,,,Illustrated works,http://id.loc.gov/vocabulary/rbmscv/cv00860,Q38480
