holding_institution_ds_qid,holding_institution_wikidata_label,ds_id,source_data_type,filename,holding_institution_institutional_id,institutional_id_location_in_source,record_last_updated,call_number,link_to_institutional_record,title,iiif_manifest_url,dated,manifest_generated_at
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9833,marc-xml,20250128-huntington-marcxml.xml,.b18620644,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1070,https://catalog.huntington.org/record=b1862064,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52392/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9834,marc-xml,20250128-huntington-marcxml.xml,.b18620656,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1071,https://catalog.huntington.org/record=b1862065,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50695/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9835,marc-xml,20250128-huntington-marcxml.xml,.b18620668,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1072,https://catalog.huntington.org/record=b1862066,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52275/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9836,marc-xml,20250128-huntington-marcxml.xml,.b1862067x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1073,https://catalog.huntington.org/record=b1862067,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50761/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9837,marc-xml,20250128-huntington-marcxml.xml,.b18620681,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1074,https://catalog.huntington.org/record=b1862068,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50766/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9838,marc-xml,20250128-huntington-marcxml.xml,.b18620693,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1075,https://catalog.huntington.org/record=b1862069,Bible :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50834/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9929,marc-xml,20250128-huntington-marcxml.xml,.b18621612,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1076,https://catalog.huntington.org/record=b1862161,Etymologies and correspondence by Isidore of Seville :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:51146/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9754,marc-xml,20250128-huntington-marcxml.xml,.b18619824,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1077,https://catalog.huntington.org/record=b1861982,"Breviary, use of Autun :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48593/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9755,marc-xml,20250128-huntington-marcxml.xml,.b18619836,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1078,https://catalog.huntington.org/record=b1861983,Pontifical :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52271/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9756,marc-xml,20250128-huntington-marcxml.xml,.b18619848,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssHM 1079,https://catalog.huntington.org/record=b1861984,"Missal, for Cistercian use :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50838/manifest.json,false,2025-01-28T22:27:26.126326400Z
