title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
Alchemical manuscript(s),,,,,Alchemical manuscript
British dyer's account book,,,,,Account book
Codicillus,,Codicillus,,Codicillus,
Italian dyer's notebook; autograph manuscript,,,,,Dyer's notebook
Künst Büch von allerhandt rahren undt schönen inventionen so wohl in der Feuerwerckerey Künst als auch in der Büchsenmeisterey zusammen /,,,,,Works on fireworks and gunsmithing
Liber de secretis naturae seu de quinta essentia,,,,,Liber de secretis naturae
"Praeparatio mercurii ad lapidem per regulam et lunam, ex MSS. Phi Americani",,,,,Praeparatio mercurii ad lapidem per regulam et lunam
Pretiosa margarita novella,,,,,Pretiosa margarita novella
"Recipes and extracts on alchemy, medicine, metal-working, cosmetics, veterinary science, agriculture, wine-making, and other subjects",,Secreti,,Secreti,
Testamentum,,,,,Testamentum
"Various works including Lucidarium artis transmutationis metallorum, extracts from the Sommeta and Violetta, and Epistola; manuscript",,,,,Miscellany
