row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with interlinear Persian translation,ara,Arabic;Persian,Q13955;Q9168,,
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with one line in Ottoman Turkish,ara,Arabic;Ottoman Turkish,Q13955;Q36730,,
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with one page in Ottoman Turkish,ara,Arabic;Ottoman Turkish,Q13955;Q36730,,
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with one page translated into Persian,ara,Arabic;Persian,Q13955;Q9168,,
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with one work in Persian (number 8),ara,Arabic;Persian,Q13955;Q9168,,
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with some Ottoman Turkish,ara,,,Arabic;Ottoman Turkish,Q13955;Q36730
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with some Persian annotations,ara,Arabic;Persian,Q13955;Q9168,,
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with some Persian marginalia,ara,,,Arabic;Persian,Q13955;Q9168
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with some notes in Persian,ara,,,Arabic;Persian,Q13955;Q9168
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with translation in Persian,ara,,,Arabic;Persian,Q13955;Q9168
