row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290998Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983230Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767572Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706260Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990481Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863599Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570507Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290402Z","Bassett, James, 1834-1906",former owner,,,,,,human,James Bassett,Q6129463
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291002Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983235Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767580Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706263Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990484Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863604Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570511Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290407Z","Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286",author,بيضاوي، عبد الله بن عمر، -1286؟,,,,,human,Baidawi,Q287573
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291004Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983242Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767583Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706266Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990487Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863612Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570527Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290415Z","Beijan, A., active 1921",former owner,,,A. Beijan,human,Q124130447,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291007Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983253Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767590Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706273Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990492Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863616Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570531Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290420Z","Bhāskarācārya, 1114-",author,"باسظراظارىا, 1114-",,,,,human,Bhāskara II,Q213385
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291011Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983258Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767721Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706276Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990495Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863621Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570534Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290425Z","Bhāskarācārya, 1114-",author,باسكراكاريا، - 1114,,,,,human,Bhāskara II,Q213385
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291013Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983271Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767727Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706278Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990498Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863631Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570538Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290429Z","Birgivî Mehmet Efendi, approximately 1522-1573",author,"بركوي, محمد إفندي، approximately 1522-1573",,,,,human,Imam Birgivi,Q167660
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291015Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983288Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767731Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706282Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990509Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863636Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570541Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290440Z","Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century",author,برجندى، عبد العلى بن محمد بن حسين، active 16th century,,,,,human,ʿAbd-al-ʿAlī Ibn-Muḥammad al Birǧandī,Q114413753
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291019Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983294Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767739Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706290Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990513Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863641Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570549Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290445Z","Birjandī, ʻAbd al-ʻAlī ibn Muḥammad ibn Ḥusayn, active 16th century",author,برجندي، عبد العلي بن محمد بن حسين، active 16th century,,,,,human,ʿAbd-al-ʿAlī Ibn-Muḥammad al Birǧandī,Q114413753
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291021Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983303Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767754Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706292Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990524Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863653Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570554Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290449Z","Bukhārī, Muḥammad ibn Ismāʻīl, 810-870",author,بخاري، محمد بن اسماعيل، 810-870,,,,,human,Muḥammad ibn Ismā‘īl al-Bukhārī,Q241026
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.291023Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983313Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767757Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706296Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990530Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863658Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570557Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290453Z","Bāz̲il, Muhammad Rafīʻ ibn Muḥammad al-Mashhadī, -1712",author,باذل، محمد رفيع بن محمد المشهدى، -1712,,Muhammad Rafīʻ ibn Muḥammad al-Mashhadī Bāz̲il,human,Q124130448,,,
