row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
11,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Codices,aat,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
12,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Codices (bound manuscripts),aat,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
13,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Codices (bound manuscripts),aat,http://vocab.getty.edu/aat/300224200,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
14,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Commentaries,aat,,,,commentaries,http://vocab.getty.edu/aat/300026098
15,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Commentaries,fast,(OCoLC)fst01423723,,,Commentaries,http://id.worldcat.org/fast/1423723
16,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Compilation manuscripts,aat,,,,compilation manuscripts,http://vocab.getty.edu/aat/300403970
17,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Compound endbands,lobt,,,,compound endbands,http://w3id.org/lob/concept/3621
18,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z","Criticism, interpretation, etc",fast,(OCoLC)fst01411635,,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635
19,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Declarations,aat,,,,declarations,http://vocab.getty.edu/aat/300167036
20,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Detached leaves,aat,,,,detached leaves,http://vocab.getty.edu/aat/300379890
