row_index,workflow_history,material_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
21,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","laid paper, illustrations",paper,http://vocab.getty.edu/aat/300014109,,
22,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","laid paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109,,
23,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",machine-made wove paper,,,paper,http://vocab.getty.edu/aat/300014109
24,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",non-European laid paper,,,paper,http://vocab.getty.edu/aat/300014109
25,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","non-European laid paper, illuminations",,,paper,http://vocab.getty.edu/aat/300014109
26,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","non-European laid paper, illustrations",paper,http://vocab.getty.edu/aat/300014109,,
27,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",paper,,,paper,http://vocab.getty.edu/aat/300014109
28,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper on card, illuminations",paper,http://vocab.getty.edu/aat/300014109,,
29,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper reinforced by card, color illustrations",,,paper,http://vocab.getty.edu/aat/300014109
30,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper, color illustrations",,,paper,http://vocab.getty.edu/aat/300014109
31,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper, diagrams",,,paper,http://vocab.getty.edu/aat/300014109
32,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper, illuminations",,,paper,http://vocab.getty.edu/aat/300014109
33,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper, illustration",,,paper,http://vocab.getty.edu/aat/300014109
34,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper, illustrations",,,paper,http://vocab.getty.edu/aat/300014109
35,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper, illustrations, illuminations",,,paper,http://vocab.getty.edu/aat/300014109
36,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","paper, tables",,,paper,http://vocab.getty.edu/aat/300014109
37,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",parchment,,,parchment,http://vocab.getty.edu/aat/300011851
38,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","parchment, illumination",parchment,http://vocab.getty.edu/aat/300011851,,
39,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","watermarked European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,,
40,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",wood,,,wood,http://vocab.getty.edu/aat/300011914
