place_as_recorded,authorized_label,structured_value
17--,,
18--,,
"Agra, India",Āgra;India,http://vocab.getty.edu/tgn/7001493;http://vocab.getty.edu/tgn/7000198
Balsār,,
Cairo,Cairo,http://vocab.getty.edu/tgn/7001215
Dayr al-Qamar,,
Egypt?,Egypt,http://vocab.getty.edu/tgn/7016833
Herat,Herāt,http://vocab.getty.edu/tgn/7002243
India,India,http://vocab.getty.edu/tgn/7000198
India?,India,http://vocab.getty.edu/tgn/7000198
Iran,Iran,http://vocab.getty.edu/tgn/7000231
Iran ?,Iran,http://vocab.getty.edu/tgn/7000231
Iran or India?,Iran;India,http://vocab.getty.edu/tgn/7000231;http://vocab.getty.edu/tgn/7000198
Iran or South Asia?,Iran;South Asia,http://vocab.getty.edu/tgn/7000231;http://vocab.getty.edu/tgn/7000208
Iran or Syria?,Iran;Syria,http://vocab.getty.edu/tgn/7000231;http://vocab.getty.edu/tgn/1000140
Iran or Turkey?,Iran;Turkey,http://vocab.getty.edu/tgn/7000231;http://vocab.getty.edu/tgn/1000144
Iran?,Iran,http://vocab.getty.edu/tgn/7000231
Iṣfahān,Isfahan,http://vocab.getty.edu/tgn/7017459
Iṣfahān?,Isfahan,http://vocab.getty.edu/tgn/7017459
Lahore,Lahore,http://vocab.getty.edu/tgn/7001560
Morocco ?,Morocco,http://vocab.getty.edu/tgn/1000179
Morocco or Algeria?,Morocco;Algeria,http://vocab.getty.edu/tgn/1000179;http://vocab.getty.edu/tgn/7016752
Morocco?,Morocco,http://vocab.getty.edu/tgn/1000179
New York,New York,http://vocab.getty.edu/tgn/7007567
North Africa?,North Africa,http://vocab.getty.edu/tgn/7016886
"Palermo, Italy",Palermo;Italy,http://vocab.getty.edu/tgn/7003928;http://vocab.getty.edu/tgn/1000080
Shīrāz,Shiraz,http://vocab.getty.edu/tgn/7002148
Spain,Spain,http://vocab.getty.edu/tgn/1000095
Surat,Sūrat,http://vocab.getty.edu/tgn/7001592
Syria or Egypt?,Syria;Egypt,http://vocab.getty.edu/tgn/1000140;http://vocab.getty.edu/tgn/7016833
Syria or Turkey?,Syria;Turkey,http://vocab.getty.edu/tgn/1000140;http://vocab.getty.edu/tgn/1000144
Tabriz?,Tabriz,http://vocab.getty.edu/tgn/7002156
Tangier,Tangier,http://vocab.getty.edu/tgn/7000442
Turkey,Turkey,http://vocab.getty.edu/tgn/1000144
Turkey or Syria?,Turkey;Syria,http://vocab.getty.edu/tgn/1000144;http://vocab.getty.edu/tgn/1000140
Turkey or the Balkans?,Turkey;Balkan Peninsula,http://vocab.getty.edu/tgn/1000144;http://vocab.getty.edu/tgn/7011636
Turkey?,Turkey,http://vocab.getty.edu/tgn/1000144
"Yazd, Iran",Yazd;Iran,http://vocab.getty.edu/tgn/7002173;http://vocab.getty.edu/tgn/7000231
Yānīyah (Greece),Ioannina;Greece,http://vocab.getty.edu/tgn/7011082;http://vocab.getty.edu/tgn/1000074
between 1700 and 1850,,
