title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
Jalāʼ al-adhhān wa-jalāʼ al-aḥzān fī tafsīr al-Qurʼān],جلاء الاذهان وجلاء الاحزان فى تفسير القرآن.,,,,Jalāʼ al-adhhān wa-jalāʼ al-aḥzān fī tafsīr al-Qurʼān
Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,جنة الأمان الواقية وجنة الايمان الباقية.,,,,Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah
Jāmiʻ al-ṣaḥīḥ],جامع الصحيح.,Jāmiʻ al-ṣaḥīḥ.,جامع الصحيح.,,Jāmiʻ al-ṣaḥīḥ
Khamsah],خمسه.,Khamsah.,خمسة.,Khamsah,
Khamsah],خمسه,Khamsah.,خمسه.,Khamsah,
Kharīdat al-ʻajāyib wa-farīdat al-gharāyib,خريدة العجايب وفريدة الغرايب.,Kharīdat al-ʻajāʼib wa-farīdat al-gharāʼib.,خريدة العجائب وفريدة الغرائب.,,Kharīdat al-ʻajāʼib wa-farīdat al-gharāʼib
Khordah Avesta],,Avesta.,,,Avesta
Khulāṣat al-handasah,خلاصة الهندسة.,,,,Khulāṣat al-handasah
Khulāṣat al-ḥisāb,خلاصة الحساب.,,,,Khulāṣat al-ḥisāb
Khulāṣat al-ḥisāb. al-Risālah al-Muḥammadīyah,خلاصة الحساب. الرسالة المحمدية.,,,,Khulāṣat al-ḥisāb
Kitāb Badīʻ al-maʻānī fī sharḥ ʻAqīdat al-Shaybānī,كتاب بديع المعاني في شرح عقيدة الشيباني.,Badīʻ al-maʻānī fī sharḥ ʻAqīdat al-Shaybānī,بديع المعاني في شرح عقيدة الشيباني,,Badīʻ al-maʻānī fī sharḥ ʻAqīdat al-Shaybānī
Kitāb Dīwān Miṣr,,,,,Kitāb Dīwān Miṣr
Kitāb Matn al-tawḍīḥ,كتاب متن التوضيح.,Awḍaḥ al-masālik ilá Alfīyat Ibn Mālik,اوضح المسالك الى ألفية ابن مالك,,Awḍaḥ al-masālik ilá Alfīyat Ibn Mālik
Kitāb Nasīm al-ṣabā ...,كتاب نسيم الصبا ...,,,,Kitāb Nasīm al-ṣabā
Kitāb Talkhīṣ al-Miftāḥ ...,كتاب تلخيص المفتاح ...,,,,Kitāb Talkhīṣ al-Miftāḥ
Kitāb Uṣū̄l al-handasah wa-al-ḥisāb,كتاب اصول الهندسة والحساب \,Elements.,,,Elements
Kitāb al-adʻiyah],كتاب الادعية,,,,Kitāb al-adʻiyah
Kitāb al-kurah al-mutaḥarrikah /,كتاب الكرة المتحركة /,De sphaera quae movetur.,,De sphaera quae movetur,
Kitāb al-mutawassiṭāt,كتاب المتوسطات.,,,,Kitāb al-mutawassiṭāt
Kitāb al-qawl al-mubdiʻ fī sharḥ al-Muqniʻ,كتاب القول المبدع في شرح المقنع.,,,,Kitāb al-qawl al-mubdiʻ fī sharḥ al-Muqniʻ
Kitāb al-tārīkh mimmā taqaddama ʻan al-ābāʼ],كتاب التاريخ مما تقدم عن الاباء.,,,,Kitāb al-tārīkh mimmā taqaddama ʻan al-ābāʼ
Kitāb al-ukar,كتاب الأكر.,De sphaericis.,,De sphaericis,
Kitāb al-ukar,كتاب الاكر.,De sphaericis.,,De sphaericis,
Kitāb fī masāʼil fiqhīyah],كتاب في مسائل فقهية.,,,,Kitāb fī masāʼil fiqhīyah
Kitāb fī sharḥ al-Mulakhkhaṣ ...,كتاب في شرح الملخص ...,,,,Kitāb fī sharḥ al-Mulakhkhaṣ
Kitāb nafīs yufṣaḥu fīhi ʻan al-lughah al-Turkīyah,كتاب نفيس يفصح فيه عن اللغة التركية.,,,,Kitāb nafīs yufṣaḥu fīhi ʻan al-lughah al-Turkīyah
Kitāb sharḥ al-Jurrūmīyah,كتاب شرح الجرومية.,Sharḥ al-Ajurrūmīyah,شرح الاجرومية,,Sharḥ al-Ajurrūmīyah
Kitāb-i Surkhāb dar ʻilm-i raml,ظتاب سرخاب در علم رمل.,,,,Kitāb-i Surkhāb dar ʻilm-i raml
Kitāb-i aqdas],ظتاب اقدس,Kitāb al-aqdas,كتاب الاقدس,,Kitāb al-aqdas
Kitāb-i usṭurlāb az Muḥaqqiq-i Ṭūsī,ظتاب اسطرلاب از محقق طوسى.,Bīst bāb dar maʻrifat-i usṭurlāb,بيست باب در معرفت اسطرلاب,,Bīst bāb dar maʻrifat-i usṭurlāb
Kitāb-i Ṣuwar al-kawākib,ظتاب صور الظواظب.,Ṣuwar al-kawākib.,صور الظواظب.,,Ṣuwar al-kawākib
Laylī va Majnūn],ليلى و مجنون.,Laylī and Majnūn,,Laylī va Majnūn,
Leaf from Khusraw va Shīrīn],,Khusraw va Shīrīn.,خسرو و شيرين.,,Khusraw va Shīrīn
Leaf from Makhzan al-asrār],,Makhzan al-asrār.,مخزن الاسرار.,,Makhzan al-asrār
Leaf from Yūsuf va Zulaykhā,,Yūsuf va Zulaykhā.,یوسف و زل&#٬٠٦كك؛خا.,Yūsuf va Zulaykhā,
Leaf from the Qurʼān,,Qurʼan.,قرآن.,,Qurʼan
Leaf with ghazal of Ḥāfiẓ],,,,,Ghazal
Līlāvatī,ل&#٬٠٦كك؛لاوتى.,Līlāvatī.,,Līlāvatī,
Līlāvatī,لىلاوتى.,Līlāvatī.,,Līlāvatī,
