subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
"Bonus, Petrus, active 1323-1330--Manuscripts",a;d--x,0,,"Bonus, Petrus, active 1323-1330;Manuscripts",http://id.worldcat.org/fast/1808857;http://id.worldcat.org/fast/1008230,,
"Newton, Isaac, 1642-1727",a;d, ,,"Newton, Isaac, 1642-1727",http://id.worldcat.org/fast/1801333,,
"Newton, Isaac, 1642-1727--Manuscripts",a;d--v,0,,"Newton, Isaac, 1642-1727;Manuscripts",http://id.worldcat.org/fast/1801333;http://id.worldcat.org/fast/1424060,,
"Starkey, George, 1627-1665. Experimenta de præparatione mercurii sophici",a;d;t,0,,,,,
