row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
11,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Citation indexes,aat,http://vocab.getty.edu/aat/300026579,citation indexes,http://vocab.getty.edu/aat/300026579,,
12,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Codices,aat,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
13,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Codices (bound manuscripts),aat,http://vocab.getty.edu/aat/300224200,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
14,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Comedies,aat,http://vocab.getty.edu/aat/300201014,comedies,http://vocab.getty.edu/aat/300201014,,
15,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Commentaries,aat,http://vocab.getty.edu/aat/300026098,,,commentaries,http://vocab.getty.edu/aat/300026098
16,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Commentaries,aat,,,,commentaries,http://vocab.getty.edu/aat/300026098
17,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Commentaries,fast,http://id.worldcat.org/fast/1423723,,,Commentaries,http://id.worldcat.org/fast/1423723
18,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Compendiums,aat,http://vocab.getty.edu/aat/300026106,,,compendiums,http://vocab.getty.edu/aat/300026106
19,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Controlled vocabularies,fast,http://id.worldcat.org/fast/1919906,,,Controlled vocabularies,http://id.worldcat.org/fast/1919906
20,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Controlled vocabularies,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026070,,,Controlled vocabularies,http://id.worldcat.org/fast/1919906
