row_index,workflow_history,subject_as_recorded,subfield_codes,authorized_label_add,structured_value_add,vocab,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.312191900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Account books--Great Britain--19th century,a--z--y,Account books;Great Britain;Nineteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841,0,,,
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.312191900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Alchemy--Early works to 1800,a--v,,,0,,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.312191900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Alchemy--Manuscripts,a--v,Alchemy--Manuscripts,http://id.worldcat.org/fast/804250,0,,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.312191900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Bombs--Manuscripts,a--v,Bombs;Manuscripts,http://id.worldcat.org/fast/835825;http://id.worldcat.org/fast/1424060,0,,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.312191900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z","Chemistry, Technical--Manuscripts",a--v,"Chemistry, Technical;Manuscripts",http://id.worldcat.org/fast/853546;http://id.worldcat.org/fast/1424060,0,,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.312191900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Dye houses--Italy--19th century--Manuscripts,a--z--y--v,Dye houses;Italy;Nineteenth century;Manuscripts,http://id.worldcat.org/fast/2028835;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1037841;http://id.worldcat.org/fast/1424060,0,,,
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.313192300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Dye industry--Great Britain--19th century,a--z--y,Dye industry;Great Britain;Nineteenth century,http://id.worldcat.org/fast/900216;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841,0,,,
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.313192300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Dyers--Great Britain--19th century,a--z--y,Dyers;Great Britain;Nineteenth century,http://id.worldcat.org/fast/900232;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841,0,,,
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.313192300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Dyers--Italy--19th century--Manuscripts,a--z--y--v,Dyers;Italy;Nineteenth century;Manuscripts,http://id.worldcat.org/fast/900232;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1037841;http://id.worldcat.org/fast/1424060,0,,,
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:12:26.140829400Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:12:42.072468Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:12:59.996984600Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T20:15:26.776992400Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:15:51.398513300Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T20:20:49.264649200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:21:05.879254600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T20:23:42.697841500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:24:28.946127Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-27T20:24:52.497223800Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:25:21.043287900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-27T20:26:57.638663100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:27:23.797001900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-27T20:27:42.619438200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:28:21.463290100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-27T20:28:36.322477200Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:29:10.826907100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-27T20:29:44.955610300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:30:15.636844300Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-27T20:30:53.696134300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-27T20:33:48.255817500Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T20:34:18.265026800Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-27T20:34:43.873263700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-27T20:35:18.292409900Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-27T20:35:29.262826500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-27T20:35:48.313192300Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-27T20:36:19.911849600Z",Dyes and dyeing--Italy--19th century--Manuscripts,a--z--y--v,Dyes and dyeing;Italy;Nineteenth century;Manuscripts,http://id.worldcat.org/fast/900233;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1037841;http://id.worldcat.org/fast/1424060,0,,,
