title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Sharḥ al-Risālah fī ādāb al-baḥth ... [etc,,شرح الرسالة في آداب البحث ... الخ,,,Sharḥ al-Risālah fī ādāb al-baḥth,Q11694,,
Sharḥ ʻalá al-Risālah al-Ḥusaynīyah ... [etc,,شرح على الرسالة الحسينية ... الخ,,,Sharḥ ʻalá al-Risālah al-Ḥusaynīyah,Q12175,,
Sharḥ al-ādāb ... [etc,,شرح الاداب ... الخ,,,Sharḥ al-ādāb,Q12241,,
Ḥāshiyah ʻalá Sharḥ al-Risālah fī ādāb al-baḥth] ... [etc,,حاشية على شرح الرسالة في آداب البحث ... الخ,,,Ḥāshiyah,Q11900,,
Majmūʻah rasāʼil,,مجموعة رسائل,,,,,Majmūʻah rasāʼil,Q11977
Collection of Arabic commentaries and glosses,,,,,,,Arabic commentaries,Q11920
Kitāb Ittifāq raʼy al-ḥakīmayn Iflāṭūn wa-Aristuṭālīs ... [etc,,كتاب اتفاق رأي الحكيمين افلاطون وارستطاليس ... الخ,,,Ittifāq raʼy al-ḥakīmayn Iflāṭūn wa-Aristuṭālīs,Q11926,,
Taghayyurāt ʻalá matn Īsāghūjī ... [etc,,تغييرات على متن ايساغوجي ... الخ,,,Taghayyurāt ʻalá matn Īsāghūjī,Q11791,,
Sharḥ al-Risālah al-ʻAḍudīyah] ... [etc,,شرح الرسالة العضدية ... الخ,,,Sharḥ al-Risālah al-ʻAḍudīyah,Q12174,,
al-Fawāʼid al-Fanārīyah] ... [etc,,الفوائد الفنارية ... الخ,,,Fawāʼid al-Fanārīyah,Q11831,,
Ḥāshiyah ʻalá Sharḥ al-Hidāyah] ... [etc,,حاشية على شرح الهداية ... الخ,,,Ḥāshiyah,Q11900,,
Hādhā Kitāb Abū al-Muntahá li-sharḥ al-Fiqh al-akbar ... [etc,,هذا كتاب ابو المنتهى لشرح الفقه الاكبر ... الخ,,,Texts on Islamic law,Q12197,,
Mawḍūʻāt al-ʻulūm ... [etc,,موضوعات العلوم ... الخ,,,Mawḍūʻāt al-ʻulūm,Q11925,,
Kitāb al-Nuqāyah ... [etc,,كتاب النقاية ... الخ,,,Nuqāyah,Q11861,,
Majūʻah fī awwalhā Matn al-Hamzīyah ... [etc,,مجوعة في اولها متن الهمزية ... الخ,,,Majūʻah fī awwalhā Matn al-Hamzīyah,Q11713,,
Majmūʻat asʼilat imtiḥān] ... [etc,,مجموعة اسئلة امتحان ... الخ,,,Majmūʻat asʼilat imtiḥān,Q11761,,
Hādhā Kitāb Sharḥ Jaghmīnī ... [etc,Astronomical text,هذا كتاب شرح جغميني ... الخ,,,Astronomical text,Q38381,,
Dalālat al-ʻāmil bi-rubʻ al-maqṭūʻ al-shamālī ilá al-mīqāt wa-ḥarakat al-samāwāt wa-al-sāʻāt al-zamānīyah ... [etc,,دلالة العامل بربع المقطوع الشمالي الى الميقات وحركة السماوات والساعات الزمانية ... الخ,,,Arabic text;Astronomical text,Q38349;Q38381,,
Kitāb Sharḥ naẓm ʻAlī ibn Abī al-Rijāl ... [etc,,كتاب شرح نظم علي بن ابي الرجال ... الخ,,,Sharḥ naẓm ʻAlī ibn Abī al-Rijāl,Q12199,,
Risālah fī al-ʻamal bi-dāyirat al-muʻaddal fī al-bilād jamīʻan wa-kayfīyat istikhrāj al-ḥiṣaṣ wa-al-aʻmāl ... [etc,,رسالة في العمل بدايرة المعدل في البلاد جميعا وكيفية استخراج الحصص والاعمال ... الخ,,,Risālah fī al-ʻamal bi-dāyirat al-muʻaddal fī al-bilād jamīʻan wa-kayfīyat istikhrāj al-ḥiṣaṣ wa-al-aʻmāl,Q12021,,
Hādhā Kitāb mukhtaṣar al-Ṣubḥ al-munabbī ʻan ḥaythīyāt al-Mutanabbī lil-Shaykh al-ʻĀlim Yūsuf al-Badīʻī,,هذا كتاب مختصر الصبح المنبي عن حيثيات المتنبي للشيخ العالم يوسف البديعي,Mukhtaṣar al-Ṣubḥ al-munabbī ʻan ḥaythīyāt al-Mutanabbī,مختصر الصبح المنبي عن حيثيات المتنبي,,,,
Risālah fī faḍāʼil ahl al-bayt /,,رسالة في فضائل اهل البيت /,,,,,Risālah fī faḍāʼil ahl al-bayt,Q11782
Collection of Arabic tales,,,,,,,Arabic stories,Q11636
Ḥikāyat Abī Hiffān,,حکاية ابي هفان,,,,,Ḥikāyat Abī Hiffān,Q11662
Khuṭab al-Imām ʻAlī wa-mukātabātihi wa-Qiṣaṣ al-anbiyāʼ,Hadiths,خطب الامام علي ومكاتباته وقصص الانبياء,,,Hadiths,Q11863,,
Kitāb Lamḥat al-mukhtaṭif fī ṣināʻat al-khaṭṭ al-ṣalif /,,كتاب لمحة المختطف في صناعة الخط الصل /,Lamḥat al-mukhtaṭif fī ṣināʻat al-khaṭṭ al-ṣalif,لمحة المختطف في صناعة الخط الصلف,,,Lamḥat al-mukhtaṭif fī ṣināʻat al-khaṭṭ al-ṣalif,Q12029
Akhbār Miṣr wa-mā khaṣṣahā Allāh bi-hi min al-faḍl wa-al-barakāt wa-al-khayrāt,Text on Egyptian geography,اخبار مصر وما خصها الله به من الفضل والبرکات والخيرات,,,Text on Egyptian geography,Q68187,,
Hādhā Kitāb Mukhtaṣar Muḥammad ibn Fatḥ Allāh ibn Maḥmūd al-Baylūnī min Riḥlat Abī ʻAbd Allāh Muḥammad ibn Muḥammad ibn Ibrāhīm ibn Baṭṭūṭah,,هذا كتاب مختصر محمد بن فتح الله بن محمود البيلوني من رحلة ابي عبد الله محمد بن محمد بن ابراهيم بن بطوطة,Mukhtaṣar Riḥlat Ibn Baṭṭūṭah,مختصر رحلة ابن بطوطة,,,Mukhtaṣar Riḥlat Ibn Baṭṭūṭah,Q11979
Hādhā Kitāb al-ʻAẓamah /,,هذا كتاب العظمة /,Kitāb al-ʻAẓamah,کتاب العظمة,,,Kitāb al-ʻAẓamah,Q11649
ʻAjāʼib al-makhlūqāt /,,عجائب المخلوقات /,Badʼ al-khalq wa-al-dunyā wa-qiṣaṣ al-anbiyāʼ,بدء الخلق والدنيا وقصص الانبياء,,,Wonders of Creation,Q18390
Tuḥfat al-aḥbāb wa-nukhbat al-aʻjāb /,,تحفة الاحباب ونخبة الاعجاب /,,,,,Tuḥfat al-aḥbāb wa-nukhbat al-aʻjāb,Q11737
Risālah fī ʻalāmāt al-sāʻah,,رسالة في علامات الساعة,Kharīdat al-ʻajāʼib wa-farīdat al-gharāʼib,خريدة العجائب وفريدة الغرائب,,,Kharīdat al-ʻajāʼib wa farīḍat al-gharāʼib,Q3700
Kitāb Bahjat al-nāẓīrīn wa-āyāt al-mustadillīn /,,كتاب بهجة الناظيرين وآيات المستدلين /,Bahjat al-nāẓīrīn wa-āyāt al-mustadillīn,بهجة الناظرين وآيات المستدلين,,,Bahjat al-nāẓīrīn wa-āyāt al-mustadillīn,Q12092
Kitāb al-Majālis,,كتاب المجالس,Majālis,مجالس,,,Majālis,Q11930
Rabīʻ al-anwār,,ربيع الانوار,,,,,Rabīʻ al-anwār,Q11877
Kitāb al-Ishāʻah li-ashrāṭ al-sāʻah /,,كتاب الاشاعة لاشراط الساعة /,Ishāʻah li-ashrāṭ al-sāʻah,اشاعة لاشراط الساعة,,,Ishāʻah li-ashrāṭ al-sāʻah,Q11733
al-ʻIqd al-farīd lil-Malik al-Saʻīd,,العقد الفريد للملك السعيد,,,,,ʻIqd al-farīd lil-Malik al-Saʻīd,Q11672
Hādhihi Risālah laṭīfah fī taḥwīl al-muʻāmalah,,هذه رسالة لطيفة في تحويل المعاملة,Risālah fī taḥwīl al-muʻāmalah,رسالة في تحويل المعاملة,,,Risālah,Q12161
Kitāb Taʻlīm al-mutaʻallim ... [etc,,كتاب تعليم المتعلم ... الخ,,,Taʻlīm al-mutaʻallim,Q12101,,
Sharḥ Taʻlīm al-mutaʻallim fī ṭarīq al-taʻallum,,شرح تعليم المتعلم في طريق التعلم,,,,,Sharḥ Taʻlīm al-mutaʻallim fī ṭarīq al-taʻallum,Q12035
al-Luʼluʼ al-naẓīm /,,اللؤلؤ النظيم /,Luʼluʼ al-naẓīm fī rawm al-taʻallum wa-al-taʻlīm,لؤلؤ النظيم في روم التعلم والتعليم,,,Luʼluʼ al-naẓīm fī rawm al-taʻallum wa-al-taʻlīm,Q12206
Kitāb Taḥrīr al-maqāl fī ādāb wa-aḥkām wa-fawāʼid yaḥtāju ilayhā muʼaddib al-aṭfāl /,,كتاب تحرير المقال في آداب واحكام وفوائد يحتاج اليها مؤدب الاطفال /,Taḥrīr al-maqāl fī ādāb wa-aḥkām wa-fawāʼid yaḥtāju ilayhā muʼaddib al-aṭfāl,تحرير المقال في آداب واحکام وفوائد يحتاج اليها مؤدب الاطفال,,,Taḥrīr al-maqāl fī ādāb wa-aḥkām wa-fawāʼid yaḥtāju ilayhā muʼaddib al-aṭfāl,Q11726
Nayl al-saʻādah,,نيل السعادة,Nayl al-saʻādāt fī ʻilm al-maqūlāt,نيل السعادات في علم المقولات,,,Nayl al-saʻādāt fī ʻilm al-maqūlāt,Q11904
Hādhā Kitāb Fanārī,,هذا كتاب فناري,Fawāʼid al-Fanārīyah,فوائد الفنارية,,,Fawāʼid al-Fanārīyah,Q11831
al-Farāyid al-Burhānīyah fī taḥqīq al-Fawāyid al-Fanārīyah,,الفرايد البرهانية في تحقيق الفوايد الفنارية,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah,فرائد البرهانية في تحقيق الفوائد الفنارية,,,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah,Q11830
Hādhihi Taqyīdāt ʻalá matn Īsāghūjī /,,هذه تقييدات على متن ايساغوجي /,Sharḥ Īsāghūjī,شرح ايساغوجي,,,Sharḥ Īsāghūjī,Q11905
Kitāb Ḥāshiyah ʻalá Sharḥ Īsāghūjī /,,كتاب حاشية على شرح ايساغوجي /,Ḥāshiyah ʻalá Sharḥ Īsāghūjī,حاشية على شرح ايساغوجي,,,Ḥāshiyah ʻalá Sharḥ Īsāghūjī,Q11754
Mughnī al-ṭullāb sharḥ Īsāghūjī,,مغني الطلاب شرح ايساغوجي,Mughnī al-ṭullāb,مغني الطلاب,,,Mughnī al-ṭullāb,Q11750
Sharḥ Īsāghūjī al-jadīd /,,شرح ايساغوجي الجديد /,,,,,Sharḥ Īsāghūjī al-jadīd,Q11779
ʻImād ʻalá al-taṣawwurāt,,عماد على التصورات,Ḥāshiyah ʻalá Ḥāshiyat Sharḥ al-Shamsīyah,حاشية على حاشية شرح الشمسية,,,Ḥāshiyah ʻalá Ḥāshiyat Sharḥ al-Shamsīyah,Q11888
Hādhā Kitāb Sharḥ Maṭāliʻ,,هذا كتاب شرح مطالع,Ḥāshiyah ʻalá Maṭāliʻ al-anwār,حاشية على مطالع الانوار,,,Ḥāshiyah ʻalá Maṭāliʻ al-anwār,Q11906
Ḥāshiyah ʻalá al-Ḥāshiyah al-Sharīfīyah ʻalá Sharḥ al-Maṭāliʻ /,,حاشية على الحاشية الشريفية على شرح المطالع /,,,,,Ḥāshiyah,Q11900
Ḥāshiyah ʻalá Sharḥ al-Dawwānī ʻalá al-Tahdhīb /,,حاشية على شرح الدواني على التهذيب /,Ḥāshiyah ʻalá Sharḥ al-Dawwānī,حاشية على شرح الدواني,,,Ḥāshiyah,Q11900
Hādhihi Risālah fī al-taqsīm wa-al-maqsim wa-al-qasīm /,,هذه رسالة في التقسيم والمقسم والقسيم /,Risālah fī bayān al-taqsīm wa-al-qism wa-al-qasīm,رسالة في بيان التقسيم والقسم والقسيم,,,Risālah,Q12161
Hādhihi Ḥāshiyat al-Yūsī ʻalá Sharḥ Mukhtaṣar al-Sunūsī fī ʻilm al-manṭiq,,هذه حاشية اليوسي على شرح مختصر السنوسي في علم المنطق,Nafāʼis al-durar fī ḥawāshī al-Mukhtaṣar,نفائس الدرر في حواشي المختصر,,,Ḥāshiyah,Q11900
al-Ṣaḥīfah al-ʻabqarīyah fī al-uṣūl al-manṭiqīyah,,الصحيفة العبقرية في الاصول المنطقية,,,,,Ṣaḥīfah al-ʻabqarīyah fī al-uṣūl al-manṭiqīyah,Q11652
Sharḥ Ādāb al-baḥth lil-Fanārī /,,شرح آداب البحث للفناري /,Sharḥ ʻalá Risālah fī ādāb al-baḥth,شرح على رسالة في اداب البحث,,,Sharḥ al-Risālah fī ādāb al-baḥth,Q11694
Taqrīr al-qawānīn al-mutadāwalah min ʻilm al-munāẓarah,,تقرير القوانين المتداولة من علم المناظرة,,,,,Taqrīr al-qawānīn al-mutadāwalah min ʻilm al-munāẓarah,Q12138
Kitāb Shudhūr al-dhahab min ḥurr al-kalām al-muntakhab /,,كتاب شذور الذهب من حر الكلام المنتخب /,Shudhūr al-dhahab min ḥurr al-kalām al-muntakhab,شذور الذهب من حرالکلام المنتخب,,,Shudhūr al-dhahab min ḥurr al-kalām al-muntakhab,Q12183
Kitāb Nihāyat al-idrāk fī asrūr al-aflāk /,,كتاب نهاية الادراك في اسرور الافلاك /,Nihāyat al-idrāk fī asrūr al-aflāk,نهاية الادراك في اسرار الافلاك,,,Nihāyat al-idrāk fī asrūr al-aflāk,Q11664
al-Zīj al-jadīd,,الزيج الجديد,,,,,Zīj al-jadīd,Q11812
Hādhihi Risālat dāʼirat ʻalá dāʼirat al-muʻaddal /,,هذه رسالة دائرة على دائرة المعدل /,Risālah ʻalá dāʼirat al-muʻaddal,رسالة على دائرة المعدل,,,Risālah,Q12161
Sharḥ Fatḥīyah /,,شرح فتحية /,,,,,Sharḥ Fatḥīyah,Q11968
al-Hayʼah al-sanīyah,,الهيئة السنية,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah,هيئه السنية في الهيئه السنية,,,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah,Q11825
Durr al-naẓīm,,در النظيم,,,,,Durr al-naẓīm,Q11678
Tashrīḥ al-aflāk,,تشريح الافلاك,,,,,Tashrīḥ al-aflāk,Q11935
Risālah ʻalá faḍl al-dāʼir,,رسالة على فضل الدائر,,,,,Risālah ʻalá faḍl al-dāʼir,Q11690
al-Manhal al-ʻadhb al-mustaṭāb fī kayfīyat al-ʻamal bi-al-asṭurlāb /,,المنهل العذب المستطاب في كيفية العمل بالاسطرلاب /,,,,,Manhal al-ʻadhb al-mustaṭāb fī kayfīyat al-ʻamal bi-al-asṭurlāb,Q11647
Hādhihi Tuḥfat al-murīdīn bi-sharḥ Wasīlat al-mubtadiʼīn,Text on the Islamic calendar,هذه تحفة المريدين بشرح وسيلة المبتدئين,Tuḥfat al-murīdīn bi-sharḥ Wasīlat al-mubtadiʼīn,تحفة المريدين بشرح وسيلة المبتدئين,Text on the Islamic calendar,Q68188,,
Hādhā Lumʻat al-anwār al-falakīyah wa-maʻrifat awqāt al-asrār al-khafīyah /,Astrological text,هذا لمعة الانوار الفلكية ومعرفة اوقات الاسرار الخفية /,Lumʻat al-anwār al-falakīyah wa-maʻrifat awqāt al-asrār al-khafīyah,لمعة الانوارالفلکية ومعرفة اوقات الاسرار الخفية,Astrological text,Q20378,,
al-Manhal al-sākib fī maʻrifat taḥrīk al-kawākib,,المنهل الساکب في معرفة تحريك الکواکب,,,,,Manhal al-sākib fī maʻrifat taḥrīk al-kawākib,Q12218
Sharḥ al-Mukhtaṣar fī māʻrifat al-taqāwīm,,شرح المختصر في معرفة التقاويم,,,,,Sharḥ al-Mukhtaṣar fī māʻrifat al-taqāwīm,Q12117
Hādhihi Tuḥfat al-ṭullāb fī ʻamal al-asṭurlāb,,هذه تحفة الطلاب في عمل الاسطرلاب,Tuḥfat al-ṭullāb fī ʻamal al-asṭurlāb,تحفة الطلاب في عمل الاسطرلاب,,,Tuḥfat al-ṭullāb fī ʻamal al-asṭurlāb,Q11710
Sharḥ al-Lumaʻ fī ʻilm al-ḥisāb,,شرح اللمع في علم الحساب,,,,,Sharḥ al-Lumaʻ fī ʻilm al-ḥisāb,Q12135
Kashf al-asrār ʻan ḥurūf al-ghubār,,کشف الاسرار عن حروف الغبار,,,,,Kashf al-asrār ʻan ḥurūf al-ghubār,Q11771
Kitāb Naẓm al-durr al-manthūr fī ʻamal al-munāsakhāt bi-al-ṣaḥīḥ wa-al-kusūr /,,كتاب نظم الدر المنثور في عمل المناسخات بالصحيح والكسور /,Naẓm al-durr al-manthūr fī ʻamal al-munāsakhāt bi-al-ṣaḥīḥ wa-al-kusūr,نظم الدر المنثور في عمل المناسخات بالصحيح والکسور,,,Naẓm al-durr al-manthūr fī ʻamal al-munāsakhāt bi-al-ṣaḥīḥ wa-al-kusūr,Q11686
Kitāb fī maʻrifat al-maqādīr min al-iqrārāt wa-al-waṣāyā wa-al-majhūl bi-ṭarīq al-jabr wa-al-muqābalah wa-al-Hindī wa-ghayr dhālik ... [etc,,كتاب في معرفة المقادير من الاقرارات والوصايا والمجهول بطريق الجبر والمقابلة والهندي وغير ذالك ... الخ,,,Maʻrifat al-maqādīr min al-iqrārāt wa-al-waṣāyā wa-al-majhūl bi-ṭarīq al-jabr wa-al-muqābalah wa-al-Hindī wa-ghayr dhālik,Q12260,,
Kitāb al-Qawl al-mubdiʻ fī sharḥ al-Muqniʻ ... [etc,,كتاب القول المبدع في شرح المقنع ... الخ,,,Kitāb al-qawl al-mubdiʻ fī sharḥ al-Muqniʻ,Q27628,,
Kitāb Fatḥ al-mubdiʻ fī sharḥ al-Muqniʻ /,,كتاب فتح المبدع في شرح المقنع /,Fatḥ al-mubdiʻ fī sharḥ al-Muqniʻ,فتح المبدع في شرح المقنع,,,Fatḥ al-mubdiʻ fī sharḥ al-Muqniʻ,Q11753
Hādhā al-mukhtaṣar al-laṭīf al-jāmiʻ li-akthar al-taṣānīf,,هذا المختصر اللطيف الجامع لاكثر التصانيف,Mukhtaṣar fī ʻilm al-jabr wa-al-muqābalah,مختصر في علم الجبر والمقابلة,,,Mukhtaṣar fī ʻilm al-jabr wa-al-muqābalah,Q11751
Hādhihi Muqniʻah kāmilah fī ʻilm al-jabr wa-al-muqābalah mukhtaṣarah min sharḥ al-Shaykh Muṣṭafá al-Ṭāʼī ʻalá al-Yāsmīnīyah,Mathematical text,هذه مقنعة كاملة في علم الجبر والمقابلة مختصرة من شرح الشيخ مصطفى الطائي على الياسمينية,Muqniʻah kāmilah fī ʻilm al-jabr wa-al-muqābalah,مقنعة کاملة في علم الجبر والمقابلة,Mathematical text,Q12185,,
Hādhā al-Kitāb fī ṣināʻat al-aḥjār wa-khawāṣṣihā,,هذا الكتاب في صناعة الاحجار وخواصها,Kitāb fī ṣināʻat al-aḥjār wa-khawāṣṣihā,کتاب في صناعة الاحجار وخواصها,,,Kitāb fī ṣināʻat al-aḥjār wa-khawāṣṣihā,Q12003
Kitāb al-qānūn [fī] ʻilm al-ṭibb,,كتاب القانون في علم الطب,Qānūn fī al-ṭibb,قانون في الطب,Canon of Medicine,Q2826,,
al-Qānūn fī al-ṭibb,,القانون في الطب,,,,,Canon of Medicine,Q2826
Hādhā al-Kitāb al-Mūjaz fī ʻilm al-ṭibb /,,هذا الكتاب الموجز في علم الطب /,Mūjaz fī al-ṭibb,موجز في الطب,,,Mūjaz fī al-ṭibb,Q11778
Kitāb Ḥall al-Mūjaz /,,كتاب حل الموجز /,Ḥall al-Mūjaz,حل الموجز,,,Ḥall al-Mūjiz,Q3127
Sharḥ Mūjaz Nafīsī,,شرح موجز نفيسي,Sharḥ al-Mūjaz fī al-ṭibb,شرح الموجز في الطب,,,Sharḥ al-Mūjaz fī al-ṭibb,Q12085
Urjūzah /,,ارجوزة /,Urjūzah fī al-ṭibb,ارجوزة في الطب,,,Urjūzah fī al-ṭibb,Q12075
Kitāb al-Munqidh min al-halakah fī dafʻ al-samāʼīyah al-muhlikah /,,كتاب المنقذ من الهلكة في دفع السمائية المهلكة /,Munqidh min al-halakah fī dafʻ maḍārr al-sumūm al-muhlikah,منقذ من الهلکة في دفع مضار السموم المهلکة,,,Munqidh min al-halakah fī dafʻ maḍārr al-sumūm al-muhlikah,Q11947
Kitāb Jāmiʻ al-iftirāq wa-al-ittifāq Ii-ṣanʻat al-tiryāq /,,كتاب جامع الافتراق والاتفاق لصنعة الترياق /,Jāmiʻ al-iftirāq wa-al-ittifāq Ii-ṣanʻat al-tiryāq,جامع الافتراق والاتفاق لصنعة الترياق,,,Jāmiʻ al-iftirāq wa-al-ittifāq Ii-ṣanʻat al-tiryāq,Q12248
Kifāyat al-mutaṭabbib wa-nihāyat al-mutaʼaddib /,,كفاية المتطبب ونهاية المتأدب /,,,,,Kifāyat al-mutaṭabbib wa-nihāyat al-mutaʼaddib,Q12005
Kitāb al-Raḥmah fī al-ṭibb wa-al-ḥikmah,,کتاب الرحمة في الطب والحکمة,Raḥmah fī al-ṭibb wa-al-ḥikmah,رحمة في الطب والحكمة,,,Raḥmah fī al-ṭibb wa-al-ḥikmah,Q11817
al-Nuzʹhah al-zahīyah fī aḥkām al-ḥammām al-sharʻīyah wa-al-ṭibbīyah /,,النزهة الزهية في احكام الحمام الشرعية والطبية /,,,,,Nuzʹhah al-zahīyah fī aḥkām al-ḥammām al-sharʻīyah wa-al-ṭibbīyah,Q11952
Kitāb al-Nukat al-wafīyāt fī aḥkām al-ḥummayāt /,,كتاب النكة الوفيات في احكام الحميات /,Nukat al-wafīyāt fī aḥkām al-ḥummayāt,نکت الوفيات في احکام الحميات,,,Nukat al-wafīyāt fī aḥkām al-ḥummayāt,Q11697
Kitāb Ṭibb Aʻrābī,,کتاب طب اعرابي,,,,,Kitāb Ṭibb Aʻrābī,Q11635
Majmūʻah ṭibbīyah,,مجموعة طبية,,,,,Majmūʻah ṭibbīyah,Q11827
Waṣfāt ṣaydalīyah,,وصفات صيدلية,,,,,Waṣfāt ṣaydalīyah,Q11668
Mawḍūʻāt al-ʻulūm,,موضوعات العلوم,,,,,Mawḍūʻāt al-ʻulūm,Q11925
Hādhihi Ḥāshiyat al-Nuqāyah al-musammá bi-ʻUnwān ahl al-ʻināyah ʻalá kashf ghawāmiḍ al-Nuqāyah /,,هذه حاشية النقاية المسمى بعنوان اهل العناية على كشف غوامض النقاية /,ʻUnwān ahl al-ʻināyah ʻalá kashf ghawāmiḍ al-Nuqāyah,عنوان اهل العناية على کشف غوامض النقاية,,,Ḥāshiyah,Q11900
Hādhihi Risālah mushtamilah ʻalá mabādiʼ iḥdā wa-ʻishrīn ʻilm min al-ʻulūm al-nāfiʻah /,,هذه رسالة مشتملة على مبادئ احدا وعشرين علما من العلوم النافعة /,Risālah mushtamilah ʻalá mabādiʼ iḥdá wa-ʻishrīn ʻilm,رسالة مشتملة على مبادئ احدى وعشرين علمًا,,,Risālah,Q12161
al-Qurʼān,,,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Qurʼān,,القرآن,Qurʼan,قرآن,,,Qurʼan,Q3697
Fragments from the Qurʼān,,,Qurʼan,قرآن,,,Qurʼan,Q3697
Kitāb al-Taysīr fī ʻilm al-qirāʼāt,,كتاب التيسير في علم القراءات,,,,,Kitāb al-Taysīr fī ʻilm al-qirāʼāt,Q11729
Kitāb Taḥbīr al-Taysīr fī al-qirāʼāt al-ʻasharah /,,كتاب تحبير التيسير في القراءات العشرة /,Taḥbīr al-Taysīr fī al-qirāʼāt al-aʼimmah al-ʻasharah,تحبير التيسير في القراءات الائمة العشرة,,,Taḥbīr al-Taysīr fī al-qirāʼāt al-aʼimmah al-ʻasharah,Q11815
al-Īḍāḥ fī al-waqf wa-al-ibtidāʼ /,,الايضاح في الوقف والابتدى /,,,,,Īḍāḥ fī al-waqf wa-al-ibtidāʼ,Q11799
Sharḥ Kitāb al-Waqf wa-al-ibtidāʼ,,شرح کتاب الوقف والابتداء,,,,,Sharḥ Kitāb al-Waqf wa-al-ibtidāʼ,Q12243
Kitāb Nāẓimat al-zuhr fī aʻdād āyāt al-Qurʼān al-sharīf wa-ikhtilāf ahl al-amṣār fīhā /,,كتاب ناظمة الزهر في اعداد آيات القرآن الشريف واختلاف اهل الامصار فيها /,Nāẓimat al-zuhr fī aʻdād āyāt al-Qurʼān al-sharīf wa-ikhtilāf ahl al-amṣār fīhā,ناظمة الزهرفي اعداد آيات القرآن الشريف واختلاف اهل الامصار فيها,,,Nāẓimat al-zuhr fī aʻdād āyāt al-Qurʼān al-sharīf wa-ikhtilāf ahl al-amṣār fīhā,Q11731
Ḥirz al-amānī wa-wajh al-tahānī,,حرز الاماني ووجه التهاني,,,Ḥirz al-amānī wa-wajh al-tahānī,Q11666,,
al-Kitāb al-mabsūṭ,,الکتاب المبسوط,Mabsūṭ,مبسوط,,,Mabsūṭ,Q12220
Kitāb al-Iʻlān bi-al-mukhtār min riwāyāt al-Qurʼān fī al-qirāʼāt al-sabʻ /,,كتاب الاعلان بالمختار من روايات القرآن في القراءات السبع /,Iʻlān bi-al-mukhtār min riwāyāt al-Qurʼān fī al-qirāʼāt al-sabʻ,اعلان بالمختار من روايات القرآن في القراآت السبع,,,Iʻlān bi-al-mukhtār min riwāyāt al-Qurʼān fī al-qirāʼāt al-sabʻ,Q11886
Kitāb al-Tibyān fī ādāb ḥamalat al-Qurʼān /,,كتاب التبيان في آداب حملة القرآن /,Tibyān fī ādāb ḥamalat al-Qurʼān,تبيان في آداب حملة القرآن,,,Tibyān fī ādāb ḥamalat al-Qurʼān,Q11822
Hādhihi Risālat Qurrat al-ʻayn fī al-imālah wa-al-fatḥ wa-bayna al-lafẓayn /,,هذه رسالة قرة العين في الامالة والفتح وبين اللفظين /,Qurrat al-ʻayn fī al-fatḥ wa-al-imālah wa-bayna al-lafẓayn,قرة العين في الفتح والامالة وبين اللفظين,,,Risālah,Q12161
Hādhā Kitāb Tuḥfat al-anām,,هذا كتاب تحفة الانام,Tuḥfat al-anām fī al-waqf ʻalá al-hamzah li-Ḥamzah wa-Hishām,تحفة الانام في الوقف على الهمزة لحمزة وهشام,,,Tuḥfat al-anām,Q12159
Nashr kabīr,,نشر كبير,Nashr fī al-qirāʼāt al-ʻashr,نشر في القراآت العشر,,,Nashr fī al-qirāʼāt al-ʻashr,Q11637
Kitāb al-Jazarīyah /,,كتاب الجزرية /,Muqaddimah al-Jazarīyah fī al-tajwīd,مقدمة الجزرية في التجويد,,,Muqaddimah al-Jazarīyah fī al-tajwīd,Q12089
Risālah fī al-waqf,,رسالة في الوقف,,,,,Risālah fī al-waqf,Q11648
Hādhā Kitāb Maṣāʻid al-naẓar lil-ishrāf ʻalá maqāṣid al-suwar /,,هذا كتاب مصاعد النظر للاشراف على مقاصد السور /,Maṣāʻid al-naẓar lil-ishrāf ʻalá maqāṣid al-suwar,مصاعد النظر للاشراف على مقاصد السور,,,Maṣāʻid al-naẓar lil-ishrāf ʻalá maqāṣid al-suwar,Q11960
Hādhā Kitāb al-Quṭr al-Miṣrī fī qirāʼāt al-Imām Abī ʻAmr ibn al-ʻAlāʼ al-Baṣrī,,هذا كتاب القطر المصري في قراءات الامام ابي عمرو بن العلاء البصري,Quṭr al-Miṣrī fī qirāʼāt al-Imām Abī ʻAmr ibn-al-ʻAlāʼ al-Baṣrī,قطر المصري في قراءة الامام ابي عمرو بن العلاء البصري,,,,
Majmaʻ al-baḥrayn wa-maṭlaʻ al-badrayn /,,مجمع البحرين ومطلع البدرين /,Itqān fī ʻulūm al-Qurʼān,اتقان في علوم القرآن,,,Itqān fī ʻulūm al-Qurʼān,Q11650
Portolan atlas,,,,,,,Portolan atlas,Q2828
Pulinsidun da xue Dong Ya tu shu guan cang Dunhuang Tulufan wen xian,,普林斯頓大學東亞圖書館藏敦煌吐魯番文獻,,,,,Dunhuang Tulufan wen xian,Q12716
German prayer book,,,,,,,Prayer book,Q1486
