title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb fīhi Kitābayn al-awwal al-Kifāyah ... lil-Ṣābūnī al-thānī Sharḥ al-Khujandī fī madhhab al-imām al-aʻẓam Abī Ḥanīfah al-Nuʻmān raḥimahu Allāh taʻālá,,كتاب فيه كتابين الاول الكفاية ... للصابوني الثاني شرح الخجندي في مذهب الامام الاعظم ابي حنيفة النعمان رحمه الله تعالى,Bidāyah min al-Kifāyah fī al-hidāyah fī uṣūl al-dīn,بداية من الكفاية في الهداية في اصول الدين,,,Bidāyah min al-Kifāyah fī al-hidāyah fī uṣūl al-dīn,Q11743
al-Juzʼ al-Thānī min Kitāb Jāmiʻ aḥkām al-Qurʼān wa-al-mubīn limā taḍammana min al-sunnah wa-ayy al-furqān /,,الجزء الثاني من كتاب جامع احكام القرآن والمبين لما تضمن من السنة واي الفرقان /,Jāmiʻ li-aḥkām al-Qurʼān,جامع لاحكام القرآن,,,Jāmiʻ li-aḥkām al-Qurʼān,Q12126
al-Juzʼ al-awwal min Zād al-masīr fī ʻilm al-tafsīr /,,الجزء الاول من زاد المسير في علم التفسير /,Zād al-masīr fī ʻilm al-tafsīr,زاد المسير في علم التفسير,,,Zād al-masīr fī ʻilm al-tafsīr,Q12167
al-Juzʼ al-rābiʻ min Tafsīr al-wasīṭ /,,الجزء الرابع من تفسير الوسيط /,Wasīṭ bayna al-maqbūd wa-al-basīṭ,وسيط بين المقبود والبسيط,,,Wasīṭ bayna al-maqbūd wa-al-basīṭ,Q11803
Kitāb Nuzhat al-qulūb fī tafsīr gharīb al-Qurʼān /,,كتاب نزهة القلوب في تفسير غريب القرآن /,Nuzhat al-qulūb,نزهة القلوب,,,Nuzhat al-Qulub,Q11633
Kitāb al-Siyāsah fī maʻrifat al-riyāsah al-maʻrūf bi-Sirr al-asrār ... [etc,,كتاب السياسة في معرفة الرياسة المعروف بسر الاسرار ... الخ,,,Siyāsah fī maʻrifat al-riyāsah al-maʻrūf bi-Sirr al-asrār,Q11780,,
Kitāb Khulāṣat al-abḥāth fī sharḥ Nahj al-qirāʼāt al-thalath ; Kitāb Sharḥ al-Rāʼīyah lil-Shāṭibī,,كتاب خلاصة الابحاث في شرح نهج القراءات الثلث ؛ كتاب شرح الرائية للشاطبي,,,,,Khulāṣat al-abḥāth fī sharḥ Nahj al-qirāʼāt al-thalath;Sharḥ al-Rāʼīyah lil-Shāṭibī,Q11957;Q11700
al-Juzʼ al-thānī min Sharḥ al-Shāṭibīyah,,الجزء الثاني من شرح الشاطبية,Ibrāz al-maʻānī min Ḥirz al-amānī,ابراز المعاني من حرز الاماني,,,Ibrāz al-maʻānī min Ḥirz al-amānī,Q12015
Asmāʼ al-rijāl min al-ṣaḥābah wa-al-tābiʻīn,,اسماء الرجال من الصحابة والتابعين,Ikmāl fī asmāʼ al-rijāl,اكمال في اسماء الرجال,,,Ikmāl fī asmāʼ al-rijāl,Q11762
al-Juzʼ al-thānī min Kitāb Ḥilyat al-awliyāʼ wa-ṭabaqat al-aṣfiyāʼ /,,الجزء الثاني من كتاب حلية الاوليا وطبقة الاصفيا /,Ḥilyat al-awliyāʼ,حلية الاولياء,,,Ḥilyat al-awliyāʼ,Q11915
