title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Sharḥ al-Wiqāyah ... [etc,شرح الوقاية ... الخ,,,Sharḥ al-Wiqāyah,Q11990,,
Fatāwá ... [etc,فتاوى ... الخ,,,Fatāwá,Q12221,,
Zubdat al-farāʼiḍ ... [etc,زبدة الفرائض ... الخ,,,,,,
Risālah fī al-jahr bi-al-dhikr wa-al-taghannī ... [etc,رسالة في الجهر بالذكر والتغني ... الخ,,,,,,
al-Tadhkirah al-muʻaẓẓamīyah fī al-aḥkām al-sharʻīyah,التذكرة المعظمية في الاحكام الشرعية,Tadhkirah al-muʻaẓẓamīyah,تذكرة المعظمية,,,,
Kitāb Ḥayrat al-fuqahāʼ,كتاب حيرة الفقهاء,Ḥayrat al-fuqahāʼ,حيرة الفقهاء,Ḥayrat al-fuqahāʼ;Text on jurisprudence,Q64066;Q64062,,
Khizānat al-fiqh,خزانة الفقه,,,Khizānat al-fiqh,Q12014,,
Incomplete text on the finances of the dīwān al-māl and awqāf,,,,Finances of the dīwān al-māl and awqāf,Q64067,,
Tahdhīb al-manṭiq wa-al-kalām ... [etc,تهذيب المنطق والكلام ... الخ,,,Tahdhīb al-manṭiq wa-al-kalām,Q64068,,
Ḥāshiyah ʻalá Maṭāliʻ al-anẓār ... [etc,حاشية على مطالع الانظار ... الخ,,,,,,
Tartīb al-Jāmiʻ al-ṣaghīr ... [etc,ترتيب الجامع الصغير ... الخ,,,Tartīb al-Jāmiʻ al-ṣaghīr,Q12251,,
Kitāb al-ḥudūd wa-al-aḥkām ... [etc,كتاب الحدود والاحكام ... الخ,,,Kitāb al-ḥudūd wa-al-aḥkām,Q63867,,
al-Jild al-thānī min al-Hidāyah,الجلد الثاني من الهداية,Hidāyah,هداية,Hidayah,Q39473,,
Sharḥ al-Fiqh al-akbar ... [etc.,شرح الفقه الاكبر ... الخ,,,Sharḥ al-Fiqh al-akbar,Q63868,,
"Rafʻ al-intiqāḍ wa-dafʻ al-iʻtirāḍ ʻalá qawlihim ""al-aymān mabnīyah ʻalá al-alfāẓ lā ʻalá al-aghrāḍ"" ... [etc.","رفع الانتقاض ودفع الاعتراض على قولهم ""الايمان مبنية على الالفاظ لا على الاغراض."" ... الخ",,,,,,
Uṣūl /,اصول /,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,كنز الوصول الى معرفة الصول,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,Q63861,,
Ghunyat dhawī al-iḥkām fī bughiyat Durar al-aḥkām /,غنية ذوي الاحكام في بغية درر الاحكام /,,,Ghunyat dhawī al-iḥkām fī bughiyat Durar al-aḥkām,Q63869,,
Kitāb Pazdawī fī al-uṣūl,كتاب پزدوي في الصول,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,كنز الوصول الى معرفة الصول,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,Q63861,,
Kitāb Uṣūl Bazdawī,كتاب اصول بزدوي,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,كنز الوصول الى معرفة الصول,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,Q63861,,
Uṣūl Pazdawī,اصول پزدوي,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,كنز الوصول الى معرفة الصول,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,Q63861,,
al-Kawākib al-munīrah /,الكواكب المنيرة /,,,Astronomical text,Q38381,,
al-Isʻāf fī aḥkām al-awqāf,الاسعاف في احکام الاوقاف,,,al-Isʻāf fī aḥkām al-awqāf,Q63870,,
al-Jawāhir al-muḍīʼah fī ṭabaqāt al-Ḥanafīyah,الجواهر المضيئة في طبقات الحنفية,,,al-Jawāhir al-muḍīʼah fī ṭabaqāt al-Ḥanafīyah,Q63871,,
Qalāʼid ʻuqūd al-durar wa-al-ʻiqyān fī manāqib al-Imām Abū Ḥanīfah al-Nuʻmān,قلآئد عقود الدرر والعقيان فى مناقب الامام ابي حنيفة النعمان,,,,,,
Tabyīn al-maḥārim,تبيين المحارم,,,Tabyīn al-maḥārim,Q64069,,
Kitāb al-Talkhīṣ fī sharḥ al-Jāmiʻ al-kabīr /,كتاب التلخيص في شرح الجامع الكبير /,Talkhīṣ al-Jāmiʻ al-kabīr,تلخيص الجامع الكبير,Talkhīṣ al-Jāmiʻ al-kabīr,Q64070,,
Miʻrāj al-dirāyah fī sharḥ al-Hidāyah,معراج الدراية في شرح الهداية,,,,,,
al-Mujallad al-sābiʻ min Ghāyat al-bayān fī sharḥ al-Hidāyah,المجلد السابع من غاية البيان في شرح الهداية,Ghāyat al-bayān fī sharḥ al-Hidāyah,غاية البيان في شرح الهداية,Ghāyat al-bayān fī sharḥ al-Hidāyah,Q64071,,
Zubdat al-asrār fī sharḥ Mukhtaṣar al-Manār,زبدة الاسرار في شرح مختصر المنار,,,,,,
Kitāb al-Mukhtār al-fatawá ʻalá madhhab al-Imām Abī Ḥanīfah wa-qawl Abī Yūsuf wa-Muḥammad wa-khilāf Zufar wa-al-Shāfiʻī wa-Mālik,كتاب المختار الفتوى على مذهب الامام ابي حنيفة وقول ابي يوسف ومحمد وخلاف زفر والشافعي ومالك /,Mukhtār lil-fatwá,مختار للفتوى,Mukhtār lil-fatwá,Q11891,,
Mukhtār,مختار,Mukhtār lil-fatwá,مختار للفتوى,Mukhtār lil-fatwá,Q11891,,
Kitāb Tuḥfat al-mulūk ʻalá madhhab al-Imām Abī ḥanīfah raḍiya Allāhu ʻanhu /,كتاب تحفة الملوك على مذهب الامام ابي حنيفة رضي الله عنه /,Tuḥfat al-mulūk,تحفة الملوك,Tuḥfat al-mulūk,Q27775,,
Mukhtaṣar fī ʻilm al-fiqh; Tuḥfat al-Mulūk,مختصر في علم الفقه,Tuḥfat al-mulūk,تحفة الملوك,Tuḥfat al-mulūk,Q27775,,
Tuḥfat al-mulūk /,تحفة الملوك /,Tuḥfat al-mulūk,تحفة الملوك,Tuḥfat al-mulūk,Q27775,,
al-Tuḥfat al-mulūk,التحفة الملوك,Tuḥfat al-mulūk,تحفة الملوك,Tuḥfat al-mulūk,Q27775,,
Kanz al-daqāʼiq,كنز الدقايق,,,Kanz al-Daqaʼiq,Q63872,,
Collection of Arabic texts,,,,,,Arabic texts,"Q12258"
Collection of Arabic texts on Islamic law,,,,Arabic texts;Texts on Islamic law,Q12258;Q12197,,
Two Arabic texts on Islamic law,,,,Arabic texts;Texts on Islamic law,Q12258;Q12197,,
al-Fiqh al-akbar,,,,,,,
Majmūʻah fi al-fiqh,,,,,,,
Kitāb Shirʻat al-Islām /,كتاب شرعة الاسلام /,Shirʻat al-Islām,شرعة الاسلام,Shirʻat al-Islām,Q11965,,
Shirʻat al-Islām,شرعة الاسلام,,,Shirʻat al-Islām,Q11965,,
Kitāb Shirʻat al-Islām maʻa Sayyid ʻAlīʹzādah,كتاب شرعة الاسلام مع سيد علي زاده,Shirʻat al-Islām,شرعة الاسلام,Shirʻat al-Islām,Q11965,,
Qaṣīdah manẓūmah fī masāʼil fiqhīyah,,,,,,,
Risālah fī aḥkām al-siyāsah al-sharʻīyah,,,,,,,
Risālah fī masʼalat al-ṭalāq,,,,,,,
Waṣīyat Abī Ḥanīfah li-Abī Yūsuf,,,,,,,
Bidāʾat al-mubtadī,بداءة المبتدي,,,Bidāyat al-mubtadiʼ,Q63863,,
Majmūʻah-i rasāʼil,مجموعه رسائل,,,,,,
al-Jawharah al-munīfah fī sharḥ Waṣīyat Abī Ḥanīfah ... [etc,الجوهرة المنيفة في شرح وصية ابي حنيفة ... الخ,,,al-Jawāhir al-munīfah fī sharḥ Waṣīyat Abī Ḥanīfah,Q63873,,
Arabic miscellany,,,,,,Arabic texts,"Q12258"
Badāʻiʻ al-ṣanāʼiʻ fī tartīb al-sharāʼiʻ,,,,,,,
Fatāwá Qāḍi Khān,,,,Fatāwá,Q12221,,
Wahhāj al-sharīʻah,,,,,,,
al-ḥāwī al-Qudsī fī al-furūʻ,,,,,,,
Durr al-muhtadī wa-dhukhr al-muqtadiʼ fī naẓm Bidāyat al-mubtadiʼ,,,,,,,
Sirāj al-ẓalām wa-badr al-tamām,,,,,,,
al-Hidāyah,,,,,,,
al-Nihāyah fī sharḥ al-Hidāyah,,,,,,,
