place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Turkey?,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
al-Madīnah,,,,Medina,http://vocab.getty.edu/tgn/7003869,Q11610
"Burūzhah, [Turkey",Turkey,http://vocab.getty.edu/tgn/1000144,Q3079,,,
Marʻash,,,,Maras,http://vocab.getty.edu/tgn/7018751,Q11625
al-Qusṭanṭīnīyah,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
Baldat Shām,,,,Syria (region),http://vocab.getty.edu/tgn/7594765,Q38306
Jerusalem,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
Rūsjuk,,,,,,
S.l,,,,,,
S.I.,,,,,,
S.l.,,,,,,
Korea,,,,Korea,http://vocab.getty.edu/tgn/7059230,Q12696
Ōmi no kuni Takashima-gun,,,,Takashima-shi,http://vocab.getty.edu/tgn/8743324,Q12705
Beijing,,,,Beijing,http://vocab.getty.edu/tgn/7001758,Q12694
Toledo,,,,Toledo,http://vocab.getty.edu/tgn/7008719,Q12701
Northern Italy,,,,Northern Italy,http://vocab.getty.edu/tgn/4005363,Q7507
between 1600 and 1625,,,,,,
between 1350 and 1375,,,,,,
St. Albans,,,,Saint Albans,http://vocab.getty.edu/tgn/7011871,Q12700
Southern England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
al-Qayṣarīyah,,,,Kayseri,http://vocab.getty.edu/tgn/7002465,Q11614
Zhejiang,,,,Zhejiang,http://vocab.getty.edu/tgn/7002076,Q12706
China,,,,China,http://vocab.getty.edu/tgn/1000111,Q12699
Shaanxi Sheng,,,,Shaanxi,http://vocab.getty.edu/tgn/7002084,Q12708
Hanshan Xian,,,,Hanshan,http://vocab.getty.edu/tgn/8203227,Q12697
Henan,,,,Henan,http://vocab.getty.edu/tgn/7016672,Q12710
n.p,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
Nakagōri-suji Fujimaki-mura,Shinobu-mura,http://vocab.getty.edu/tgn/8742439,Q63762,,,
n.p.,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
Patan [India,Patan;India,http://vocab.getty.edu/tgn/1140181;http://vocab.getty.edu/tgn/7000198,Q11617;Q138,,,
Ṭāshlījah,,,,,,
al-Mālud,,,,,,
Kūtāhyawī [Turkey,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079,,,
Sinklār,,,,,,
Miṣr,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
