name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Sāqizī, Ṣādiq ibn Muḥammad, -1687 or 1688",author,,,human,Ṣādiq ibn Muḥammad Sāqizī,Q131386024,DSNAME6976,Q63906,,,,
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310",author,نسفي، عبد الله بن احمد,http://id.loc.gov/authorities/names/n82144374,,,,,,human,ʿAbdallāh Ibn-Aḥmad Nasafī,Q12223449,Q12308
"Ḥaddād, Abū Bakr ibn ʻAlī, -1397 or 1398",author,حداد، ابو بكر بن علي,,human,Abū Bakr ibn ʻAlī al-Ḥaddād,Q54875371,DSNAME6977,Q63907,,,,
"Khaṭīb al-Tamartāshī, Muḥammad ibn ʻAbd Allāh, 1532 or 1533-1595 or 1596",author,,,human,Muḥammad Ibn-ʿAbdallāh at- Tamirtāšī,Q60844562,DSNAME6978,Q63908,,,,
"Ḥaṣkafī, Muḥammad ibn ʻAlī, approximately 1616-1677",author,,http://id.loc.gov/authorities/names/n85026514,,,,,,human,ʿAlāʾ-ad-Dīn Muḥammad Ibn-ʿAlī al-Ḥaṣkafī,Q20391759,Q12484
"Fattāl, Khalīl ibn Muḥammad, d. 1772",author,,,human,Khalīl ibn Muḥammad Fattāl,Q131386115,DSNAME6979,Q63909,,,,
"Ḥalabī, Ibrāhīm ibn Muṣṭafá, -1776",author,,,,,,,,human,Ibrāhīm ibn Muṣṭafá Ḥalabī,Q129951497,Q54155
"ḥalabī, ʻAbd al-Qādir ibn Ṣāliḥ, d. 1785",author,,,human,ʻAbd al-Qādir ibn Ṣāliḥ Ḥalabī,Q131432209,DSNAME6980,Q63910,,,,
"Muḥibb al-Dīn, Muḥammad ibn Abī Bakr, 1542 or 1543-1607 or 1608",author,,,human,Muhib ud-Din al-Hamawi,Q57631789,DSNAME6981,Q63911,,,,
"Ghiyāth al-Dīn al-Baghdādī, Ghānim ibn Muḥammad, fl. 1618",author,,,human,Ghiyāth al-Dīn al-Baghdādī,Q124768871,DSNAME6982,Q63912,,,,
"Seyfullah Efendi Sadizade, d. 1655",author,,,human,Seyfullah Efendi Sadizade,Q131432210,DSNAME6983,Q63913,,,,
"Dafrī, ʻUmar ibn ʻUmar, d. 1668",author,,,human,ʻUmar ibn ʻUmar Dafrī,Q131386026,DSNAME6984,Q63914,,,,
"Ibn al-Naqīb, ʻAbd al-Qādir ibn Yūsuf, -1695 or 1696",author,,,human,ʻAbd al-Qādir ibn Yūsuf Ibn al-Naqīb,Q131386027,DSNAME6985,Q63915,,,,
