ds_label,ds_qid,aat_label,aat_id,wikidata_label,wikidata_qid
Amate paper,Q22,amate paper,300264681,amate,Q455768
Bamboo,Q24,bamboo (material),300011873,bamboo,Q27891820
Bark,Q23,bark (plant material),300011860,bark,Q184453
Clay,Q25,clay,300010439,clay,Q42302
Cloth,Q26528,cloth,300162391,cloth,Q5849500
Leaf,Q26,leaf (plant material),300011892,leaf,Q33971
Leather,Q27,leather,300011845,leather,Q286
Mica,Q28,mica (mineral),300011124,mica,Q114675
Mixed Media,Q29,mixed media,300163347,mixed media,Q1902763
Palm Leaf,Q30,palm leaf (material),300011894,palm leaf,Q125811106
Paper,Q31,paper (fiber product),300014109,paper,Q11472
Papyrus,Q32,papyrus (fiber product),300014127,papyrus,Q125576
Parchment,Q33,parchment (animal material),300011851,parchment,Q226697
Silk,Q34,silk (silkworm material),300014072,silk,Q37681
Skin,Q35,skin (collagenous material),300011840,skin,Q1074
Stone,Q36,stone (worked rock),300011176,stone,Q22731
Undetermined,Q38412,undetermined (information indicator),300379012,not yet determined,Q59496158
Wax,Q37,wax,300014585,wax,Q124695
Wood,Q38,wood (plant material),300011914,wood,Q287
