ds_label,ds_qid,tgn_label,tgn_id,wikidata_label,wikidata_qid
Baalbek,Q64091,Baalbek,7002856,Baalbek,Q178835
Bad Breisig,Q54968,Bad Breisig,1038315,Bad Breisig,Q541726
Baden-Württemberg,Q38149,Baden-Württemberg,7003692,Baden-Württemberg,Q985
Badgastein,Q38150,Badgastein,1025441,Bad Gastein,Q254835
Badia Polesine,Q76314,Badia Polesine,7003285,Badia Polesine,Q34672
Baghdad,Q11612,Baghdād,7002482,Baghdad,Q1530
Baja Verapaz,Q66889,Baja Verapaz,1000520,Baja Verapaz Department,Q504647
Bali,Q100359,Bali,1001137,Bali,Q3125978
Balkan Peninsula,Q27480,Balkan Peninsula,7011636,Balkans,Q23522
Balıkesir,Q52678,Balıkesir,1086053,Balıkesir,Q199723
Bamberg,Q6976,Bamberg,7004325,Bamberg,Q3936
Bangkok,Q42468,Bangkok,7000983,Krung Thep,Q1861
Barcelona,Q16423,Barcelona,7007426,Barcelona,Q1492
Barchfeld,Q74805,Barchfeld,7210088,Barchfeld,Q31903502
Bardolino,Q76262,Bardolino,7008874,Bardolino,Q46870
Barga,Q38151,Barga,7006242,Barga,Q216479
Basel,Q38152,Basel,7007269,Basel,Q78
Basle-Country,Q5002,Basel-Landschaft,7003740,Basel-Landschaft,Q12146
Bastogne,Q76345,Bastogne,7007861,Bastogne,Q34021
Bavaria,Q1303,Bayern,7003669,Bavaria,Q980
Bayt al Faqīh,Q11607,Bayt al Faqīh,1087306,Bayt al-Faqih,Q579291
Beauvais,Q42079,Beauvais,7010570,Beauvais,Q174257
Bedfordshire,Q38153,Bedfordshire,7008103,Bedfordshire,Q67387552
Beijing,Q12694,Beijing (Beijing Shi),7001758,Beijing,Q956
Belgium,Q1243,België,1000063,Belgium,Q31
Belogorsk,Q74812,Bilohirsk,1052663,Belogorsk,Q863330
Belém,Q19884,Belém,7010773,Belém,Q18500330
Benares,Q18349,Vārānasi,7001509,Varanasi,Q79980
Berat,Q8380,Berat,7006419,Berat,Q170244
Bergamo,Q38154,Bergamo,7005025,Bergamo,Q628
Berkshire,Q20363,Berkshire,7008101,Berkshire,Q67284726
Berlin,Q54973,Berlin,7003712,Berlin (Berlin state),Q64
Besançon,Q10831,Besançon,7008356,Besançon,Q37776
Bevensen,Q76335,Bevensen,1038507,Bevensen,Q450856
Bevilacqua,Q76301,Bevilacqua,4001486,Bevilacqua,Q47479
Beyşehir,Q64092,Beyşehir,1086089,Beyşehir,Q127389
Bharūch,Q48692,Bharuch,7545012,Bharūch,Q760153
Bijāpur,Q48687,Vijaypura District,7001686,Bijāpur,Q83108
Bionde di Visegna,Q76272,Bionde di Visegna,7059015,Bionde,Q3640168
Bischheim,Q76332,Bischheim,1032154,Bischheim,Q21570
Bobbio,Q16407,Bobbio,7004992,Bobbio,Q11498
Bodensee,Q19909,Bodensee,7212103,Bodensee,Q579011
Bohemia,Q7503,Čechy,7006470,Bohemia,Q39193
Bolivia,Q17521,Bolivia,1000046,Bolivia,Q750
Bologna,Q3087,Bologna,7004847,Bologna,Q1891
Bombay,Q48707,Mumbai,7001518,Mumbai,Q1156
Bonn,Q100361,Bonn,7005090,Bonn,Q586
Bordeaux,Q7508,Bordeaux,7008161,Bordeaux,Q1479
Bosnia and Herzegovina,Q39901,Bosna i Hercegovina,7006664,Bosnia and Herzegovina,Q225
Bourg-en-Bresse,Q38155,Bourg-en-Bresse,7012558,Bourg-en-Bresse,Q133069
Bourges,Q19908,Bourges,7017415,Bourges,Q132404
Brabant,Q1313,Brabant,7003463,Pagus Bracbatensis,Q3051218
Brabant Wallon,Q38156,Brabant Wallon,7018238,Walloon Brabant,Q1122
Brazil,Q42475,Brasil,1000047,Brazil,Q155
Breonio,Q76263,Breonio,7058081,Breonio,Q18504040
Brescia,Q7214,Brescia,7005764,Brescia,Q6221
Bressanone,Q6994,Bressanone,7005433,Brixen,Q185541
Brighton,Q54971,Brighton,7011483,Brighton,Q131491
Brittany,Q1297,Bretagne,7024267,Brittany,Q327
Brody,Q74815,Brody,1053087,Brody,Q465104
Bruges,Q16418,Brugge,7007867,Bruges,Q12994
Brussels,Q19905,Bruxelles,7007868,City of Brussels,Q239
Buchau,Q3089,Buchau,7201751,Bad Buchau,Q496489
Buckinghamshire,Q38157,Buckinghamshire,7008104,Buckinghamshire,Q67285329
Bulgaria,Q52677,Bulgaria,7006413,Bulgaria,Q219
Burgos,Q12698,Burgos,7007510,Burgos,Q9580
Burgundy,Q7797,Bourgogne,7029372,Burgundy,Q1173
Burj Ṣāfītā,Q11619,Burj Ṣāfītā,1085125,Chastel Blanc,Q2961468
Bursa,Q11629,Bursa,7002420,Bursa,Q40738
Bury Saint Edmunds,Q38158,Bury Saint Edmunds,7010914,Bury St Edmunds,Q764754
Bussolengo,Q76269,Bussolengo,1043688,Bussolengo,Q46765
Buttapietra,Q76280,Buttapietra,1043694,Buttapietra,Q46731
Buxheim,Q38159,Buxheim,4002028,Buxheim (Upper Bavaria),Q516273
Byzantine Empire,Q38160,Byzantine Empire,7024407,Byzantine Empire,Q12544
Béziers,Q66890,Béziers,7017414,Béziers,Q174019
Cabrières,Q42465,Cabrières,7656498,Cabrières,Q251047
Cairo,Q3093,Al Qāhirah,7001215,Cairo,Q85
Cairo Montenotte,Q74818,Cairo Montenotte,1043712,Cairo Montenotte,Q270564
Calais,Q76344,Calais,7009002,Calais,Q6454
California,Q42487,California,7007157,California,Q99
Cambodia,Q42481,Kâmpŭchéa,1000109,Cambodia,Q424
Cambrai,Q19889,Cambrai,7008456,Cambrai,Q181285
Cambridge,Q38162,Cambridge,7010874,Cambridge,Q350
Cambridgeshire,Q38163,Cambridgeshire,7011980,Cambridgeshire,Q30612390
Camin,Q76317,Camin,7046161,Camin,Q3651594
Campania,Q38164,Campania,7003005,Campania,Q1438
Cancon,Q7794,Cancon,1032406,Cancon,Q1063738
Canterbury,Q76339,Canterbury,7012044,Canterbury,Q29303
Canton Grisons,Q38165,Graubünden,7003748,Canton of the Grisons,Q11925
Cappadocia,Q38166,Cappadocia,6003016,Cappadocia,Q217265
Carolingian Empire,Q75953,Carolingian Empire,7024348,Carolingian Empire,Q31929
Carpentras,Q74813,Carpentras,7008801,Carpentras,Q202560
Carpi,Q16419,Carpi,7004950,Carpi,Q100041
Cartagena,Q66922,Cartagena de Indias,7005072,Cartagena,Q657461
Casale Monferrato,Q76322,Casale Monferrato,7003924,Casale Monferrato,Q16333
Castelbaldo,Q76321,Castelbaldo,7045979,Castelbaldo,Q34423
Castile,Q38167,Castilla,7002784,Castile,Q173063
Castile-Leon,Q6992,Castilla y León,7001158,Castile and León,Q5739
Castino,Q7501,Castino,7044382,Castino,Q19920
Castres,Q38168,Castres,7008450,Castres,Q188776
Catalonia,Q125,Cataluña,7030216,Catalonia,Q5705
Catania,Q6984,Catania,7003947,Catania,Q1903
Caucasus,Q39905,Caucasus,7016642,Caucasus,Q18869
Caylus,Q42484,Caylus,1032459,Caylus,Q1432016
Central America,Q38169,Central America,7016739,Mesoamerica,Q13703
Central Asia,Q42470,Central Asia,8697475,Central Asia,Q27275
Central Europe,Q5945,Central Europe,4003755,Central Europe,Q27509
Central Italy,Q20356,Central Italy,4005361,Central Italy,Q1127320
