ds_label,ds_qid,ds_id,type,wikidata_label,wikidata_qid
'A'isha al-Ba'uniyya,Q12377,DSNAME1847,Personal (Name Authority),'A'isha al-Ba'uniyya,Q12222083
'Ali b. Hammud,Q41305,DSNAME4860,Personal (Name Authority),'Ali b. Hammud,Q84032227
'Ali ibn al-'Abbas al-Majusi,Q7082,DSNAME1334,Personal (Name Authority),'Ali ibn al-'Abbas al-Majusi,Q543191
'Amr ibn al-'As,Q40062,DSNAME3617,Personal (Name Authority),'Amr ibn al-'As,Q314781
A. Beijan,Q28014,DSNAME3230,Personal (Name Authority),A. Beijan,Q124130447
A. Boswel,Q17772,DSNAME2564,Personal (Name Authority),A. Boswel,Q123378460
A. J. Bowden,Q17635,DSNAME2426,Personal (Name Authority),A. J. Bowden,Q123378461
A. M. Luledgian,Q41168,DSNAME4723,Personal (Name Authority),A. M. Luledgian,Q124566869
A. Mason,Q17756,DSNAME2548,Personal (Name Authority),A. Mason,Q123378484
A. Rosenthal Ltd.,Q16500,DSNAME2192,Corporate (Name Authority),A. Rosenthal Ltd.,Q120869211
A. S. W. Rosenbach,Q20090,DSNAME2769,Personal (Name Authority),A. S. W. Rosenbach,Q3663160
A. V. Williams Jackson,Q27958,DSNAME3173,Personal (Name Authority),A. V. Williams Jackson,Q4648478
A. W. F. Fuller,Q17730,DSNAME2521,Personal (Name Authority),A. W. F. Fuller,Q4648509
Aaron ben Moses,Q40063,DSNAME3618,Personal (Name Authority),Aaron ben Moses,Q124566701
Abbadia San Salvatore,Q8201,DSNAME1632,Corporate (Name Authority),Abbadia San Salvatore,Q91096
Abbaye de Cambron,Q1592,DSNAME428,Corporate (Name Authority),Abbaye de Cambron,Q948743
Abbaye de Dommartin,Q41925,DSNAME5480,Corporate (Name Authority),Abbaye de Dommartin,Q2424223
Abbaye de Saint-Alyre,Q16513,DSNAME2206,Corporate (Name Authority),Abbaye de Saint-Alyre,Q2820668
Abbaye de Saint-Martin de Tournai,Q16475,DSNAME2167,Corporate (Name Authority),Abbaye de Saint-Martin de Tournai,Q2820407
Abbaye de Saint-Sulpice,Q6117,DSNAME1238,Corporate (Name Authority),Abbaye de Saint-Sulpice,Q1572876
Abbazia di San Domenico,Q1556,DSNAME392,Corporate (Name Authority),Abbazia di San Domenico,Q3603214
Abbe Canal,Q17734,DSNAME2525,Personal (Name Authority),Abbe Canal,Q113818373
Abbey Rents Inc.,Q41978,DSNAME5533,Corporate (Name Authority),Abbey Rents Inc.,Q124257727
Abbey of Morimondo,Q12821,DSNAME2012,Corporate (Name Authority),Abbey of Morimondo,Q1775687
Abbey of Saint Gall,Q42049,DSNAME5604,Corporate (Name Authority),Abbey of Saint Gall,Q155699
Abbey of Saint-Germain-des-Prés,Q6069,DSNAME1190,Corporate (Name Authority),Abbey of Saint-Germain-des-Prés,Q334186
Abbey of Santa Giustina,Q1870,DSNAME635,Corporate (Name Authority),Abbey of Santa Giustina,Q219502
Abbey of St Genevieve,Q42095,DSNAME5622,Corporate (Name Authority),Abbey of St Genevieve,Q1766069
"Abbey of St. Peter (Erfurt, Germany)",Q872,DSNAME259,Corporate (Name Authority),"Abbey of St. Peter (Erfurt, Germany)",Q116598715
Abbey of St. Vaast,Q1544,DSNAME380,Corporate (Name Authority),Abbey of St. Vaast,Q334220
Abbot Raphael of Czerwinsk,Q41559,DSNAME5114,Personal (Name Authority),Abbot Raphael of Czerwinsk,Q124566927
Abbot von Heselwang,Q20106,DSNAME2786,Personal (Name Authority),Abbot von Heselwang,Q114242549
Abd al-Barr bin Al-Shinah,Q12480,DSNAME1950,Personal (Name Authority),Abd al-Barr bin Al-Shinah,Q113678168
Abd al-Ghani al-Nabulsi,Q12278,DSNAME1748,Personal (Name Authority),Abd al-Ghani al-Nabulsi,Q4164547
Abd al-Latif al-Baghdadi,Q12349,DSNAME1819,Personal (Name Authority),Abd al-Latif al-Baghdadi,Q307277
Abd al-Nabī ibn Abī Bakr Kurdī,Q41083,DSNAME4638,Personal (Name Authority),Abd al-Nabī ibn Abī Bakr Kurdī,Q124566853
Abd al-Qadir al-Tabari,Q12303,DSNAME1773,Personal (Name Authority),Abd al-Qadir al-Tabari,Q86075470
Abd al-Rahim ibn al-Husain al-'Iraqi,Q12390,DSNAME1860,Personal (Name Authority),Abd al-Rahim ibn al-Husain al-'Iraqi,Q4664581
Abd al-Rahman al-Sufi,Q27986,DSNAME3202,Personal (Name Authority),Abd al-Rahman al-Sufi,Q11075
Abd al-Salam al-Shatti,Q41656,DSNAME5211,Personal (Name Authority),Abd al-Salam al-Shatti,Q92071264
Abd-al-Baqi al-Zurqani,Q41903,DSNAME5458,Personal (Name Authority),Abd-al-Baqi al-Zurqani,Q4664516
Abdias of Babylon,Q6121,DSNAME1242,Personal (Name Authority),Abdias of Babylon,Q2821315
Abdisho bar berika,Q41910,DSNAME5465,Personal (Name Authority),Abdisho bar berika,Q4665006
Abdollah ibn Bukhtishu,Q40927,DSNAME4482,Personal (Name Authority),Abdollah ibn Bukhtishu,Q4665079
Abdullah Ibn Mahmud al-Mawsili,Q12313,DSNAME1783,Personal (Name Authority),Abdullah Ibn Mahmud al-Mawsili,Q12238806
Abdullah al-Aftah,Q40939,DSNAME4494,Personal (Name Authority),Abdullah al-Aftah,Q12223477
Abdullah bin Asaad Al-Yafi'i,Q3789,DSNAME950,Personal (Name Authority),Abdullah bin Asaad Al-Yafi'i,Q12223451
Abdülbâkî Ârif Efendi,Q18724,DSNAME2677,Personal (Name Authority),Abdülbâkî Ârif Efendi,Q123581714
Abhinanda,Q28181,DSNAME3397,Personal (Name Authority),Abhinanda,Q99972294
Abhinavagupta,Q28076,DSNAME3292,Personal (Name Authority),Abhinavagupta,Q320619
Abhinavanārāyaṇendrasarasvatī,Q28251,DSNAME3467,Personal (Name Authority),Abhinavanārāyaṇendrasarasvatī,Q124252802
Abner of Burgos,Q40133,DSNAME3688,Personal (Name Authority),Abner of Burgos,Q322560
Abraham,Q40067,DSNAME3622,Personal (Name Authority),Abraham,Q124617911
Abraham Abulafia,Q40068,DSNAME3623,Personal (Name Authority),Abraham Abulafia,Q323448
Abraham Bracebridge,Q1684,DSNAME520,Personal (Name Authority),Abraham Bracebridge,Q76006713
Abraham Cohen,Q3808,DSNAME969,Personal (Name Authority),Abraham Cohen,Q4668808
Abraham Faber,Q6158,DSNAME1279,Personal (Name Authority),Abraham Faber,Q67198306
Abraham I. Katsh,Q12926,DSNAME2119,Personal (Name Authority),Abraham I. Katsh,Q30053249
Abraham Jacobi,Q42097,DSNAME5624,Personal (Name Authority),Abraham Jacobi,Q72359
Abraham Pelunis,Q42099,DSNAME5626,Personal (Name Authority),Abraham Pelunis,Q125930753
Abraham Yohannan,Q28027,DSNAME3243,Personal (Name Authority),Abraham Yohannan,Q109854399
Abraham bar Hiyya,Q3736,DSNAME896,Personal (Name Authority),Abraham bar Hiyya,Q31439
Abraham ben Meshullam of Sant'Angelo,Q3733,DSNAME893,Personal (Name Authority),Abraham ben Meshullam of Sant'Angelo,Q124426309
Abraham ben Mordecai Farissol,Q3760,DSNAME921,Personal (Name Authority),Abraham ben Mordecai Farissol,Q329975
Abraham ben Moshe,Q42096,DSNAME5623,Personal (Name Authority),Abraham ben Moshe,Q125930752
Abraham ben Shem-Ṭob,Q42098,DSNAME5625,Personal (Name Authority),Abraham ben Shem-Ṭob,Q109660011
Abraham ibn Ezra,Q40069,DSNAME3624,Personal (Name Authority),Abraham ibn Ezra,Q270670
Abu Bakr al-Hassar,Q2841,DSNAME731,Personal (Name Authority),Abu Bakr al-Hassar,Q4116723
Abu Bakr al-Kalabadhi,Q12435,DSNAME1905,Personal (Name Authority),Abu Bakr al-Kalabadhi,Q334857
Abu Bakr al-Razi,Q3193,DSNAME792,Personal (Name Authority),Abu Bakr al-Razi,Q169234
Abu Hafs Omar al-Nasafi,Q12466,DSNAME1936,Personal (Name Authority),Abu Hafs Omar al-Nasafi,Q5701959
Abu Hatim Muhammad ibn Idris al-Razi,Q40070,DSNAME3625,Personal (Name Authority),Abu Hatim Muhammad ibn Idris al-Razi,Q4670207
Abu Isa at-Tirmidhi,Q12384,DSNAME1854,Personal (Name Authority),Abu Isa at-Tirmidhi,Q293578
Abu Ishaq al-Tha'labi,Q12423,DSNAME1893,Personal (Name Authority),Abu Ishaq al-Tha'labi,Q3015226
Abu Maʻtuq al-Musawi,Q12341,DSNAME1811,Personal (Name Authority),Abu Maʻtuq al-Musawi,Q6537777
Abu Nu`aym,Q12271,DSNAME1741,Personal (Name Authority),Abu Nu`aym,Q2822174
Abu Sulaiman al-Khattabi,Q12446,DSNAME1916,Personal (Name Authority),Abu Sulaiman al-Khattabi,Q12178032
Abu Tammam,Q12323,DSNAME1793,Personal (Name Authority),Abu Tammam,Q1750054
Abu al-Faraj al-Isfahani,Q12345,DSNAME1815,Personal (Name Authority),Abu al-Faraj al-Isfahani,Q335599
Abu al-Hariri,Q12288,DSNAME1758,Personal (Name Authority),Abu al-Hariri,Q286097
Abu al-Hasan al-Shushtari,Q12335,DSNAME1805,Personal (Name Authority),Abu al-Hasan al-Shushtari,Q4118240
Abu al-Layth al-Samarqandi,Q12470,DSNAME1940,Personal (Name Authority),Abu al-Layth al-Samarqandi,Q938348
Abu al-Qasim al-Zahrawi,Q3228,DSNAME827,Personal (Name Authority),Abu al-Qasim al-Zahrawi,Q311495
Abu l-Fath,Q28056,DSNAME3272,Personal (Name Authority),Abu l-Fath,Q3603860
Abu ʻAbd Allāh Muḥammad ibn al-Bahāʼ,Q3264,DSNAME863,Personal (Name Authority),Abu ʻAbd Allāh Muḥammad ibn al-Bahāʼ,Q116418950
Abu'l-Faraj ibn al-Jawzi,Q12290,DSNAME1760,Personal (Name Authority),Abu'l-Faraj ibn al-Jawzi,Q731866
Abu-'l-Ḥasan ʿAlī Ibn-ʿAbdallāh Ibn-Muḥammad an- Nubāhī,Q41350,DSNAME4905,Personal (Name Authority),Abu-'l-Ḥasan ʿAlī Ibn-ʿAbdallāh Ibn-Muḥammad an- Nubāhī,Q55875203
Abu-Shama al-Maqdissí,Q12293,DSNAME1763,Personal (Name Authority),Abu-Shama al-Maqdissí,Q481455
Abu-l-Qāsim ibn Fīrruh Shāṭibī,Q12284,DSNAME1754,Personal (Name Authority),Abu-l-Qāsim ibn Fīrruh Shāṭibī,Q12182523
Abul Hasan ash-Shadhili,Q41652,DSNAME5207,Personal (Name Authority),Abul Hasan ash-Shadhili,Q2704613
Aburrebii ibn Salim Elcolaí,Q12388,DSNAME1858,Personal (Name Authority),Aburrebii ibn Salim Elcolaí,Q11904044
Abū Bakr ibn Aḥmad Ibn Qāḍī Shuhbah,Q12398,DSNAME1868,Personal (Name Authority),Abū Bakr ibn Aḥmad Ibn Qāḍī Shuhbah,Q85461758
Abū Bakr ibn Ismāʻīl Shanawānī,Q27920,DSNAME3134,Personal (Name Authority),Abū Bakr ibn Ismāʻīl Shanawānī,Q28715208
Abū Bakr ibn Muʻāwiyah ʻAymakī,Q41919,DSNAME5474,Personal (Name Authority),Abū Bakr ibn Muʻāwiyah ʻAymakī,Q114242486
Abū Bakr ibn Sulaymān,Q18649,DSNAME2601,Personal (Name Authority),Abū Bakr ibn Sulaymān,Q123581715
Abū Bakr ibn ʻĪsá ibn ʻAbd al-Qādir,Q40940,DSNAME4495,Personal (Name Authority),Abū Bakr ibn ʻĪsá ibn ʻAbd al-Qādir,Q124566837
Abū Naṣr Muḥammad Badr al-Dīn Farāhī,Q18662,DSNAME2614,Personal (Name Authority),Abū Naṣr Muḥammad Badr al-Dīn Farāhī,Q123581724
Abū Zurʻah al-ʻIrāqī,Q12491,DSNAME1961,Personal (Name Authority),Abū Zurʻah al-ʻIrāqī,Q12251239
Abū al-Qāsim ibn Abī Bakr Samarqandī,Q18750,DSNAME2704,Personal (Name Authority),Abū al-Qāsim ibn Abī Bakr Samarqandī,Q123581780
Abū al-Qāsim ʻAbd al-Raḥmān ibn ʻAlī ibn Abī Ṣādiq al Nīsābūrī,Q3197,DSNAME796,Personal (Name Authority),Abū al-Qāsim ʻAbd al-Raḥmān ibn ʻAlī ibn Abī Ṣādiq al Nīsābūrī,Q116380012
Abū al-Ḥasan Dallāl,Q27998,DSNAME3214,Personal (Name Authority),Abū al-Ḥasan Dallāl,Q124130444
Abū al-Ḥasan Sa'ad,Q7083,DSNAME1335,Personal (Name Authority),Abū al-Ḥasan Sa'ad,Q116235219
Abū al-Ḥasan ibn ʿAlī al-Qalaṣādī,Q12410,DSNAME1880,Personal (Name Authority),Abū al-Ḥasan ibn ʿAlī al-Qalaṣādī,Q2462319
Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Q3281,DSNAME880,Personal (Name Authority),Abū ʻAbd al-Raḥmān Yaʻqūb ibn Ayyūb Mawāhidī,Q116460016
Abū ʿAmr al-Dānī,Q12414,DSNAME1884,Personal (Name Authority),Abū ʿAmr al-Dānī,Q6820659
Accademia degli Umoristi,Q41931,DSNAME5486,Corporate (Name Authority),Accademia degli Umoristi,Q3603986
Acciaioli family,Q8084,DSNAME1593,Personal (Name Authority),Acciaioli family,Q339067
Accursius,Q1956,DSNAME721,Personal (Name Authority),Accursius,Q339824
Accursius Parmensis,Q40073,DSNAME3628,Personal (Name Authority),Accursius Parmensis,Q104884907
Achille Genty,Q40724,DSNAME4279,Personal (Name Authority),Achille Genty,Q90565541
Achille Kühnholtz-Lordat,Q41082,DSNAME4637,Personal (Name Authority),Achille Kühnholtz-Lordat,Q120898620
Achilles Statius,Q1902,DSNAME667,Personal (Name Authority),Achilles Statius,Q4673751
Acton Griscom,Q16576,DSNAME2274,Personal (Name Authority),Acton Griscom,Q56177963
Acyutakr̥ṣṇānandatīrtha,Q28399,DSNAME3615,Personal (Name Authority),Acyutakr̥ṣṇānandatīrtha,Q124252803
Ad-Dardir,Q12454,DSNAME1924,Personal (Name Authority),Ad-Dardir,Q12178564
Ad-Desouki,Q12502,DSNAME1972,Personal (Name Authority),Ad-Desouki,Q16858064
Ada E. Moorhead Thomas,Q20537,DSNAME3050,Personal (Name Authority),Ada E. Moorhead Thomas,Q122873223
Adam Clarke,Q3778,DSNAME939,Personal (Name Authority),Adam Clarke,Q3292302
Adam Luce Dominici,Q8205,DSNAME1636,Personal (Name Authority),Adam Luce Dominici,Q116325045
Adam Magister,Q7654,DSNAME1493,Personal (Name Authority),Adam Magister,Q116064221
Adam Pinkhurst,Q41493,DSNAME5048,Personal (Name Authority),Adam Pinkhurst,Q124380432
Adam Samuel Thebesius,Q41752,DSNAME5307,Personal (Name Authority),Adam Samuel Thebesius,Q350777
Adam Sim,Q17665,DSNAME2456,Personal (Name Authority),Adam Sim,Q120898808
Adam de Campigny,Q16644,DSNAME2343,Personal (Name Authority),Adam de Campigny,Q123274735
Adam of Aldersbach,Q42100,DSNAME5627,Personal (Name Authority),Adam of Aldersbach,Q120484581
Adam of Bockenfield,Q20121,DSNAME2802,Personal (Name Authority),Adam of Bockenfield,Q2824030
Adam of Eynsham,Q40075,DSNAME3630,Personal (Name Authority),Adam of Eynsham,Q4680065
Adamus Seidler,Q41641,DSNAME5196,Personal (Name Authority),Adamus Seidler,Q124380438
"Adelbert Brownlow-Cust, 3rd Earl Brownlow",Q40359,DSNAME3914,Personal (Name Authority),"Adelbert Brownlow-Cust, 3rd Earl Brownlow",Q4681850
Adelrich Benziger,Q40269,DSNAME3824,Personal (Name Authority),Adelrich Benziger,Q94866969
Admont Abbey,Q7596,DSNAME1435,Corporate (Name Authority),Admont Abbey,Q667615
Admont Abbey Library,Q16695,DSNAME2395,Corporate (Name Authority),Admont Abbey Library,Q304668
Adolf Brecher,Q40338,DSNAME3893,Personal (Name Authority),Adolf Brecher,Q15217756
Adolf von Wien,Q40077,DSNAME3632,Personal (Name Authority),Adolf von Wien,Q364908
Adolph Sutro,Q829,DSNAME225,Personal (Name Authority),Adolph Sutro,Q214461
Adolphe Lefrancq,Q16642,DSNAME2341,Personal (Name Authority),Adolphe Lefrancq,Q94841605
Adrian VI,Q8101,DSNAME1610,Personal (Name Authority),Adrian VI,Q57087
Adrian Van Sinderen,Q41807,DSNAME5362,Personal (Name Authority),Adrian Van Sinderen,Q109667835
Adriana R. Salem,Q41621,DSNAME5176,Personal (Name Authority),Adriana R. Salem,Q124566935
Adriano Castellesi,Q40404,DSNAME3959,Personal (Name Authority),Adriano Castellesi,Q775146
Adrianus David Schinkel,Q1859,DSNAME624,Personal (Name Authority),Adrianus David Schinkel,Q55901559
Adrien de le Borve,Q4424,DSNAME1060,Personal (Name Authority),Adrien de le Borve,Q116269505
Adrienne Minassian,Q41268,DSNAME4823,Personal (Name Authority),Adrienne Minassian,Q120898651
Adʹham Nūrī Waṣfī,Q18656,DSNAME2608,Personal (Name Authority),Adʹham Nūrī Waṣfī,Q123581788
Aelian,Q40082,DSNAME3637,Personal (Name Authority),Aelian,Q313782
Aelianus Tacticus,Q40083,DSNAME3638,Personal (Name Authority),Aelianus Tacticus,Q380793
Aelius Donatus,Q40548,DSNAME4103,Personal (Name Authority),Aelius Donatus,Q247137
Aelred of Rievaulx,Q40084,DSNAME3639,Personal (Name Authority),Aelred of Rievaulx,Q380845
Aemilius Probus,Q40085,DSNAME3640,Personal (Name Authority),Aemilius Probus,Q37740777
Aeneas of Gaza,Q40714,DSNAME4269,Personal (Name Authority),Aeneas of Gaza,Q137152
Aesop,Q40086,DSNAME3641,Personal (Name Authority),Aesop,Q43423
Afz̤al al-Dīn Shirvānī Khāqānī,Q18696,DSNAME2648,Personal (Name Authority),Afz̤al al-Dīn Shirvānī Khāqānī,Q123581745
Agnes Browne,Q20527,DSNAME3040,Personal (Name Authority),Agnes Browne,Q122873234
Agnes de Cavaciis,Q4384,DSNAME1020,Personal (Name Authority),Agnes de Cavaciis,Q116272217
Agnes de Claustris,Q4358,DSNAME993,Personal (Name Authority),Agnes de Claustris,Q116272273
Agnivesa,Q28379,DSNAME3595,Personal (Name Authority),Agnivesa,Q2721950
Agostino Dati,Q40088,DSNAME3643,Personal (Name Authority),Agostino Dati,Q5659931
Agostino Squara,Q40090,DSNAME3645,Personal (Name Authority),Agostino Squara,Q117321169
Agostino Staccoli,Q6115,DSNAME1236,Personal (Name Authority),Agostino Staccoli,Q45535876
Agostino da Scarperia,Q40089,DSNAME3644,Personal (Name Authority),Agostino da Scarperia,Q3606836
Agricola,Q1568,DSNAME404,Personal (Name Authority),Agricola,Q3606863
Aharon ben Shemei Yosef,Q42101,DSNAME5628,Personal (Name Authority),Aharon ben Shemei Yosef,Q125930754
Aharon ben Zachariah Friedenthal,Q42102,DSNAME5629,Personal (Name Authority),Aharon ben Zachariah Friedenthal,Q125930755
Ahmad Damanhuri,Q12378,DSNAME1848,Personal (Name Authority),Ahmad Damanhuri,Q12178566
Ahmad Ibn-Muhammad Ibn-al-Haʾim,Q12285,DSNAME1755,Personal (Name Authority),Ahmad Ibn-Muhammad Ibn-al-Haʾim,Q56250455
Ahmad al-Buni,Q40369,DSNAME3924,Personal (Name Authority),Ahmad al-Buni,Q4695507
Ahmad ibn Abd al-Razzaq al-Tantarani,Q18663,DSNAME2615,Personal (Name Authority),Ahmad ibn Abd al-Razzaq al-Tantarani,Q96758067
Ahmad ibn Muhammad al-Razi,Q40092,DSNAME3647,Personal (Name Authority),Ahmad ibn Muhammad al-Razi,Q8192126
Ahmad ibn Muhammad ibn Kathīr al-Farghānī,Q40125,DSNAME3680,Personal (Name Authority),Ahmad ibn Muhammad ibn Kathīr al-Farghānī,Q336550
Ahmad ibn Naqib al-Misri,Q12486,DSNAME1956,Personal (Name Authority),Ahmad ibn Naqib al-Misri,Q13426754
Ahmed al-Shahi,Q12468,DSNAME1938,Personal (Name Authority),Ahmed al-Shahi,Q113397583
Ahmed al-Tijani,Q41776,DSNAME5331,Personal (Name Authority),Ahmed al-Tijani,Q365797
Ahmed ibn Nasir,Q28057,DSNAME3273,Personal (Name Authority),Ahmed ibn Nasir,Q4696101
Ahterî,Q40098,DSNAME3653,Personal (Name Authority),Ahterî,Q21600909
Akbar,Q3268,DSNAME867,Personal (Name Authority),Akbar,Q8597
Akmal al-Din al-Babarti,Q12482,DSNAME1952,Personal (Name Authority),Akmal al-Din al-Babarti,Q12180143
Al-Ibshīhī,Q12352,DSNAME1822,Personal (Name Authority),Al-Ibshīhī,Q3607421
Al-Bannani,Q40218,DSNAME3773,Personal (Name Authority),Al-Bannani,Q16145863
Al-Bayhaqi,Q12437,DSNAME1907,Personal (Name Authority),Al-Bayhaqi,Q293663
Al-Biruni,Q3744,DSNAME905,Personal (Name Authority),Al-Biruni,Q11826
Al-Damiri,Q12283,DSNAME1753,Personal (Name Authority),Al-Damiri,Q330616
Al-Dhahabi,Q12282,DSNAME1752,Personal (Name Authority),Al-Dhahabi,Q293554
Al-Ghazali,Q12305,DSNAME1775,Personal (Name Authority),Al-Ghazali,Q9546
Al-Hajjawi,Q12500,DSNAME1970,Personal (Name Authority),Al-Hajjawi,Q16120411
Al-Hilli,Q40924,DSNAME4479,Personal (Name Authority),Al-Hilli,Q290506
Al-Jaldaki,Q3239,DSNAME838,Personal (Name Authority),Al-Jaldaki,Q4164868
Al-Khazini,Q3184,DSNAME783,Personal (Name Authority),Al-Khazini,Q2991836
Al-Khwarizmi,Q28061,DSNAME3277,Personal (Name Authority),Al-Khwarizmi,Q9038
Al-Khāzin al-Baghdādī,Q12425,DSNAME1895,Personal (Name Authority),Al-Khāzin al-Baghdādī,Q17521123
Al-Kindi,Q40127,DSNAME3682,Personal (Name Authority),Al-Kindi,Q179759
Al-Larí,Q28021,DSNAME3237,Personal (Name Authority),Al-Larí,Q16162398
Al-Maqrizi,Q12382,DSNAME1852,Personal (Name Authority),Al-Maqrizi,Q293604
Al-Mawardi,Q3208,DSNAME807,Personal (Name Authority),Al-Mawardi,Q335635
Al-Mu'azzam Isa,Q28017,DSNAME3233,Personal (Name Authority),Al-Mu'azzam Isa,Q286553
Al-Mubashshir ibn Fātik,Q7936,DSNAME1574,Personal (Name Authority),Al-Mubashshir ibn Fātik,Q11904655
Al-Nasa'i,Q12434,DSNAME1904,Personal (Name Authority),Al-Nasa'i,Q293535
Al-Nawawi,Q12416,DSNAME1886,Personal (Name Authority),Al-Nawawi,Q293571
Al-Qastallani,Q12333,DSNAME1803,Personal (Name Authority),Al-Qastallani,Q2829271
Al-Quda'i,Q12436,DSNAME1906,Personal (Name Authority),Al-Quda'i,Q15431116
Al-Shahrastani,Q12309,DSNAME1779,Personal (Name Authority),Al-Shahrastani,Q1050887
Al-Shurunbulali,Q12485,DSNAME1955,Personal (Name Authority),Al-Shurunbulali,Q25452012
Al-Suhayli,Q12294,DSNAME1764,Personal (Name Authority),Al-Suhayli,Q4703267
Al-Tughrai,Q12328,DSNAME1798,Personal (Name Authority),Al-Tughrai,Q4164865
Al-Zamakhshari,Q12315,DSNAME1785,Personal (Name Authority),Al-Zamakhshari,Q482451
Al-Ḥusayn ibn al-Ḥasan Jurjānī,Q27950,DSNAME3165,Personal (Name Authority),Al-Ḥusayn ibn al-Ḥasan Jurjānī,Q124130483
Alaeddin Tabrizi,Q28025,DSNAME3241,Personal (Name Authority),Alaeddin Tabrizi,Q5772284
Alain Campbell White,Q41849,DSNAME5404,Personal (Name Authority),Alain Campbell White,Q117088
Alain Chartier,Q895,DSNAME282,Personal (Name Authority),Alain Chartier,Q982038
Alain de Lille,Q7594,DSNAME1433,Personal (Name Authority),Alain de Lille,Q4313
Alamanno Gerardi,Q7035,DSNAME1287,Personal (Name Authority),Alamanno Gerardi,Q116328852
Alamanno de' Medici,Q4419,DSNAME1055,Personal (Name Authority),Alamanno de' Medici,Q116181729
Alan G. Thomas,Q1649,DSNAME485,Personal (Name Authority),Alan G. Thomas,Q4706665
Alan H. Kempner,Q28001,DSNAME3217,Personal (Name Authority),Alan H. Kempner,Q96631872
Alan Noel Latimer Munby,Q7934,DSNAME1572,Personal (Name Authority),Alan Noel Latimer Munby,Q3607762
Albert C. Baugh,Q4456,DSNAME1092,Personal (Name Authority),Albert C. Baugh,Q4709851
Albert Charles Robinson Carter,Q17728,DSNAME2519,Personal (Name Authority),Albert Charles Robinson Carter,Q15627125
Albert Figdor,Q40102,DSNAME3657,Personal (Name Authority),Albert Figdor,Q1552207
Albert M. Patrick,Q8428,DSNAME1713,Personal (Name Authority),Albert M. Patrick,Q116192893
Albert M. Todd,Q4426,DSNAME1062,Personal (Name Authority),Albert M. Todd,Q2638433
"Albert Parker, 3rd Earl of Morley",Q41287,DSNAME4842,Personal (Name Authority),"Albert Parker, 3rd Earl of Morley",Q4710980
Albert Schlichting,Q41634,DSNAME5189,Personal (Name Authority),Albert Schlichting,Q4525454
Albert VII of Mansfeld,Q42103,DSNAME5630,Personal (Name Authority),Albert VII of Mansfeld,Q109747
Albertanus of Brescia,Q5120,DSNAME1127,Personal (Name Authority),Albertanus of Brescia,Q2831705
Albertino Mussato,Q40104,DSNAME3659,Personal (Name Authority),Albertino Mussato,Q737321
Alberto Cattani,Q5134,DSNAME1141,Personal (Name Authority),Alberto Cattani,Q116269885
Alberto III Pio,Q40106,DSNAME3661,Personal (Name Authority),Alberto III Pio,Q1754523
Alberto Trotti,Q40107,DSNAME3662,Personal (Name Authority),Alberto Trotti,Q113779031
Albertus Gandinus,Q40108,DSNAME3663,Personal (Name Authority),Albertus Gandinus,Q3608315
Albertus Magnus,Q410,DSNAME137,Personal (Name Authority),Albertus Magnus,Q60059
Albertus de Saxonia,Q40105,DSNAME3660,Personal (Name Authority),Albertus de Saxonia,Q61044
Albrecht von Bonstetten,Q40322,DSNAME3877,Personal (Name Authority),Albrecht von Bonstetten,Q1683081
Albrecht von Eyb,Q4448,DSNAME1084,Personal (Name Authority),Albrecht von Eyb,Q77715
Albrecht von Pfalz-Mosbach,Q40110,DSNAME3665,Personal (Name Authority),Albrecht von Pfalz-Mosbach,Q1739358
"Albrecht, Graf zu Löwenstein-Wertheim-Virneburg",Q41155,DSNAME4710,Personal (Name Authority),"Albrecht, Graf zu Löwenstein-Wertheim-Virneburg",Q108924050
Alcher of Clairvaux,Q40111,DSNAME3666,Personal (Name Authority),Alcher of Clairvaux,Q2832136
Alcinous,Q40112,DSNAME3667,Personal (Name Authority),Alcinous,Q936686
Alcuin,Q1543,DSNAME379,Personal (Name Authority),Alcuin,Q154332
Aldhelm,Q40113,DSNAME3668,Personal (Name Authority),Aldhelm,Q709718
Aldobrandino da Siena,Q834,DSNAME230,Personal (Name Authority),Aldobrandino da Siena,Q2832270
Aldonza de Castilla,Q40403,DSNAME3958,Personal (Name Authority),Aldonza de Castilla,Q5664524
Alessandro Donzellini,Q40550,DSNAME4105,Personal (Name Authority),Alessandro Donzellini,Q27831940
Alessandro Farnese,Q4365,DSNAME1001,Personal (Name Authority),Alessandro Farnese,Q248459
Alessandro Fomelli,Q40661,DSNAME4216,Personal (Name Authority),Alessandro Fomelli,Q124566803
Alessandro Oliva,Q40115,DSNAME3670,Personal (Name Authority),Alessandro Oliva,Q579749
Alessandro Piccolomini,Q7340,DSNAME1400,Personal (Name Authority),Alessandro Piccolomini,Q250089
Alessandro Piccolomini,Q8230,DSNAME1661,Personal (Name Authority),Alessandro Piccolomini,Q25209256
Alessandro da Sassoferrato,Q7315,DSNAME1374,Personal (Name Authority),Alessandro da Sassoferrato,Q116235361
Alessandro da Verrazzano,Q41817,DSNAME5372,Personal (Name Authority),Alessandro da Verrazzano,Q120752959
Alessandro degli Angeli,Q40116,DSNAME3671,Personal (Name Authority),Alessandro degli Angeli,Q59627685
Alessandro di Nicolo Medico,Q3751,DSNAME912,Personal (Name Authority),Alessandro di Nicolo Medico,Q116453207
Alex Scott Carter,Q40631,DSNAME4186,Personal (Name Authority),Alex Scott Carter,Q124258082
