ds_label,ds_qid,ds_id,type,wikidata_label,wikidata_qid
Michel Ferdinand d'Albert d'Ailly,Q1820,DSNAME585,Personal (Name Authority),Michel Ferdinand d'Albert d'Ailly,Q3309624
Michel Foret,Q16713,DSNAME2414,Personal (Name Authority),Michel Foret,Q2741931
Michel Guibé,Q42251,DSNAME5778,Personal (Name Authority),Michel Guibé,Q3309835
Michel de Corbeil,Q41259,DSNAME4814,Personal (Name Authority),Michel de Corbeil,Q64761985
Michel de Léon,Q7870,DSNAME1504,Personal (Name Authority),Michel de Léon,Q116447053
Michele,Q42012,DSNAME5567,Corporate (Name Authority),Michele,Q117456231
Michele Amari,Q3757,DSNAME918,Personal (Name Authority),Michele Amari,Q703569
Michele Cavaleri,Q16555,DSNAME2252,Personal (Name Authority),Michele Cavaleri,Q60841316
Michele Suriano,Q41732,DSNAME5287,Personal (Name Authority),Michele Suriano,Q82948837
Michele Vestri,Q7039,DSNAME1291,Personal (Name Authority),Michele Vestri,Q116648473
Michele Zopello,Q401,DSNAME128,Personal (Name Authority),Michele Zopello,Q114242476
Michell Archer,Q7296,DSNAME1355,Personal (Name Authority),Michell Archer,Q116236850
Michiel family,Q42013,DSNAME5568,Corporate (Name Authority),Michiel family,Q3311494
Mikhail Golitsyn,Q40779,DSNAME4334,Personal (Name Authority),Mikhail Golitsyn,Q683569
Miles Huggarde,Q40908,DSNAME4463,Personal (Name Authority),Miles Huggarde,Q6851419
Millard Meiss,Q41247,DSNAME4802,Personal (Name Authority),Millard Meiss,Q585290
Milton Fischmann,Q40652,DSNAME4207,Personal (Name Authority),Milton Fischmann,Q124629904
Minerva Kaiser,Q16530,DSNAME2226,Personal (Name Authority),Minerva Kaiser,Q123274779
Minuccio Minucci,Q41269,DSNAME4824,Personal (Name Authority),Minuccio Minucci,Q282495
Mir Damad,Q18708,DSNAME2661,Personal (Name Authority),Mir Damad,Q3315763
Miriam Lutcher Stark,Q17639,DSNAME2430,Personal (Name Authority),Miriam Lutcher Stark,Q123378489
Mirmellus Arnandi,Q40183,DSNAME3738,Personal (Name Authority),Mirmellus Arnandi,Q124566714
Mirza Mehdi Khan Astarabadi,Q18684,DSNAME2636,Personal (Name Authority),Mirza Mehdi Khan Astarabadi,Q3107525
Mirzā Abū al-Qāsim,Q28062,DSNAME3278,Personal (Name Authority),Mirzā Abū al-Qāsim,Q124130494
Miss Gostling,Q17706,DSNAME2497,Personal (Name Authority),Miss Gostling,Q114406921
Mitchell Starrett Buck,Q18706,DSNAME2659,Personal (Name Authority),Mitchell Starrett Buck,Q6881384
Mobed Framji Fardunji Madan,Q27937,DSNAME3151,Personal (Name Authority),Mobed Framji Fardunji Madan,Q124130495
Mobed Hormazdyar Mobed Khodabaksh,Q27935,DSNAME3149,Personal (Name Authority),Mobed Hormazdyar Mobed Khodabaksh,Q124130496
Mobed Sohrab,Q28003,DSNAME3219,Personal (Name Authority),Mobed Sohrab,Q124130497
Modestus,Q41271,DSNAME4826,Personal (Name Authority),Modestus,Q1942111
Mohamed. Makiya,Q41185,DSNAME4740,Personal (Name Authority),Mohamed. Makiya,Q1942781
Mohammed Abdel Gawad,Q40065,DSNAME3620,Personal (Name Authority),Mohammed Abdel Gawad,Q124629900
Mohammed Awzal,Q40851,DSNAME4406,Personal (Name Authority),Mohammed Awzal,Q592255
Mohammed al-Rudani,Q12444,DSNAME1914,Personal (Name Authority),Mohammed al-Rudani,Q6893439
