title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"Abidatsuma kusharon ""Funbetsuzuimenbon dai go no ni"" /",阿毗達磨俱舍論「分別随民品第五之二」 /,Tripiṭaka.,,Tripiṭaka
Aeneas Siluius in Europam,,In Europam,,In Europam
Amerika shokan utsushi niken,亜美理駕書翰寫 二件.,,,Amerika shokan utsushi niken
Antiphonary,,,,Antiphonary
Antiphonary fragment,,,,Antiphonary
Artis metrice practice compilatio,,,,Artis metrice practice compilatio
"Aurora, sive Biblia versificata",,,,Aurora
Autograph letter signed,,,,Letter
"Autograph letter signed, philippus",,,,Letter
Bai jia lei zuan,百家類纂 :,,,Bai jia lei zuan
Bai yun gao /,白雲稿 /,,,Bai yun gao
Banxuan ji /,半軒集 /,Works.,,Works
Bible,,Bible.,,Bible
"Bible, Latin (Daniel fragment)",,Bible.,,"Bible, Daniel"
"Bible, Middle English",,Bible.,,Bible
"Bible, New Testament, Middle English",,Bible.,,"Bible, New Testament"
Blickling Homilies,,,,Blickling Homilies
Bo'an xian sheng wen ji,泊菴先生文集 :,,,Bo'an xian sheng wen ji
Book of Hours,,,,Book of hours
Book of Hours; Use of Rome,,,,Book of hours
Book of Hours; Use of Rouen,,,,Book of hours
Book of hours,,,,Book of hours
Book of the Dead,,,,Book of the Dead
Breve dell'Arte degli Albergatori in Siena,,,,Breve dell'Arte degli Albergatori
Breviary,,,,Breviary
Bull of Pope Martin V,,,,Papal bull
Canon law text,,,,Canon law
Catholicon,,,,Catholicon
Chaweng shi,槎翁詩 :,Poems,,Poems
Chōsen hachidō no zu /,朝鮮八道之圖　/,,,Chōsen hachidō no zu
Chujoryū sanzen sango no sho,中條流産前産後之書.,,,Chujoryū sanzen sango no sho
Collectio Dionysio-Hadriana,,,,Collectio Dionysio-Hadriana
Contra Iulianum,,Contra Julianum,,Argument
Da Ming ji li,大明集禮 :,,,Da Ming ji li
Dafu ji,大復集 :,,,Dafu ji
Daihan'nya haramittakyō,大般若波羅蜜多經.,Tripiṭaka.,,Tripiṭaka
Daihannya haramitakyō,大般若波羅蜜多經.,Tripiṭaka.,,Tripiṭaka
Daihannya haramitakyō /,大般若波羅蜜多經 /,Tripiṭaka.,,Tripiṭaka
Daihō kōbutsu Kegonkyō,大方廣佛華嚴經 :,Tripiṭaka.,,Tripiṭaka
"Deed for a gift made by Iohannis, commander of Ravenna and his wife Stefania to Iohannia, abbess of the monastary of San Giovanni Battista (called ad Navicula)",,,,Deed
"Deed for sale of five arouras of land, at a cost of 200 silver drachmas, near the village of Bacchias in the topos of Pouatb",,,,Deed of sale
Deed for sale of land,,,,Deed of sale
Dialogorum libri IV,,,,Dialogues
Dong gao lu,東臯錄 :,,,Dong gao lu
Dongzhou chu gao,東洲初稿 :,Selections.,,Selections
Dounanlaoren shi ji,斗南老人詩集 :,,,Dounanlaoren shi ji
Engi shōdōkyō /,緣起聖道経 /,Pratītyasamutpãdasūtra.,,Yuánqǐ shèng dào jīng
Evangelia IV,,,,Evangelia
"Extracts from Heinrich Suso, Peter Damian, & PS. Bernard",,,,Extracts from monastic authorities
Fanglu wen ji,方麓文集 :,Selections.,,Selections
Fioretti,,Fioretti di San Francesco.,,Fioretti di San Francesco
Fu xi wen cui,浮溪文粹 :,,,Fu xi wen cui
Funeral office,,,,Funeral office
Gao Manshi mu tian qing qi ji,高漫士木天清氣集 :,,,Gao Manshi mu tian qing qi ji
Gao huang di yu zhi wen ji,高皇帝御製文集 :,,,Gao huang di yu zhi wen ji
Genealogia Christi and a universal history,,,,Genealogy
German prayer book,,,,Prayer book
Gesta Regum Anglorum,,,,Gesta Regum Anglorum
Gospel book,,Bible.,,Gospel book
Gospel lectionary,,,,Lectionary
Gradual,,,,Gradual
Gradual fragment,,,,Gradual
Guanguang shi ji,觀光詩集 ;,,,Guanguang shi ji
Guanzi que,管子榷 :,,,Guanzi que
Guchuan ji,||川集 :,Selections.,,Selections
Gyūbyō ryōji narabi ni eiri shahon,牛病療治并繪入写本.,,,Treatment of cattle diseases
Hagakure,葉隱.,,,Hagakure
Heike monogatari,平家物語.,Heike monogatari.,平家物語.,Heike monogatari
Honkishū,本騎集.,,,Honkishū
Huang Ming shi fa lu,皇明世法錄 :,,,Huang Ming shi fa lu
Huang Ming su huang wai shi,皇明肅皇外史 :,,,Huang Ming su huang wai shi
Huangfu Shaoxuan ji /,皇甫少玄集 /,Works.,,Works
Hyakki yagyō emaki /,百鬼夜行絵卷 /,,,Hyakki yagyō emaki
Indenture for a messuage,,,,Indenture
Indenture for a messuage of 120 acres,,,,Indenture
"Indenture of apprenticeship to John Gove, clerk",,,,Indenture
