row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.383864Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.041139Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804601Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.026788Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.624152Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.728477Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.086079Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.444763Z","Albertus, Magnus, Saint, 1193?-1280",author,,,,,,human,Albertus Magnus,Q60059
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386134Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.042939Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804856Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028830Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.624993Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729432Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087401Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445295Z","Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,,,,,human,Antoninus of Florence,Q773822
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386148Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.042955Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804862Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028859Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625010Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729470Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087414Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445306Z","Augustine, of Hippo, Saint, 354-430",author,,,,,,human,Augustine of Hippo,Q8018
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386156Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.042964Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804866Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028864Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625017Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729483Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087421Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445321Z","Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,,,,,human,Bernard of Clairvaux,Q188411
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386172Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.042978Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804876Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028868Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625254Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729493Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087451Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445327Z","Bonaventure, Saint, Cardinal, approximately 1217-1274",author,,,,,,human,Bonaventure,Q43746
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386178Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.042986Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804879Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028874Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625275Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729521Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087457Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445340Z","Bruni, Leonardo, 1369-1444",author,,,,,,human,Leonardo Bruni,Q314488
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386185Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.042994Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804883Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028878Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625283Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729531Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087463Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445349Z","Burgess, Edward Sandford, 1855-1928",former owner,,,,,,human,Edward Sandford Burgess,Q5820022
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386197Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.043006Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804892Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028881Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625289Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729541Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087479Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445355Z","Burgess, Julia",former owner,,,,,,human,Julia Burgess,Q75469750
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386203Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.043014Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804900Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028887Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625303Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729557Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087488Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445365Z",Catholic Church,author,,,,,,organization,Catholic Church,Q9592
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-09T17:23:31.386209Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-09T17:23:55.043021Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-09T17:24:48.804903Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-09T17:25:10.028890Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-09T17:26:34.625309Z | NAME RECON STEP 6: START ORG RECON 2023-09-09T17:50:57.729567Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-09T17:51:17.087494Z | NAME RECON STEP 9: FINALIZED 2023-09-09T17:51:48.445380Z",Catholic Church. Pope (1227-1241 : Gregory IX),author,,,Gregory IX,human,Q124831,,,
