genre_as_recorded,genre-term,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
Headpieces (layout features)--10th century,Headpieces (layout features)--10th century,aat,,headpieces (layout features);Tenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1147737,,
Headpieces (layout features)--11th century,Headpieces (layout features)--11th century,aat,,headpieces (layout features);Eleventh century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/908096,,
Historiated initials--England--15th century,Historiated initials--England--15th century,aat,,historiated initials;England;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,,
Historiated initials--France--12th century,Historiated initials--France--12th century,aat,,historiated initials;France;Twelfth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1159791,,
Historiated initials--France--13th century,Historiated initials--France--13th century,aat,,historiated initials;France;Thirteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,,
Historiated initials--Germany--14th century,Historiated initials--Germany--14th century,aat,,historiated initials;Germany;Fourteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/933420,,
Historiated initials--Italy--14th century,Historiated initials--Italy--14th century,aat,,historiated initials;Italy;Fourteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Historiated initials--Italy--15th century,Historiated initials--Italy--15th century,aat,,historiated initials;Italy;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Historiated initials--Italy--16th century,Historiated initials--Italy--16th century,aat,,historiated initials;Italy;Sixteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,,
Illuminated manuscripts--10th century,Illuminated manuscripts--10th century,aat,,illuminated manuscripts;Tenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1147737,,
Illuminated manuscripts--11th century,Illuminated manuscripts--11th century,aat,,illuminated manuscripts;Eleventh century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/908096,,
Illuminated manuscripts--12th century,Illuminated manuscripts--12th century,aat,,illuminated manuscripts;Twelfth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1159791,,
Illuminated manuscripts--14th century,Illuminated manuscripts--14th century,aat,,illuminated manuscripts;Fourteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/933420,,
Illuminated manuscripts--16th century,Illuminated manuscripts--16th century,aat,,illuminated manuscripts;Sixteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1119851,,
Illuminated manuscripts--Belgium--Mons--15th century,Illuminated manuscripts--Belgium--Mons--15th century,aat,,illuminated manuscripts;;Belgium--Mons;Fifteenth century,http://vocab.getty.edu/aat/300265483;;http://id.worldcat.org/fast/1206359;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--England--14th century,Illuminated manuscripts--England--14th century,aat,,illuminated manuscripts;England;Fourteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
Illuminated manuscripts--England--15th century,Illuminated manuscripts--England--15th century,aat,,illuminated manuscripts;England;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--France--12th century,Illuminated manuscripts--France--12th century,aat,,illuminated manuscripts;France;Twelfth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1159791,,
Illuminated manuscripts--France--13th century,Illuminated manuscripts--France--13th century,aat,,illuminated manuscripts;France;Thirteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,,
Illuminated manuscripts--France--Rouen--15th century,Illuminated manuscripts--France--Rouen--15th century,aat,,illuminated manuscripts;France--Rouen;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1205659;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--Germany--13th century,Illuminated manuscripts--Germany--13th century,aat,,illuminated manuscripts;Germany;Thirteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1150138,,
Illuminated manuscripts--Germany--14th century,Illuminated manuscripts--Germany--14th century,aat,,illuminated manuscripts;Germany;Fourteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/933420,,
Illuminated manuscripts--Islamic countries--17th century,Illuminated manuscripts--Islamic countries--17th century,aat,,illuminated manuscripts;Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,,
Illuminated manuscripts--Italy--12th century,Illuminated manuscripts--Italy--12th century,aat,,illuminated manuscripts;Italy;Twelfth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1159791,,
Illuminated manuscripts--Italy--14th century,Illuminated manuscripts--Italy--14th century,aat,,illuminated manuscripts;Italy;Fourteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Illuminated manuscripts--Italy--15th century,Illuminated manuscripts--Italy--15th century,aat,,illuminated manuscripts;Italy;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--Italy--Florence--15th century,Illuminated manuscripts--Italy--Florence--15th century,aat,,illuminated manuscripts;Italy--Florence;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/923962,,
Illuminated manuscripts--Italy--Siena--14th century,Illuminated manuscripts--Italy--Siena--14th century,aat,,illuminated manuscripts;Italy--Siena;Fourteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/933420,,
Indentures,,aat,,,,indentures,http://vocab.getty.edu/aat/300027753
Indentures--15th century,Indentures--15th century,aat,,indentures;Fifteenth century,http://vocab.getty.edu/aat/300027753;http://id.worldcat.org/fast/923962,,
Indentures--England--15th century,Indentures--England--15th century,aat,,indentures;England;Fifteenth century,http://vocab.getty.edu/aat/300027753;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,,
Inhabited initials--England--14th century,Inhabited initials--England--14th century,aat,,inhabited initials;England;Fourteenth century,http://vocab.getty.edu/aat/300198398;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
Initials (layout features)--11th century,Initials (layout features)--11th century,aat,,initials (layout features);Eleventh century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/908096,,
Initials (layout features)--12th century,Initials (layout features)--12th century,aat,,initials (layout features);Twelfth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/1159791,,
Initials (layout features)--13th century,Initials (layout features)--13th century,aat,,initials (layout features);Thirteenth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/1150138,,
Initials (layout features)--15th century,Initials (layout features)--15th century,aat,,initials (layout features);Fifteenth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/923962,,
Initials (layout features)--Germany--14th century,Initials (layout features)--Germany--14th century,aat,,initials (layout features);Germany;Fourteenth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/933420,,
Initials (layout features)--Italy--14th century,Initials (layout features)--Italy--14th century,aat,,initials (layout features);Italy;Fourteenth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Initials (layout features)--Italy--16th century,Initials (layout features)--Italy--16th century,aat,,initials (layout features);Italy;Sixteenth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,,
Initials (layout features)--Spain--14th century,Initials (layout features)--Spain--14th century,aat,,initials (layout features);Spain;Fourteenth century,http://vocab.getty.edu/aat/300168055;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/933420,,
Leather binding (Binding),Leather binding (Binding),rbbin,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,,
Leather bindings (Binding),,rbbin,,,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455
Leather bindings (Binding)--16th century,Leather bindings (Binding)--16th century,rbbino0,,Leather bindings ;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00455;http://id.worldcat.org/fast/1119851,,
Lectionaries,,aat,,,,lectionaries,http://vocab.getty.edu/aat/300026464
Lectionaries--10th century,Lectionaries--10th century,aat,,lectionaries;Tenth century,http://vocab.getty.edu/aat/300026464;http://id.worldcat.org/fast/1147737,,
Lectionaries--12th century,Lectionaries--12th century,aat,,lectionaries;Twelfth century,http://vocab.getty.edu/aat/300026464;http://id.worldcat.org/fast/1159791,,
Legal documents--Italy--12th century,Legal documents--Italy--12th century,aat,,legal documents;Italy;Twelfth century,http://vocab.getty.edu/aat/300027590;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1159791,,
Letters--15th century,Letters--15th century,aat,,letters (correspondence);Fifteenth century,http://vocab.getty.edu/aat/300026879;http://id.worldcat.org/fast/923962,,
Letters--16th century,Letters--16th century,aat,,letters (correspondence);Sixteenth century,http://vocab.getty.edu/aat/300026879;http://id.worldcat.org/fast/1119851,,
Letters--Germany--16th century,Letters--Germany--16th century,aat,,letters (correspondence);Germany;Sixteenth century,http://vocab.getty.edu/aat/300026879;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,,
Manuscript maps,,lcgft,,,,Manuscript maps,http://id.worldcat.org/fast/1752677
Manuscript maps,,fast,,,,Manuscript maps,http://id.worldcat.org/fast/1752677
Manuscript waste (Binding),,rbbin,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568
Manuscript waste (Binding)--16th century,Manuscript waste (Binding)--16th century,rbbin,,Manuscript waste ;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01568;http://id.worldcat.org/fast/1119851,,
Manuscripts,Manuscripts,lcgft,,Manuscripts,http://id.worldcat.org/fast/1424060,,
Manuscripts (documents),Manuscripts (documents),aat.,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,,
"Manuscripts, Arabic--10th century","Manuscripts, Arabic--10th century",lcsh,,"Manuscripts, Arabic;Tenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1147737,,
"Manuscripts, Arabic--11th century","Manuscripts, Arabic--11th century",aat,,"Manuscripts, Arabic;Eleventh century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/908096,,
"Manuscripts, Arabic--17th century",,lcsh,,,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663
"Manuscripts, Arabic--18th century",,lcsh,,,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058
"Manuscripts, Greek--11th century","Manuscripts, Greek--11th century",aat,,"Manuscripts, Greek;Eleventh century",http://id.worldcat.org/fast/1008349;http://id.worldcat.org/fast/908096,,
"Manuscripts, Turkish--18th century","Manuscripts, Turkish--18th century",lcsh,,"Manuscripts, Turkish;Eighteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/904058,,
Manuscripts--14th century,Manuscripts--14th century,aat,,manuscripts (documents);Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/933420,,
Manuscripts--Armenia--13th century,Manuscripts--Armenia--13th century,aat,,manuscripts (documents);Armenia;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1206470;http://id.worldcat.org/fast/1150138,,
Manuscripts--Armenia--17th century,Manuscripts--Armenia--17th century,aat,,manuscripts (documents);Armenia;Seventeenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1206470;http://id.worldcat.org/fast/1113663,,
Manuscripts--England--10th century,Manuscripts--England--10th century,aat,,manuscripts (documents);England;Tenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1147737,,
Manuscripts--England--11th century,Manuscripts--England--11th century,aat,,manuscripts (documents);England;Eleventh century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/908096,,
Manuscripts--England--12th century,Manuscripts--England--12th century,aat,,manuscripts (documents);England;Twelfth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1159791,,
Manuscripts--England--13th century,Manuscripts--England--13th century,aat,,manuscripts (documents);England;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138,,
Manuscripts--England--14th century,Manuscripts--England--14th century,aat,,manuscripts (documents);England;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
Manuscripts--England--15th century,Manuscripts--England--15th century,aat,,manuscripts (documents);England;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,,
Manuscripts--France--12th century,Manuscripts--France--12th century,aat,,manuscripts (documents);France;Twelfth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1159791,,
Manuscripts--France--13th century,Manuscripts--France--13th century,aat,,manuscripts (documents);France;Thirteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,,
Manuscripts--Germany--12th century,Manuscripts--Germany--12th century,aat,,manuscripts (documents);Germany;Twelfth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1159791,,
Manuscripts--Germany--15th century,Manuscripts--Germany--15th century,aat,,manuscripts (documents);Germany;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,,
Manuscripts--Iraq--12th century,Manuscripts--Iraq--12th century,aat,,manuscripts (documents);Iraq;Twelfth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1205757;http://id.worldcat.org/fast/1159791,,
Manuscripts--Italy--11th century,Manuscripts--Italy--11th century,aat,,manuscripts (documents);Italy;Eleventh century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/908096,,
Manuscripts--Italy--14th century,Manuscripts--Italy--14th century,aat,,manuscripts (documents);Italy;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Manuscripts--Italy--15th century,Manuscripts--Italy--15th century,aat,,manuscripts (documents);Italy;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Manuscripts--Italy--16th century,Manuscripts--Italy--16th century,aat,,manuscripts (documents);Italy;Sixteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,,
Manuscripts--Italy--9th century,Manuscripts--Italy--9th century,,,Manuscripts;Italy;Ninth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1037854,,
Manuscripts--Netherlands--15th century,Manuscripts--Netherlands--15th century,aat,,manuscripts (documents);Netherlands;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204034;http://id.worldcat.org/fast/923962,,
Manuscripts--Spain--15th century,Manuscripts--Spain--15th century,aat,,manuscripts (documents);Spain;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962,,
Maps,,fast,,,,Maps,http://id.worldcat.org/fast/1423704
Maps,,lcgft,,,,Maps,http://id.worldcat.org/fast/1423704
Metalcuts--Germany--15th century,Metalcuts--Germany--15th century,aat,,metal cuts;Germany;Fifteenth century,http://vocab.getty.edu/aat/300041396;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,,
Miniatures (Illuminations),Miniatures (Illuminations),aat,,miniatures (paintings),http://vocab.getty.edu/aat/300033936,,
Miniatures (Illuminations)--Armenia--16th century,Miniatures (Illuminations)--Armenia--16th century,gmgpc,,Illumination of books and manuscripts;Armenia;Sixteenth century,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1206470;http://id.worldcat.org/fast/1119851,,
Miniatures (Illuminations)--Belgium--Mons--15th century,Miniatures (Illuminations)--Belgium--Mons--15th century,gmgpc,,Illumination of books and manuscripts;Belgium--Mons;Fifteenth century,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1206359;http://id.worldcat.org/fast/923962,,
Miniatures (Illuminations)--France--Rouen--15th century,Miniatures (Illuminations)--France--Rouen--15th century,gmgpc,,Illumination of books and manuscripts;France--Rouen;Fifteenth century,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1205659;http://id.worldcat.org/fast/923962,,
Miniatures (Illuminations)--Italy--14th century,Miniatures (Illuminations)--Italy--14th century,gmgpc,,Illumination of books and manuscripts;Italy;Fourteenth century,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Miniatures (Illuminations)--Italy--Siena--14th century,Miniatures (Illuminations)--Italy--Siena--14th century,gmgpc,,Illumination of books and manuscripts;Italy--Siena;Fourteenth century,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/933420,,
Minuscule,Minuscule,aat,,minuscule,http://vocab.getty.edu/aat/300194448,,
Minuscule--12th century,Minuscule--12th century,aat,,minuscule;Twelfth century,http://vocab.getty.edu/aat/300194448;http://id.worldcat.org/fast/1159791,,
Morocco bindings (Binding),Morocco bindings (Binding),rbbin,,Morocco bindings ,http://id.loc.gov/vocabulary/rbmscv/cv00548,,
Morocco bindings (Binding)--17th century,Morocco bindings (Binding)--17th century,rbbin,,Morocco bindings ;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv00548;http://id.worldcat.org/fast/1113663,,
Morocco bindings (Binding)--18th century,Morocco bindings (Binding)--18th century,rbbin,,Morocco bindings ;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00548;http://id.worldcat.org/fast/904058,,
Morocco bindings (Binding)--19th century,Morocco bindings (Binding)--19th century,rbbin,,Morocco bindings ;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00548;http://id.worldcat.org/fast/1037841,,
Morocco bindings (Binding)--20th century,Morocco bindings (Binding)--20th century,rbbin,,Morocco bindings ;Twentieth century,http://id.loc.gov/vocabulary/rbmscv/cv00548;http://id.worldcat.org/fast/1159810,,
Musical notation--France--12th century,Musical notation--France--12th century,lcsh,,Musical notation;France;Twelfth century,http://id.worldcat.org/fast/1030779;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1159791,,
Paper,,aat,,,,paper (fiber product),http://vocab.getty.edu/aat/300014109
Parchment,,aat,,,,parchment (animal material),http://vocab.getty.edu/aat/300011851
Pictorial works,,fast,,,,Pictorial works,http://id.worldcat.org/fast/1423874
Pigskin bindings (Binding)--16th century,Pigskin bindings (Binding)--16th century,rbbin,,Pigskin bindings ;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00624;http://id.worldcat.org/fast/1119851,,
Psalter,Psalter,aat,,psalters (books),http://vocab.getty.edu/aat/300026477,,
Psalters,,aat,,,,psalters (books),http://vocab.getty.edu/aat/300026477
Russia leather (Binding),Russia leather (Binding),rbbin,,Russia leather ,http://id.loc.gov/vocabulary/rbmscv/cv00692,,
Russia leather (Binding)--18th century,Russia leather (Binding)--18th century,rbbin,,Russia leather ;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00692;http://id.worldcat.org/fast/904058,,
Russia leather bindings (Binding)--19th century,Russia leather bindings (Binding)--19th century,rbbin,,Russia leather bindings ;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00692;http://id.worldcat.org/fast/1037841,,
Sacred books,,fast,,,,Sacred books,http://id.worldcat.org/fast/1423905
Sacred works,,lcgft,,,,Sacred works,http://id.worldcat.org/fast/1923249
Scrolls,Scrolls,gmgpc,,Scrolls,http://id.worldcat.org/fast/1109413,,
Sermons,,lcgft,,,,Sermons,http://id.worldcat.org/fast/1423904
Sermons,,aat,,,,sermons,http://vocab.getty.edu/aat/300026669
Sermons--14th century,Sermons--14th century,aat,,sermons;Fourteenth century,http://vocab.getty.edu/aat/300026669;http://id.worldcat.org/fast/933420,,
Statutes--Italy--Venice--15th century,Statutes--Italy--Venice--15th century,aat,,statutes;Italy--Venice;Fifteenth century,http://vocab.getty.edu/aat/300027891;http://id.worldcat.org/fast/1204473;http://id.worldcat.org/fast/923962,,
Vellum bindings (Binding),,rbbin,,,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543
Vellum bindings (Binding)--15th century,Vellum bindings (Binding)--15th century,rbbin,,Vellum bindings ;Fifteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00543;http://id.worldcat.org/fast/923962,,
Vellum bindings (Binding)--16th century,Vellum bindings (Binding)--16th century,rbbin,,Vellum bindings ;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00543;http://id.worldcat.org/fast/1119851,,
Vellum bindings (Binding)--18th century,Vellum bindings (Binding)--18th century,rbbin,,Vellum bindings ;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00543;http://id.worldcat.org/fast/904058,,
Velvet bindings (Binding),,rbbin,,,,Velvet bindings,http://id.loc.gov/vocabulary/rbmscv/cv00708
Velvet bindings (Binding)--19th century,Velvet bindings (Binding)--19th century,rbbin,,Velvet bindings ;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00708;http://id.worldcat.org/fast/1037841,,
Wills--England--10th century,Wills--England--10th century,aat,,wills;England;Tenth century,http://vocab.getty.edu/aat/300027764;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1147737,,
Wooden boards (Binding),,rbbin,,,,Wooden boards,http://id.loc.gov/vocabulary/rbmscv/cv00601
Wooden boards (Binding),Wooden boards (Binding),rbbbin,,Wooden boards ,http://id.loc.gov/vocabulary/rbmscv/cv00601,,
Wooden boards (Binding)--14th century,Wooden boards (Binding)--14th century,rbbin,,Wooden boards ;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00601;http://id.worldcat.org/fast/933420,,
