genre_as_recorded,genre-term,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
Antiphonaries,,aat,,,,antiphonaries,http://vocab.getty.edu/aat/300188812
Antiphonaries--Italy--14th century,Antiphonaries--Italy--14th century,aat,,antiphonaries;Italy;Fourteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Antiphonaries--Spain--Toledo--14th century,Antiphonaries--Spain--Toledo--14th century,aat,,antiphonaries;Spain--Toledo;Fourteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204571;http://id.worldcat.org/fast/933420,,
Armorial bindings (Binding),Armorial bindings (Binding),rbbin,,Armorial bindings ,http://id.loc.gov/vocabulary/rbmscv/cv00132,,
Books of hours,,aat,,,,books of hours,http://vocab.getty.edu/aat/300026457
Bosses (Binding),,rbbin,,,,Bosses (Bindings),http://id.loc.gov/vocabulary/rbmscv/cv00444
Bosses (Binding)--20th century,Bosses (Binding)--20th century,rbbin,,Bosses (Bindings);Twentieth century,http://id.loc.gov/vocabulary/rbmscv/cv00444;http://id.worldcat.org/fast/1159810,,
Bulls--15th century,Bulls--15th century,aat,,bulls (papal records);Fifteenth century,http://vocab.getty.edu/aat/300152044;http://id.worldcat.org/fast/923962,,
Calf bindings (Binding),Calf bindings (Binding),rbbin,,Calf bindings ,http://id.loc.gov/vocabulary/rbmscv/cv00454,,
Calf bindings (Binding)--17th century,Calf bindings (Binding)--17th century,rbbin,,Calf bindings ;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv00454;http://id.worldcat.org/fast/1113663,,
Calf bindings (Binding)--18th century,Calf bindings (Binding)--18th century,rbbin,,Calf bindings ;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00454;http://id.worldcat.org/fast/904058,,
Calf bindings (Binding)--19th century,Calf bindings (Binding)--19th century,rbbin,,Calf bindings ;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00454;http://id.worldcat.org/fast/1037841,,
Canon tables,Canon tables,aat,,canon tables,http://vocab.getty.edu/aat/300198390,,
Clasps (Binding),,rbbin,,,,Clasps,http://id.loc.gov/vocabulary/rbmscv/cv00448
Correspondence--15th century,Correspondence--15th century,aat,,correspondence;Fifteenth century,http://vocab.getty.edu/aat/300026877;http://id.worldcat.org/fast/923962,,
Correspondence--16th century,Correspondence--16th century,aat,,correspondence;Sixteenth century,http://vocab.getty.edu/aat/300026877;http://id.worldcat.org/fast/1119851,,
Correspondence--Germany--16th century,Correspondence--Germany--16th century,aat,,correspondence;Germany;Sixteenth century,http://vocab.getty.edu/aat/300026877;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,,
Deeds--Italy--10th century,Deeds--Italy--10th century,aat,,deeds;Italy;Tenth century,http://vocab.getty.edu/aat/300027249;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1147737,,
Dictionaries,,lcgft,,,,Dictionaries,http://id.worldcat.org/fast/1423826
Drolleries--England--14th century,Drolleries--England--14th century,aat,,drolleries;England;Fourteenth century,http://vocab.getty.edu/aat/300165093;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
Engravings--Germany--15th century,Engravings--Germany--15th century,aat,,engravings (prints);Germany;Fifteenth century,http://vocab.getty.edu/aat/300041340;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,,
Fiction,,lcgft,,,,Fiction,http://id.worldcat.org/fast/1423787
Fore-edge paintings (Binding)--England--14th century,Fore-edge paintings (Binding)--England--14th century,rbbin,,Fore-edge paintings ;England;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00742;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,,
"Formulas, recipes, etc","Formulas, recipes, etc",aat,,formulas (instructions),http://vocab.getty.edu/aat/300438609,,
Goatskin bindings (Binding),Goatskin bindings (Binding),rbbin,,Goatskin bindings ,http://id.loc.gov/vocabulary/rbmscv/cv00547,,
Goatskin bindings (Binding)--14th century,Goatskin bindings (Binding)--14th century,rbbin,,Goatskin bindings ;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00547;http://id.worldcat.org/fast/933420,,
Half bindings (Binding),,rbbin,,,,Half bindings,http://id.loc.gov/vocabulary/rbmscv/cv00332
Half bindings (Binding)--18th century,Half bindings (Binding)--18th century,rbbin,,Half bindings ;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00332;http://id.worldcat.org/fast/904058,,
Half bindings (Binding)--19th century,Half bindings (Binding)--19th century,rbbin,,Half bindings ;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00332;http://id.worldcat.org/fast/1037841,,
