row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.555404100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.517777Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Antiphonaries,rbgenr,,Antiphonaries,http://id.loc.gov/vocabulary/rbmscv/cv00118,,
2,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Art,fast,,,,Art,http://id.worldcat.org/fast/815177
3,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Biographies,fast,,,,Biographies,http://id.worldcat.org/fast/1919896
4,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Books of hours,rbgenr,,Books of hours,http://id.loc.gov/vocabulary/rbmscv/cv01037,,
5,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Breviaries,rbgenr,,Breviaries,http://id.loc.gov/vocabulary/rbmscv/cv01045,,
6,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Calendars--14th century,rbgenr,,Calendars;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01058;http://id.worldcat.org/fast/933420,,
7,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Caroline minuscule,aat,,Caroline minuscule,http://vocab.getty.edu/aat/300195207,,
8,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Codices (bound manuscripts),aat,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
9,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Decorated initials,aat,,,,decorated initials,http://vocab.getty.edu/aat/300417548
10,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-20T15:31:59.558103700Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-09-20T15:33:05.786918400Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-09-20T15:35:33.518774200Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-09-20T15:38:44.976810200Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-09-20T15:41:53.321332300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-09-20T15:42:26.433152200Z | GENRE RECON, STEP 7: FINALIZED 2023-09-20T15:42:42.107908900Z",Discours,rvmgf,,Speeches,http://id.worldcat.org/fast/1774286,,
