row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin and Italian,lat;ita,,,Latin;Italian,Q397;Q652
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin and Spanish,lat;spa,,,Latin;Spanish,Q397;Q1321
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin; with some Greek,lat;gre,Latin;Greek,Q397;Q9129,,
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin; with some Italian,lat;ita,Latin;Italian,Q397;Q652,,
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin; with some Middle English,lat;enm,Latin;Middle English,Q397;Q36395,,
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Middle English,enm,,,Middle English,Q36395
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",One article in Dutch,jpn;dut,Dutch,Q7411,,
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Syriac,syr,,,Syriac,Q33538
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Text in Anglo-Saxon,ang,Old English,Q42365,,
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Text in Hebrew,heb,Hebrew,Q9288,,
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Text in Hebrew and Aramaic,heb,,,Hebrew;Aramaic,Q9288;Q28602
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Text in Korean,kor,,,Korean,Q9176
24,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Text in Latin,lat,,,Latin,Q397
25,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Text in Syriac,syr,Syriac,Q33538,,
26,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Texts in English,enm,English,Q1860,,
27,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Texts in Latin,lat,Latin,Q397,,
28,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Texts in Latin and English,lat,Latin;English,Q397;Q1860,,
29,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",ang,ang,,,Old English,Q42365
30,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",ara,ara,,,Arabic,Q13955
31,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",arm,arm,,,Armenian,Q8785
32,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",chi,chi,,,Chinese,Q7850
33,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",chi;jpn,chi;jpn,Chinese;Japanese,Q7850;Q5287,,
34,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",cop,cop,,,Coptic,Q36155
35,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",dut,dut,,,Dutch,Q7411
36,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",eng,eng,,,English,Q1860
37,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",enm,enm,,,Middle English,Q36395
38,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",fre,fre,,,French,Q150
