row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099398Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.203691Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220426Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.902698Z","Besançon, France",France,http://vocab.getty.edu/tgn/1000070,,
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099961Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.204945Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220942Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903036Z","Burgundy, France",Burgundy;France,http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070,,
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099976Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.204984Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220951Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903059Z",Egypt,,,Egypt,http://vocab.getty.edu/tgn/7016833
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099980Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.204988Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220956Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903065Z",England or Northern France,England;Northern France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/4004036,,
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099984Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.204996Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220963Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903083Z",Europe,,,Europe,http://vocab.getty.edu/tgn/1000003
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099989Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.204999Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220967Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903089Z",Europe?,,,Europe,http://vocab.getty.edu/tgn/1000003
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099992Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.205003Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220970Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903095Z",Flanders,,,Flanders,http://vocab.getty.edu/tgn/7024097
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099995Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.205006Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220978Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903107Z",Florence,,,Florence,http://vocab.getty.edu/tgn/7000457
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.099999Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.205009Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220983Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903113Z",France,,,France,http://vocab.getty.edu/tgn/1000070
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T22:21:54.100003Z | PLACE RECON, STEP 3: START RECON 2023-09-08T22:22:24.205013Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-09-08T22:25:13.220985Z | PLACE RECON, STEP 6: FINALIZED 2023-09-08T23:28:03.903119Z",France or Italy,,,France;Italy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000080
