row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.262954Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576459Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594477Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.727192Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.088642Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.173648Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.219991Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.829379Z","Acland, Hugh, Sir",former owner,,,"Sir Hugh Acland, 6th Baronet",human,Q7527296,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.282938Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576719Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594520Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730812Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089694Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.185678Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.224306Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.834683Z","Acland, Peregrine, Sir, 1789-1831",former owner,,,"Sir Peregrine Fuller-Palmer-Acland, 2nd Baronet",human,Q40079731,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284420Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576725Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594523Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730832Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089706Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186334Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225382Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835318Z","Addington, Samuel",former owner,,,Samuel Addington,human,Q122949061,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284429Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576733Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594527Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730849Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089712Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186409Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225516Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835390Z",Aethelgifu,author,,,Æthelgifu,human,Q20056428,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284433Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576742Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594532Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730855Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089726Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186457Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225558Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835403Z","Augustine, of Hippo, Saint, 354-430",author,,http://id.loc.gov/authorities/names/n80126290,,,,human,Augustine of Hippo,Q8018
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284445Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576747Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594535Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730861Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089732Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186488Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225576Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835411Z","Balbi, Giovanni, -1298",author,,http://id.loc.gov/authorities/names/n92073310,John of Genoa,human,Q2312678,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284448Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576750Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594537Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730878Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089741Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186520Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225592Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835421Z","Beatty, A. Chester Sir, 1875-1968",former owner,,http://id.loc.gov/authorities/names/n79112307,,,,human,Alfred Chester Beatty,Q1387981
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284452Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576755Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594542Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730884Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089756Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186559Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225608Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835428Z","Bek, Antony, approximately 1240-1311",former owner,,http://id.loc.gov/authorities/names/no2002066070,Antony Bek,human,Q3618479,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284457Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576759Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594545Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730890Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089761Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186588Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225621Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835434Z","Bishop, Cortlandt F. 1870-1935",former owner,,http://id.loc.gov/authorities/names/n85239145,Cortlandt F. Bishop,human,Q5173352,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284460Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.576762Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594547Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.730995Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.089767Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.186617Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.225634Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.835443Z","Boncompagni, Baldassarre, 1821-1894",former owner,,http://id.loc.gov/authorities/names/n84804080,,,,human,Baldassarre Boncompagni,Q680832
