row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300961Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434453Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239614Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151899Z",Text in Old French,fro,,,Old French,Q35222
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300967Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434459Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239624Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151903Z",ara,ara,,,Arabic,Q13955
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300977Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434469Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239628Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151906Z",arc,arc,,,Imperial Aramaic,Q7079491
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300983Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434476Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239632Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151912Z",dut,dut,,,Dutch,Q7411
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300989Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434482Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239640Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151915Z",fre,fre,,,French,Q150
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300998Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434493Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239643Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151919Z",fro,fro,,,Old French,Q35222
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.301004Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239647Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151924Z",heb,heb,,,Hebrew,Q9288
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.301009Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434506Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239654Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151928Z",ita,ita,,,Italian,Q652
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.301025Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434516Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239657Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151931Z",lat,lat,,,Latin,Q397
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.301031Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434523Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239661Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151937Z",per,per,,,Persian,Q9168
