ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q1247,Smith College,Carter Documents 01,Carter Documents 01,,"",Spain,Q129,April [14]86,1486^1486,15,http://vocab.getty.edu/aat/300404465,true,Royal decree regarding a fortress in Galicia,"","","","",Early works to 1800|Manuscripts (documents)|decrees,Q300|Q10789|Q2789,"Manuscripts, Spanish|Galicia (Spain : Region)--History--To 1500|Galicia (Spain : Region)--History--Sources|Isabella I, Queen of Spain, 1451-1504|Ferdinand V, King of Spain, 1452-1516|López de Haro, Diego -1498|Quintanilla, Alonso de, approximately 1430-1500",Q202|Q48188;Q6879|Q48188;Q6879;Q2769|Q4187|Q4198||Q114876,"Isabella I, Queen of Spain, 1451-1504|Ferdinand V, King of Spain, 1452-1516",|,Q42200|Q7042,"","","",Fernán d'Alva (Fernand Alvarez),"","","","","","","","",Spanish,Q114,paper,Q31,Extent: 1 leaf; paper; 220 x 135 mm,"Layout: recto: 11 long lines above the fold, 4 short lines perpendicular with direction; verso: 4 lines of verification plus signatures|Script: Cortesana in brown ink|signed Fernán d'Alva|Royal Decree issued to Diego López de Haro Governor and Chief Justice of Galicia by Ferdinand and Isabella in April 1486 regarding handing over the fortaleza de castro that he held and following all directives given by Alonso de Quintanilla, the comptroller, who accompanied the letter and was acting on the sovereigns' behalf.","Metadata in this record was supplied by Kelly Tuttle, DS Manuscript Data Curation Fellow, whose work was made possible by a major grant from the National Endowment for the Humanities: Democracy demands wisdom. Any views, findings, conclusions, or recommendations expressed in this record do not necessarily represent those of the National Endowment for the Humanities.",2026-07-07 13:51:38 -0400,20260521,20260521-smith-csv.csv
,"","",ds-csv,ds-schema,Q1247,Smith College,Carter Documents 02,Carter Documents 02,,"",France,Q122,"Dec 11, 1486",1486^1486,15,http://vocab.getty.edu/aat/300404465,true,Deed,"","","",Q1319,Early works to 1800|Manuscripts (documents)|Deeds,Q300|Q10789|Q283,"Manuscripts, French|Deeds Real property|Real property--France",Q319|Q38803;Q161|Q161;Q152,"","","","","","",Claude Vidal,"","","","","","","","",Middle French,Q110,vellum,Q33,Extent: 1 leaf; vellum; 331 x 334 mm,Layout: recto: 51 long lines and signature; verso: 5 short lines of summary and 6 lines of certification with scribe's signature|Script: Secretary hand in brown ink|Decoration: large capital initial|Sale or transfer of parcels of land in France; signed Claude Vidal|some phrases underlined in red (later addition?),"Metadata in this record was supplied by Kelly Tuttle, DS Manuscript Data Curation Fellow, whose work was made possible by a major grant from the National Endowment for the Humanities: Democracy demands wisdom. Any views, findings, conclusions, or recommendations expressed in this record do not necessarily represent those of the National Endowment for the Humanities.",2026-07-07 13:51:38 -0400,20260521,20260521-smith-csv.csv
,"","",ds-csv,ds-schema,Q1247,Smith College,Carter Documents 03,Carter Documents 03,,"",France,Q122,1487 Jun 15,1487^1487,15,http://vocab.getty.edu/aat/300404465,true,Acknowledgement of payment,"","","",Q27527,Early works to 1800|Manuscripts (documents)|receipts (financial records),Q300|Q10789|Q219,"Manuscripts, French|Receipts (Acknowledgments)",Q319|Q26997,"","","","","","","","","","","","","","","",Middle French,Q110,vellum,Q33,Extent: 1 leaf; vellum; 348 x 78 mm,Layout: recto: 5 long lines and signature; verso: note added in pencil|Script: Bâtarde in brown ink|Acknowledgement of payment received by Jehan Maupoint,"Metadata in this record was supplied by Kelly Tuttle, DS Manuscript Data Curation Fellow, whose work was made possible by a major grant from the National Endowment for the Humanities: Democracy demands wisdom. Any views, findings, conclusions, or recommendations expressed in this record do not necessarily represent those of the National Endowment for the Humanities.",2026-07-07 13:51:38 -0400,20260521,20260521-smith-csv.csv
,"","",ds-csv,ds-schema,Q1247,Smith College,Carter Documents 04,Carter Documents 04,,"",England,Q133,"20th day of October in the 5th year of the reign of King Edward IV = October 20, 1465",1465^1465,15,http://vocab.getty.edu/aat/300404465,true,Record of land transfer,"","","",Q27548,Early works to 1800|Manuscripts (documents)|Deeds,Q300|Q10789|Q283,"Manuscripts, Latin|Deeds Real property|Real property--England",Q210|Q38803;Q161|Q161;Q320,"","","","","","","","","","","","","","","",Latin,Q113,vellum,Q33,Extent: 1 leaf; vellum; 284 x 89 mm,Layout: recto: 13 long lines and two hanging seals; verso: note added in pencil|Script: Gothic cursive in brown ink,"Metadata in this record was supplied by Kelly Tuttle, DS Manuscript Data Curation Fellow, whose work was made possible by a major grant from the National Endowment for the Humanities: Democracy demands wisdom. Any views, findings, conclusions, or recommendations expressed in this record do not necessarily represent those of the National Endowment for the Humanities.",2026-07-07 13:51:38 -0400,20260521,20260521-smith-csv.csv
,"","",ds-csv,ds-schema,Q1247,Smith College,Carter Documents 05,Carter Documents 05,,"",England,Q133,1566; 8th year of Elizabeth's reign,1566^1566,16,http://vocab.getty.edu/aat/300404510,true,Finalis Concordia,"","","",Q7276,Early works to 1800|Manuscripts (documents)|Deeds,Q300|Q10789|Q283,"Manuscripts, Latin|Deeds Real property|Real property--England",Q210|Q38803;Q161|Q161;Q320,"","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf; parchment; 366 x 94 mm,"Layout: recto: 8 long lines; verso: 3 short, noncontinuous lines and note added in pencil|Script: Secretary hand in black ink|Final agreement about the transfer of land and buildings in a village in England.","Metadata in this record was supplied by Kelly Tuttle, DS Manuscript Data Curation Fellow, whose work was made possible by a major grant from the National Endowment for the Humanities: Democracy demands wisdom. Any views, findings, conclusions, or recommendations expressed in this record do not necessarily represent those of the National Endowment for the Humanities.",2026-07-07 13:51:38 -0400,20260521,20260521-smith-csv.csv
,"","",ds-csv,ds-schema,Q1247,Smith College,MRBC framed Book of Hours,MRBC Framed Book of Hours,,"",France?,Q122,15th century,1400^1499,15,http://vocab.getty.edu/aat/300404465,false,Book of Hours|Leaf from a book of hours with miniature,|,|,|,Q795|Q795,manuscripts (documents)|illuminations (paintings)|books of hours|Early works to 1800,Q10789|Q225|Q3618|Q300,Catholic Church--Prayers and devotions|Books of hours -- Early works to 1800,Q310;Q48394|Q5889;Q300,Catholic Church.,"",Q425,"","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf; parchment; 130 x 180 mm,"Layout: 1 column, 19 lines recto, 13 lines verso|Script: Gothic textualis semiquadrata in black ink|Decoration: recto: 2-line illuminated capital letter [O] with red and white geometric interior and blue background; 7-line miniature of Saint Christopher; foliate marginal fill; verso: 2-line illuminated capital letter [C] with red and white geometric interior and blue background","Metadata in this record was supplied by Kelly Tuttle, DS Manuscript Data Curation Fellow, whose work was made possible by a major grant from the National Endowment for the Humanities: Democracy demands wisdom. Any views, findings, conclusions, or recommendations expressed in this record do not necessarily represent those of the National Endowment for the Humanities.",2026-07-07 13:51:38 -0400,20260521,20260521-smith-csv.csv
