title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Prediche sul nome di Gesu /,,,,,,Sermons,Q1400
Sermones et miscellanea,,,,,,Sermons,Q1400
Ordinatio totius officii divini secundum usum monasterii Beatae Mariae de Balgentiaco,,,,,,Ordinatio totius officii divini,Q6013
"De miseria humane conditionis, and 20 other tracts or poems",,,,,,De miseria condicionis humane,Q1451
"Hagiographical accounts of Saint Vitus, Saint Modestus and Saint Crescentia",,,,,,Hagiography,Q6022
Abbreviatio Summae Guillelmi Altissiodorensis /,,,,,,Summae Guillelmi Altissiodorensis,Q6053
"Laudes, sermones, miracula, exempla, etc. de Beata Maria Virgine",,,,,,Sermons,Q1400
Vita del beato S. Giovanni Battista; Libro della stultizia ovvero della spirituale battaglia,,,,Life of John the Baptist,Q39869,,
"Itinerary, Naples-Paris-Sermoneta",,,,,,Itinerary,Q6019
"Lilium medicinae, extract",,,,,,Lilium medicinae,Q6023
Sermones quadragesimales,,,,,,Sermons,Q1400
Observationes in regularum ordinis Sancti Dominici,,,,,,Observationes in regularum ordinis,Q5974
Registrum brevium and other legal texts,,,,,,Legal texts,Q6030
Sermones de vitiis et de penitentia,,,,,,Sermons,Q1400
Spirto gentil magnanimo et sublime ...,,,,,,Spirto gentil magnanimo et sublime,Q5993
Rime,,,,,,Rime,Q6037
Chronicle of popes and emperors,,,,,,Chronicle,Q1475
La scientia chiamata Arismetrica,,,,,,La scientia chiamata Arismetrica,Q6000
Compendium theologicae veritatis /,,,,,,Compendium theologicae veritatis,Q1426
"Book of the Gospels, incomplete",,Bible,,,,Bible;Gospels,Q661;Q6034
Latin treatises on religious matters,,,,,,Religious texts,Q5037
"Regula, with Latin commentary",,,,,,Regula,Q5997
Collection of religious and theological treatises /,,,,,,Religious texts;Theological texts,Q5037;Q822
Sermoni alli soi frati heremitani,,,,,,Sermons,Q1400
Decretals and other fragments /,,,,,,Decretals;Fragment,Q1447;Q20461
A collection of mediaeval devotional works in Italian,,,,,,Devotional texts,Q5966
Quadragesimale Rothimata /,,,,,,Quadragesimale Rothimata,Q6001
Malogranatus and other texts,,,,,,Malogranatus,Q5965
The voyages and travels of Sir John Mandeville /,,Itinerarium,,,,Travels of Sir John Mandeville;Itinerarium,Q39846;Q1340
Collection of works by Aristotle and commentaries on Aristotle's works,,,,,,Commentary on Aristotle,Q3120
Itinerarius,,Itinerarium,,,,Itinerarium,Q1340
Librum aurore /,,Aurora,,,,Librum aurore,Q6059
List of salutations,,,,,,List of salutations,Q5964
Compendium moralitatum; Abiciendum est peccatum quia nidus est dyaboli /,,,,Compendium moralitatum;Religious text,;Q1465,,
Chur Psalter,,,,,,Psalter,Q660
