name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Broughton, Hugh, 1549-1612",author,,"http://viaf.org/viaf/72341504/#Broughton,_Hugh,_1549-1612",,,,,,human,Hugh Broughton,Q5930147,Q20274
"Ferdinand I, King of Spain and Naples",author,,,,,,,,human,Ferdinand I of Naples,Q437838,Q2847
Pseudo-Hegessipus,author,,,human,Pseudo-Hegesippus,Q7254410,DSNAME6950,Q55359,,,,
"Adler, Elkan Nathan, 1861-1946",author,,,human,Elkan Nathan Adler,Q1170731,DSNAME4140,Q40585,,,,
"Fleischer, Heinrich Leberecht, 1801-1888",author,,,human,Heinrich Leberecht Fleischer,Q543081,DSNAME6951,Q55360,,,,
"Selden, John, 1584-1654",author,,http://id.loc.gov/authorities/names/n50005935,,,,,,human,John Selden,Q735697,Q12928
"Ibn Taymīyah, Aḥmad ibn ʻAbd al-Ḥalīm, 1263-1328",author,,,human,Ibn Taymiyyah,Q491558,DSNAME6952,Q55361,,,,
"Larsow, F.",author,,,human,Ferdinand Larsow,Q95227995,DSNAME6953,Q55362,,,,
"Adler, Nathan Marcus, 1803-1890",author,,,human,Nathan Marcus Adler,Q78287,DSNAME6954,Q55363,,,,
"Montefiore, Moses, Sir, 1784-1885",author,,,human,Moses Montefiore,Q733118,DSNAME6955,Q55364,,,,
"Lévi, Éliphas, 1810-1875",author,,,human,Eliphas Levi,Q274681,DSNAME6956,Q55365,,,,
"William, of Tyre, Archbishop of Tyre, ca. 1130-ca. 1190",author,,,human,William of Tyre,Q311822,DSNAME6957,Q55366,,,,
"Manasseh ben Israel, 1604-1657",author,,,human,Menasseh Ben Israel,Q733629,DSNAME6958,Q55367,,,,
"Jennings, David, 1691-1762",author,,,human,David Jennings,Q5235631,DSNAME6959,Q55368,,,,
"Kautzsch, E. (Emil), 1841-1910",author,,,human,Emil Friedrich Kautzsch,Q65613,DSNAME6960,Q55369,,,,
"Kramer, Jakob",author,,,human,Jakob Kramer,Q105465984,DSNAME6961,Q55370,,,,
Accademico Celestino Bistomago,author,,,human,Celestino Bistomago,Q130752110,DSNAME6962,Q55371,,,,
"Pirnyard, Pierre",author,,,human,Pierre Pirnyard,Q130603010,DSNAME6963,Q55372,,,,
"Escalante, Bernardino de, active 16th century",author,,,human,Bernardino de Escalante,Q4893871,DSNAME6964,Q55373,,,,
Luis de Melo,author,,,human,Luís de Melo,Q104489587,DSNAME6965,Q55374,,,,
"Branca, Giovanni Battista",author,,,human,Giovanni Battista Branca,Q55225961,DSNAME6966,Q55375,,,,
"Innocent VIII, Pope, 1432-1492",author,,,human,Innocent VIII,Q161351,DSNAME565,Q1800,,,,
"Solomon, King of Israel",supposed author,,,human,Solomon,Q37085,DSNAME6967,Q55376,,,,
"Farḥāt, Jirmānūs, 1670 or 1671-1732 or 1733",author,,,,,,,,human,Jirmānūs Farḥāt,Q129951728,Q54318
"Francis, de Sales, Saint, 1567-1622",author,,,human,Francis de Sales,Q231256,DSNAME6968,Q55377,,,,
شريشي، أحمد بن عبد المؤمن، d. 1222 or 3,author,,,human,Alshaarīshy,Q125098013,DSNAME6969,Q55378,,,,
"Sharīshī, Aḥmad ibn ʻAbd al-Muʼmin, d. 1222 or 3",author,,,human,Abu al-Abbas al-Sharishi,Q2829407,DSNAME6970,Q55379,,,,
"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",author,,,,,,,,human,Ḥusain Wāʿiẓ Kāšifī,Q4502475,Q18688
"Wāqidī, Muḥammad ibn ʻUmar, 747 or 748-823",author,,,human,Al-Waqidi,Q285255,DSNAME6971,Q55380,,,,
"Damīrī, Muḥammad ibn Mūsá, 1341?-1405",author,,http://id.loc.gov/authorities/names/nr91003385 http://id.loc.gov/authorities/names/nr91003385 http://viaf.org/viaf/sourceID/LC%7cnr91003385,,,,,,human,Al-Damiri,Q330616,Q12283
"Abū al-Faraj al-Iṣbahānī, 897 or 898-967",author,,,,,,,,human,Abu al-Faraj al-Isfahani,Q335599,Q12345
Ḥafiẓ 14th cent,author,,,human,Hafez,Q6240,DSNAME3164,Q10870,,,,
"Jāmī, 1414-1492",author,,,,,,,,human,Jami,Q312458,Q3803
"Bonheym, Sohn des Joseph von Breisig",author,,,human,Sohn des Joseph von Breisig Bonheym,Q130603070,DSNAME6972,Q55381,,,,
"Fernando Gonzales de Cordoba, Viceroy of Naples",author,,,human,Gonzalo Fernández de Córdoba,Q318699,DSNAME6973,Q55382,,,,
Firdawsī,author,,,,,,,,human,Ferdowsikara,Q43459,Q18691
Baḍawi,author,,,human,Ahmad al-Badawi,Q2485411,DSNAME6974,Q55383,,,,
Salih ibn Mustafa ibn Ahmad ibn ibn Hasan,scribe,,,human,Salih ibn Mustafa ibn Ahmad ibn ibn Hasan,Q130603044,DSNAME6975,Q55384,,,,
احمد ابن علي البوني,author,,,human,Ahmad al-Buni,Q4695507,DSNAME3924,Q40369,,,,
"Būnī, Aḥmad ibn ʻAlī, d. 1225",author,,,human,Ahmad al-Buni,Q4695507,DSNAME3924,Q40369,,,,
