name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Lambertus, Paulus",author,,,,,,,,,,,
"Odorno, Mary",former owner,,,,,,,,,,,
"Boccaccio, Giovanni, 1313-1375",author,,,,,,,,human,Giovanni Boccaccio,Q1402,Q418
