subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Isabella I, Queen of Spain, 1451-1504",ds-subject,,,"Isabella I, Queen of Spain, 1451-1504",http://id.worldcat.org/fast/19613,Q4187,,,
"Ferdinand V, King of Spain, 1452-1516",ds-subject,,,"Ferdinand V, King of Spain, 1452-1516",http://id.worldcat.org/fast/625,Q4198,,,
"López de Haro, Diego -1498",ds-subject,,,,,,,,
"Quintanilla, Alonso de, approximately 1430-1500",ds-subject,,,"Quintanilla, Alonso de, approximately 1430-1500",http://id.worldcat.org/fast/1842863,Q114876,,,
