File,place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20260514-places-brynmawr-tei.csv,France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
20260514-places-brynmawr-tei.csv,Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
20260514-places-brynmawr-tei.csv,Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
20260514-places-brynmawr-tei.csv,Eastern Germany or Poland,,,,Germany;Poland,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7006366,Q131;Q19890
20260514-places-brynmawr-tei.csv,"Ferrara, Italy",,,,Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q1299;Q134
20260514-places-brynmawr-tei.csv,"Venice, Italy",,,,Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q2823;Q134
20260514-places-brynmawr-tei.csv,Castro Massignani,,,,,,
20260514-places-brynmawr-tei.csv,"Avignon?, Southern France",,,,Avignon;Southern France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/4004037,Q4328;Q19904
20260514-places-brynmawr-tei.csv,England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
20260514-places-brynmawr-tei.csv,Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
20260514-places-brynmawr-tei.csv,"Verona?, Northern Italy",,,,Verona;Northern Italy,http://vocab.getty.edu/tgn/7003262;http://vocab.getty.edu/tgn/4005363,Q124;Q7507
20260514-places-brynmawr-tei.csv,"Tournai, Belgium",,,,Tournai;Belgium,http://vocab.getty.edu/tgn/7008002;http://vocab.getty.edu/tgn/1000063,Q16426;Q1243
20260514-places-brynmawr-tei.csv,"Rome, Italy",,,,Rome;Italy,http://vocab.getty.edu/tgn/7000874;http://vocab.getty.edu/tgn/1000080,Q123;Q134
20260514-places-brynmawr-tei.csv,"Rouen, France",,,,Rouen;France,http://vocab.getty.edu/tgn/7008929;http://vocab.getty.edu/tgn/1000070,Q1244;Q122
20260514-places-brynmawr-tei.csv,England?,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
20260514-places-brynmawr-tei.csv,Northern France,,,,Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
20260514-places-brynmawr-tei.csv,"French Flanders region of Valenciennes-Mons, France",,,,Westhoek;Valenciennes;Mons;France,http://vocab.getty.edu/tgn/8060287;http://vocab.getty.edu/tgn/7008471;http://vocab.getty.edu/tgn/7007961;http://vocab.getty.edu/tgn/1000070,Q54678;Q68672;Q19891;Q122
20260514-places-brynmawr-tei.csv,"Piedmont, Italy",,,,Piedmont;Italy,http://vocab.getty.edu/tgn/7003120;http://vocab.getty.edu/tgn/1000080,Q1287;Q134
20260514-places-brynmawr-tei.csv,"Northern Flanders (Brussels?), Belgium",,,,Flanders;Brussels;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/7007868;http://vocab.getty.edu/tgn/1000063,Q126;Q19905;Q1243
20260514-places-brynmawr-tei.csv,"Illustrations, produced separately, from Utrecht, Netherlands?",,,,Utrecht;Netherlands,http://vocab.getty.edu/tgn/7006926;http://vocab.getty.edu/tgn/7016845,Q10829;Q651
20260514-places-brynmawr-tei.csv,"Flanders, Belgium",,,,Flanders;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063,Q126;Q1243
20260514-places-brynmawr-tei.csv,Northern Europe,,,,Northern Europe,http://vocab.getty.edu/tgn/4003757,Q38266
20260514-places-brynmawr-tei.csv,Bruges,,,,Bruges,http://vocab.getty.edu/tgn/7007867,Q16418
20260514-places-brynmawr-tei.csv,Southern Germany,,,,Southern Germany,http://vocab.getty.edu/tgn/4004316,Q4333
20260514-places-brynmawr-tei.csv,Northern Italy,,,,Northern Italy,http://vocab.getty.edu/tgn/4005363,Q7507
20260514-places-brynmawr-tei.csv,"Tuscany?, Italy",,,,Tuscany;Italy,http://vocab.getty.edu/tgn/7009760;http://vocab.getty.edu/tgn/1000080,Q860;Q134
20260514-places-brynmawr-tei.csv,"Florence?, Italy",,,,Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
20260514-places-brynmawr-tei.csv,"Poissy, Northern France",Poissy;Northern France,http://vocab.getty.edu/tgn/7008066;http://vocab.getty.edu/tgn/4004036,Q42075;Q1114,,,
20260514-places-brynmawr-tei.csv,"Paris?, France",,,,Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070,Q136;Q122
20260514-places-brynmawr-tei.csv,"Venice?, Northeastern Italy",Venice;Northeastern Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/4005362,Q2823;Q38265,,,
20260514-places-brynmawr-tei.csv,"Poissy?, France",Poissy;France,http://vocab.getty.edu/tgn/7008066;http://vocab.getty.edu/tgn/1000070,Q42075;Q122,,,
20260514-places-brynmawr-tei.csv,"Southern Germany, perhaps Regensburg",Southern Germany;Regensburg,http://vocab.getty.edu/tgn/4004316;http://vocab.getty.edu/tgn/7013496,Q4333;Q5000,,,
20260514-places-brynmawr-tei.csv,Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
20260514-places-brynmawr-tei.csv,Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
20260514-places-brynmawr-tei.csv,Levant,Levant,http://vocab.getty.edu/tgn/7001519,Q114394,,,
20260514-places-brynmawr-tei.csv,Turkey?,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
20260514-places-brynmawr-tei.csv,"Shiraz, Iran",Shiraz;Iran,http://vocab.getty.edu/tgn/7002148;http://vocab.getty.edu/tgn/7000231,Q27484;Q2822,,,
20260514-places-brynmawr-tei.csv,Turkey,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
20260514-places-brynmawr-tei.csv,Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
20260514-places-brynmawr-tei.csv,India?,,,,India,http://vocab.getty.edu/tgn/7000198,Q138
20260514-places-brynmawr-tei.csv,Morocco,,,,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657
20260514-places-brynmawr-tei.csv,"Sinai, Egypt",Sinai;Egypt,http://vocab.getty.edu/tgn/7016814;http://vocab.getty.edu/tgn/7016833,Q114395;Q3086,,,
20260514-places-brynmawr-tei.csv,North Africa?,,,,North Africa,http://vocab.getty.edu/tgn/7016886,Q3652
