title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Binding fragment from a sacramentary,,,,Binding fragment;Sacramental text,Q10843;Q39291,,
Binding fragments from St. Jerome's Commentary on Ezekiel,,,,Binding fragment;Commentary on Ezekiel,Q10843;Q39135,,
"Binding fragment from Peter Lombard, Sentences",,,,Binding fragment;Sentences,Q10843;Q1119,,
Binding fragment from a Missal,,,,Binding fragment;Missal,Q10843;Q662,,
Binding fragment with neumes,,,,Binding fragment;Music,Q10843;Q20017,,
Binding fragment on paper,,,,Binding fragment,Q10843,,
Binding fragment from a glossed gospel,,,,Binding fragment;Gospels,Q10843;Q6034,,
Clipping of a decorated initial,,,,Decorated initial,Q19949,,
Binding fragment from a breviary,,,,Binding fragment;Breviary,Q10843;Q657,,
Binidng fragment from a breviary,,,,Binding fragment;Breviary,Q10843;Q657,,
Binding fragment with extensive annotations,,,,Binding fragment;Annotations,Q10843;Q39197,,
Four fragments attached to each other,,,,,,,
Binding fragment from an unidentified text,,,,Binding fragment,Q10843,,
,,,,,,,
Binding fragment from Honorius of Autun,,,,Binding fragment,Q10843,,
"Binding fragment, possibly a gloss",,,,Binding fragment,Q10843,,
Binding fragment,,,,,,Binding fragment,Q10843
Binding fragment with interlinear neumes,,,,Binding fragment;Music,Q10843;Q20017,,
Binding fragment pasted to paper,,,,Binding fragment,Q10843,,
Binding fragment from a prayer book,,,,Binding fragment;Prayer book,Q10843;Q1486,,
Two binding fragments,,,,Binding fragment,Q10843,,
Binding fragment from 17th century,,,,Binding fragment,Q10843,,
Single leaf from a liturgical book,,,,Binding fragment;Liturgical text,Q10843;Q10839,,
Binding fragment with neumes and decorated initial,,,,Binding fragment;Decorated initial;Music,Q10843;Q19949;Q20017,,
Binding fragment with a decorated initial,,,,Binding fragment;Decorated initial,Q10843;Q19949,,
Binding fragment with an initial,,,,Binding fragment;Decorated initial,Q10843;Q19949,,
Binding fragment from Psalm 118,,,,Binding fragment;Psalms,Q10843;Q5972,,
Binding fragment in to columns,,,,Binding fragment,Q10843,,
Binding fragment from the Lives of the Saints,,,,Binding fragment;Lives of the Saints,Q10843;Q1483,,
Binding fragument from the Homilies on the Gospels of St. Gregory,,,,Binding fragment;Homilies,Q10843;Q1246,,
Binding fragment fromthe Decretals of Pope Gregory IX,,,,Binding fragment;Decretals of Gregory IX,Q10843;Q2831,,
Seven binding fragments,,,,Binding fragment,Q10843,,
Binding fragment with two initials,,,,Binding fragment;Decorated initial,Q10843;Q19949,,
Folio from Gregory the Great on the book of the Prophet Ezekiel (?),,,,Homilies on Ezekiel,Q1351,,
Folio from a Gradual,,,,,,Gradual,Q1121
Folio from a Bible (Joshua),,,,Bible;Book of Joshua,Q661;Q76627,,
