File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20260520-subjects-chicago-marc.csv,Repentance--Early works to 1800,0,a--v,,,,,Repentance;Early works,http://id.worldcat.org/fast/1094793;http://id.worldcat.org/fast/1411636,Q7186;Q300
20260520-subjects-chicago-marc.csv,Marriage--Early works to 1800,0,a--v,,,,,Marriage;Early works,http://id.worldcat.org/fast/1010443;http://id.worldcat.org/fast/1411636,Q3553;Q300
20260520-subjects-chicago-marc.csv,Repentir--Ouvrages avant 1800,6,a--v,,,,,Repentance;Early works,http://id.worldcat.org/fast/1094793;http://id.worldcat.org/fast/1411636,Q7186;Q300
20260520-subjects-chicago-marc.csv,Mariage--Ouvrages avant 1800,6,a--v,,,,,Marriage;Early works,http://id.worldcat.org/fast/1010443;http://id.worldcat.org/fast/1411636,Q3553;Q300
20260520-subjects-chicago-marc.csv,Marriage,fast,a,(OCoLC)fst01010443,,,,Marriage,http://id.worldcat.org/fast/1010443,Q3553
20260520-subjects-chicago-marc.csv,Repentance,fast,a,(OCoLC)fst01094793,,,,Repentance,http://id.worldcat.org/fast/1094793,Q7186
20260520-subjects-chicago-marc.csv,Church year--Early works to 1800,0,a--v,,,,,Church year;Early works,http://id.worldcat.org/fast/861146;http://id.worldcat.org/fast/1411636,Q3056;Q300
20260520-subjects-chicago-marc.csv,Saints--Early works to 1800,0,a--v,,,,,Saints;Early works,http://id.worldcat.org/fast/1103658;http://id.worldcat.org/fast/1411636,Q5891;Q300
20260520-subjects-chicago-marc.csv,Account books--Italy--15th century,0,a--z--y,,,,,Account books;Italy;Fifteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q38801;Q249;Q154
20260520-subjects-chicago-marc.csv,"Manuscripts, Italian--15th century",0,a--y,,,,,"Manuscripts, Italian;Fifteenth century",http://id.worldcat.org/fast/1008378;http://id.worldcat.org/fast/923962,Q269;Q154
20260520-subjects-chicago-marc.csv,"Manuscripts, Renaissance",0,a,http://id.loc.gov/authorities/subjects/sh85080759,,,,"Manuscripts, Renaissance",http://id.worldcat.org/fast/1008472,Q311
20260520-subjects-chicago-marc.csv,Account books,fast,a,http://id.worldcat.org/fast/fst00795342,,,,Account books,http://id.worldcat.org/fast/795342,Q38801
20260520-subjects-chicago-marc.csv,"Manuscripts, Renaissance",fast,a,http://id.worldcat.org/fast/fst01008472,,,,"Manuscripts, Renaissance",http://id.worldcat.org/fast/1008472,Q311
20260520-subjects-chicago-marc.csv,1400-1499,fast,a,,,,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
20260520-subjects-chicago-marc.csv,Histoire ancienne--Ouvrages avant 1800,6,a--v,,,,,"History, Ancient;Early works",http://id.worldcat.org/fast/958352;http://id.worldcat.org/fast/1411636,Q5904;Q300
20260520-subjects-chicago-marc.csv,"History, Ancient",fast,a,(OCoLC)fst00958352,,,,"History, Ancient",http://id.worldcat.org/fast/958352,Q5904
20260520-subjects-chicago-marc.csv,"Buddhist literature, Sinhalese",0,a,http://id.loc.gov/authorities/subjects/sh2012002542,,,,"Buddhist literature, Sinhalese",http://id.worldcat.org/fast/1896347,Q68094
20260520-subjects-chicago-marc.csv,Humanists--Italy,0,a--z,,,,,Humanists;Italy,http://id.worldcat.org/fast/963543;http://id.worldcat.org/fast/1204565,Q67157;Q249
20260520-subjects-chicago-marc.csv,Learning--Early works to 1800,0,a--v,,,,,Learning;Early works,http://id.worldcat.org/fast/994826;http://id.worldcat.org/fast/1411636,Q68095;Q300
20260520-subjects-chicago-marc.csv,Humanistes--Italie,6,a--z,,,,,Humanists;Italy,http://id.worldcat.org/fast/963543;http://id.worldcat.org/fast/1204565,Q67157;Q249
20260520-subjects-chicago-marc.csv,Apprentissage--Ouvrages avant 1800,6,a--v,,,,,Learning;Early works,http://id.worldcat.org/fast/994826;http://id.worldcat.org/fast/1411636,Q68095;Q300
20260520-subjects-chicago-marc.csv,Humanists,fast,a,(OCoLC)fst00963543,,,,Humanists,http://id.worldcat.org/fast/963543,Q67157
20260520-subjects-chicago-marc.csv,Learning,fast,a,(OCoLC)fst00994826,,,,Learning,http://id.worldcat.org/fast/994826,Q68095
20260520-subjects-chicago-marc.csv,"Manuscripts, Persian",0,a,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
20260520-subjects-chicago-marc.csv,Horses--Diseases--Early works to 1800,0,a--x--v,,,,,Horses--Diseases;Early works,http://id.worldcat.org/fast/960626;http://id.worldcat.org/fast/1411636,Q3575;Q300
20260520-subjects-chicago-marc.csv,Horses--Early works to 1800,0,a--v,,,,,Horses;Early works,http://id.worldcat.org/fast/960603;http://id.worldcat.org/fast/1411636,Q2783;Q300
20260520-subjects-chicago-marc.csv,Manuscrits persans,6,a,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
20260520-subjects-chicago-marc.csv,Chevaux--Maladies--Ouvrages avant 1800,6,a--x--v,,,,,Horses--Diseases;Early works,http://id.worldcat.org/fast/960626;http://id.worldcat.org/fast/1411636,Q3575;Q300
20260520-subjects-chicago-marc.csv,Chevaux--Ouvrages avant 1800,6,a--v,,,,,Horses;Early works,http://id.worldcat.org/fast/960603;http://id.worldcat.org/fast/1411636,Q2783;Q300
20260520-subjects-chicago-marc.csv,Horses,fast,a,(OCoLC)fst00960603,,,,Horses,http://id.worldcat.org/fast/960603,Q2783
20260520-subjects-chicago-marc.csv,Horses--Diseases,fast,a--x,(OCoLC)fst00960626,,,,Horses--Diseases,http://id.worldcat.org/fast/960626,Q3575
20260520-subjects-chicago-marc.csv,"Manuscripts, Persian",fast,a,(OCoLC)fst01008462,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
20260520-subjects-chicago-marc.csv,Antiphonaries--Ethiopia,0,a--z,,,,,Antiphonaries;Ethiopia,http://id.worldcat.org/fast/810657;http://id.worldcat.org/fast/1205830,Q4306;Q11151
20260520-subjects-chicago-marc.csv,Liturgics--Early works to 1800,0,a--v,,,,,Liturgics;Early works,http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1411636,Q207;Q300
20260520-subjects-chicago-marc.csv,Miniature books--Specimens,0,a--v,,,,,Miniature books;Specimens,http://id.worldcat.org/fast/1022666;http://id.worldcat.org/fast/1423861,Q68096;Q239
20260520-subjects-chicago-marc.csv,Inquisition--Spain--Cuenca (Province),0,a--z--z,,,,,Inquisition;Spain--Cuenca (Province),http://id.worldcat.org/fast/973796;http://id.worldcat.org/fast/1330574,Q3615;Q48285
20260520-subjects-chicago-marc.csv,Cuenca (Spain)--History--Sources,0,a--x--v,,,,,Spain--Cuenca;History;Sources,http://id.worldcat.org/fast/1204190;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q48368;Q6879;Q2769
20260520-subjects-chicago-marc.csv,Inquisition,fast,a,http://id.worldcat.org/fast/fst00973796,,,,Inquisition,http://id.worldcat.org/fast/973796,Q3615
20260520-subjects-chicago-marc.csv,Spain--Cuenca,fast,a--z,http://id.worldcat.org/fast/fst01204190,,,,Spain--Cuenca,http://id.worldcat.org/fast/1204190,Q48368
20260520-subjects-chicago-marc.csv,Spain--Cuenca (Province),fast,a--z,http://id.worldcat.org/fast/fst01330574,,,,Spain--Cuenca (Province),http://id.worldcat.org/fast/1330574,Q48285
20260520-subjects-chicago-marc.csv,Travel,fast,a,http://id.worldcat.org/fast/fst01155558,,,,Travel,http://id.worldcat.org/fast/1155558,Q11139
20260520-subjects-chicago-marc.csv,Turkey--Description and travel--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2008117304,,,,Turkey;Voyages and travels;Early works,http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q4294;Q3600;Q300
20260520-subjects-chicago-marc.csv,Iran--Description and travel--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2008115481,,,,Iran;Voyages and travels;Early works,http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q16384;Q3600;Q300
20260520-subjects-chicago-marc.csv,Turkey,fast,a,http://id.worldcat.org/fast/fst01208963,,,,Turkey,http://id.worldcat.org/fast/1208963,Q4294
20260520-subjects-chicago-marc.csv,Martyrologies--Early works to 1800,0,a--v,,,,,Martyrologies;Early works,http://id.worldcat.org/fast/1010916;http://id.worldcat.org/fast/1411636,Q39002;Q300
20260520-subjects-chicago-marc.csv,Martyrologes--Ouvrages avant 1800,6,a--v,,,,,Martyrologies;Early works,http://id.worldcat.org/fast/1010916;http://id.worldcat.org/fast/1411636,Q39002;Q300
20260520-subjects-chicago-marc.csv,Martyrologies,fast,a,(OCoLC)fst01010916,,,,Martyrologies,http://id.worldcat.org/fast/1010916,Q39002
20260520-subjects-chicago-marc.csv,Law--England--Early works to 1800,0,a--z--v,,,,,Law;England;Early works,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636,Q4186;Q320;Q300
20260520-subjects-chicago-marc.csv,Law--England--England--Sources--Early works to 1800,0,a--z--z--v--v,,,,,Law;England;Sources;Early works,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1423900;http://id.worldcat.org/fast/1411636,Q4186;Q320;Q2769;Q300
20260520-subjects-chicago-marc.csv,Law,fast,a,http://id.worldcat.org/fast/fst00993678,,,,Law,http://id.worldcat.org/fast/993678,Q4186
20260520-subjects-chicago-marc.csv,"Manuscripts, Latin (Medieval and modern)--Belgium",0,a--z,,,,,"Manuscripts, Latin (Medieval and modern);Belgium",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1210278,Q10783;Q16301
