title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Royal directive regarding a fortress in Galicia,,,,,,,
Deed,,,,,,Deed,Q1319
Acknowledgement of payment,,,,Acknowledgement,Q27527,,
Record of land transfer,,,,Conveyance of land,Q27548,,
Finalis Concordia,,,,Agreement,Q7276,,
Book of Hours,,,,,,Book of hours,Q795
Leaf from a book of hours with miniature,,,,Book of hours,Q795,,
