id,manuscript,groups,source_date,source_title,source_catalog_or_lot_number,institution,sale_selling_agent,sale_seller_or_holder,sale_buyer,sale_sold,sale_date,sale_price,titles,authors,dates,artists,scribes,languages,materials,places,uses,missing_authority_names,folios,num_columns,num_lines,height,width,alt_size,miniatures_fullpage,miniatures_large,miniatures_small,miniatures_unspec_size,initials_historiated,initials_decorated,manuscript_binding,manuscript_link,other_info,provenance,created_at,created_by,updated_at,updated_by,approved,deprecated,unverified_legacy_record,superceded_by_id,draft,coordinates
284328,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10115,"","","","",,,"",Homily (Homily),"",s. XII/XIII (1100 to 1299);  1190-1210 (1190 to 1210),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 042) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:01pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284329,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10116,"","","","",,,"",Legenda aurea (Legenda aurea),"Jacobus de Voragine, approximately 1229-1298 (Jacobus de Voragine?)",s. XII(med) (1140 to 1160);  1140-1160 (1140 to 1160),"","",(Latin),Parchment (parchment),"France, Europe (France)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 043) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:03pm,roseamcc,false,false,false,,false,"(46.0,2.0)"
284330,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10117,"","","","",,,"",Bible commentary on the gospel of John (Commentary on the Gospel of John),"",s. XIII(2) (1250 to 1299);  1250-1299 (1250 to 1299),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 044) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:04pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284331,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10118,"","","","",,,"","Psalter, glossed (Glossed Psalter)","",s. XIII(1) (1200 to 1250);  1200-1250 (1200 to 1250),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 045) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:05pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284332,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10119,"","","","",,,"","Psalter, glossed (Glossed Psalter)","",s. XI(2) (1050 to 1099);  1050-1099 (1050 to 1099),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 046) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:07pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284333,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10120,"","","","",,,"",De sacramentis christianae fidei (De sacramentis christianae fidei),"Hugh of St. Victor, 1096-1141 (Hugh of St. Victor)",s. XIII(med) (1240 to 1260);  1240-1260 (1240 to 1260),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 047) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:08pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284334,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10121,"","","","",,,"","Calendar May, June (Calendar)","",s. XII(2) (1150 to 1199);  1150-1199 (1150 to 1199),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 048) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:10pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284335,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10122,"","","","",,,"","Bible, glossed (Glossed Bible)","",s. XII/XIII (1100 to 1299);  1190-1210 (1190 to 1210),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 049) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:12pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284336,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10123,"","","","",,,"",Psalter (Psalter),"",s. XIII(med) (1240 to 1260);  1240-1260 (1240 to 1260),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 050) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:13pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
284337,"",University of Missouri Linking - DS Catalog,2024-07-23,Digital Scriptorium Catalog Import,DS10124,"","","","",,,"",Lectionary (Lectionary),"",s. XII(ex) (1175 to 1199);  1185-1199 (1185 to 1199),"","",Latin (Latin),Parchment (parchment),"England, Great Britain, United Kingdom, Europe (England)","",0,,,,,,,,,,,,,,,,"Bagford, John (John Bagford (1650s-1716) to); Saint-Martin-in-the-Fields (St. Martin-in-the-Fields) [1861 ]; Phillipps, Thomas, Sir, 1792-1872 (sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742) [1861 to 1913-05-22 ]; Cockerell, Sydney Carlyle, Sir, 1867-1962 ( Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957) [1957-04-03 ]; Salloch, William, 1906-1990 ( William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.) [1968 ]; University of Missouri–Columbia (University of Missouri, Fragmenta Manuscripta 051) [1968 ]",2025-02-12  6:22pm,lpc,2025-02-13  4:18pm,roseamcc,false,false,false,,false,"(53.0,-2.0)"
