id,manuscript,groups,source_date,source_title,source_catalog_or_lot_number,institution,sale_selling_agent,sale_seller_or_holder,sale_buyer,sale_sold,sale_date,sale_price,titles,authors,dates,artists,scribes,languages,materials,places,uses,missing_authority_names,folios,num_columns,num_lines,height,width,alt_size,miniatures_fullpage,miniatures_large,miniatures_small,miniatures_unspec_size,initials_historiated,initials_decorated,manuscript_binding,manuscript_link,other_info,provenance,created_at,created_by,updated_at,updated_by,approved,deprecated,unverified_legacy_record,superceded_by_id,draft,coordinates
284078,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS161,"","","","",,,"",Missal (Missal),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 12) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:00pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284079,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS162,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 13) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:01pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284080,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS163,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 14) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:01pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284081,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS164,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 15) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:02pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284082,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS165,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 16) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:04pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284083,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS166,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 17) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:04pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284084,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS167,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 18) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:05pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284085,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS168,"","","","",,,"",Collectarium (Collectarium),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 20) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:06pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284086,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS169,"","","","",,,"",Psalter (Psalter),"",s. XIII (1200 to 1299);  1200-1299 (1200 to 1299),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 21) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:07pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
284087,"",Conception Abbey Linking - DS Catalog,2023-02-03,Digital Scriptorium Catalog Import,DS170,"","","","",,,"",Breviary (Breviary),"",s. XII (1100 to 1199);  1100-1199 (1100 to 1199),"","",Latin (Latin),Parchment (parchment),"Switzerland, Europe (Switzerland?)","",0,,,,,,,,,,,,,,,,"Stiftsbibliothek Engelberg (Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.) [1900 ]; Conception Abbey (Conception, Mo.) (Conception Abbey and Seminary, CA 22) [ 2023-02-03	]",2025-02-10  3:04pm,lpc,2025-02-11  2:58pm,roseamcc,false,false,false,,false,"(47.0,8.0)"
