File,material_as_recorded,authorized_label,structured_value,ds_qid
materials.csv,"""parchment, illuminated""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illuminations, frontispiece, coat of arms""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illuminations, genealogical tables""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illuminations, portraits, coat of arms""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illuminations, portraits, genealogical tables""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illuminations""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illustration""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illustrations, maps""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illustrations, music""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illustrations""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, illustrations (miniatures)""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, initials""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, miniatures""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, music, illustrations""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, music""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, music (diastematic neumes)""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, orn, decorated initials""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, orn, illustrations""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, orn, initial""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, orn: drawing: eagle""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, ornamented initial, penwork""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, orn initial""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment, paper""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"""parchment""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment (9 paper)""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"""parchment (framed)""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""parchment and paper, color illustrations, music""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"""parchment and paper, color illustrations""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"""parchment and paper, ill""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"""parchment and paper, illustrations""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"""parchment and paper""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
materials.csv,"""rag paper""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""vellulm""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""vellum, ink, manuscript, music""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""vellum""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""wove paper""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""Chancery 2������ paper""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""embroidered silk over parchment""]",silk;parchment,http://vocab.getty.edu/aat/300014072;http://vocab.getty.edu/aat/300011851,Q34;Q33
materials.csv,"[""fine vellum""]",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"[""on cloth""]",cloth,http://vocab.getty.edu/aat/300162391,Q26528
materials.csv,"[""paper, charts""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, color, illustrations""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, color coats of arms""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, colored illustrations""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, color illustrations, coats of arms""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, color illustrations, music""]",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"[""paper, color illustrations""]",paper,http://vocab.getty.edu/aat/300014109,Q31
