place_as_recorded,authorized_label,structured_value,ds_qid
"al-Khalīl, [",Hebron,http://vocab.getty.edu/tgn/7029354,Q11621
al-Madīna al-Munawwarah,Al Madīnah al Munawwarah,http://vocab.getty.edu/tgn/7000678,Q40040
al-Madīnah,Medina,http://vocab.getty.edu/tgn/7003869,Q11610
al-Madīnah,Medina,http://vocab.getty.edu/tgn/7003869,Q11610
"al-Madīnah al-munawwarah, [",Medina,http://vocab.getty.edu/tgn/7003869,Q11610
al-Makkah,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
al-Mawṣil,Mosul,http://vocab.getty.edu/tgn/7002471,Q3100
"Almuḥbasha, Yemen",Yemen,http://vocab.getty.edu/tgn/7000261,Q2825
"Alpes de Haute-Provence, France",Département des Alpes-de-Haute-Provence;France,http://vocab.getty.edu/tgn/7017065;http://vocab.getty.edu/tgn/1000070,Q42489;Q122
al-Qāhirah,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
al-Qayṣarīyah,Kayseri,http://vocab.getty.edu/tgn/7002465,Q11614
al-Qayṣarīyah,Kayseri,http://vocab.getty.edu/tgn/7002465,Q11614
al-Qusṭanṭīnīyah,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
"Alsace (France), Alsace, Murbach Abbey",Alsace;France;Murbach,http://vocab.getty.edu/tgn/7024265;http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008123,Q38135;Q122;Q38256
Altona,Altona,http://vocab.getty.edu/tgn/7060796,Q74806
"Altona, Germany",Altona;Germany,http://vocab.getty.edu/tgn/7060796;http://vocab.getty.edu/tgn/7000084,Q74806;Q131
al-ʻAmārah,Al-ʻAmārah,http://vocab.getty.edu/tgn/1079380,Q106569
Amāsīyah,Amasya,http://vocab.getty.edu/tgn/7002337,Q26527
Amāsīyah,Amasya,http://vocab.getty.edu/tgn/7002337,Q26527
Amasya,Amasya,http://vocab.getty.edu/tgn/7002337,Q26527
"Amasya, [",Amasya,http://vocab.getty.edu/tgn/7002337,Q26527
"Amberg, Bavaria, Germany",Amberg;Bavaria;Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084,Q19894;Q1303;Q131
"Amboise, France",Amboise;France,http://vocab.getty.edu/tgn/7008272;http://vocab.getty.edu/tgn/1000070,Q66887;Q122
Ameglia,Ameglia,http://vocab.getty.edu/tgn/7005369,Q5005
Amiens,Amiens,http://vocab.getty.edu/tgn/7010588,Q20361
"Amiens, France",Amiens;France,http://vocab.getty.edu/tgn/7010588;http://vocab.getty.edu/tgn/1000070,Q20361;Q122
Amiens?,Amiens,http://vocab.getty.edu/tgn/7010588,Q20361
"Amiens?, France",Amiens;France,http://vocab.getty.edu/tgn/7010588;http://vocab.getty.edu/tgn/1000070,Q20361;Q122
Amsterdam,Amsterdam,http://vocab.getty.edu/tgn/7006952,Q74801
Āmul,Chardzhou,http://vocab.getty.edu/tgn/7012239,Q108170
Ancona,Ancona,http://vocab.getty.edu/tgn/7003980,Q7511
Ancona?,Ancona,http://vocab.getty.edu/tgn/7003980,Q7511
Ancona (Italy),Ancona;Italy,http://vocab.getty.edu/tgn/7003980;http://vocab.getty.edu/tgn/1000080,Q7511;Q134
Andalusia,Andalusia,http://vocab.getty.edu/tgn/7024275,Q3097
Andalusia?,Andalusia,http://vocab.getty.edu/tgn/7024275,Q3097
"Andenne, Belgium",Andenne;Belgium,http://vocab.getty.edu/tgn/7007854;http://vocab.getty.edu/tgn/1000063,Q7500;Q1243
