place_as_recorded,authorized_label,structured_value,ds_qid
"England, England (?)",England,http://vocab.getty.edu/tgn/7002445,Q133
"England, England (Cambridge)",England;Cambridge,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7010874,Q133;Q38162
"England, England (Little Malvern)",England;Little Malvern,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7462299,Q133;Q38231
"England, England (London?)",England;London,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011781,Q133;Q3660
"England, England (London)",England;London,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011781,Q133;Q3660
"England, England (Plymouth)",England;Plymouth,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011301,Q133;Q38283
"England, England or Northern France",England;Northern France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/4004036,Q133;Q1114
"England, Essex",England;Essex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008131,Q133;Q38195
"England, Essex?",England;Essex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008131,Q133;Q38195
"England, Italy; England (?)",England;Italy,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000080,Q133;Q134
"England, Kent",England;Kent,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008153,Q133;Q1294
"England, Leicestershire and Rutland",England;Leicestershire;Rutland,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/5000748,Q133;Q1301;Q1304
"England, Leicestershire and Staffordshire",England;Leicestershire;Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174,Q133;Q1301;Q1309
"England,  Leicestershire and Staffordshire",England;Leicestershire;Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174,Q133;Q1301;Q1309
"England, Lincolnshire",England;Lincolnshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008157,Q133;Q38229
"England, Lincolnshire?",England;Lincolnshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008157,Q133;Q38229
"England, London",England;London,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011781,Q133;Q3660
"England,  London",England;London,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011781,Q133;Q3660
"England, Midlands",England;Midlands,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/4007188,Q133;Q38250
"England, N. Hants",England;Hampshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008139,Q133;Q38209
"England, Norfolk",England;Norfolk,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008160,Q133;Q38263
"England, Northumbria",England;Northumbria,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012294,Q133;Q38267
"England, Norwich",England;Norwich,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012005,Q133;Q38269
"England, Nottinghamshire",England;Nottinghamshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008167,Q133;Q38270
"England, Oxford",England;Oxford,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011931,Q133;Q3654
"England, Oxford (?)",England;Oxford,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011931,Q133;Q3654
"England, Possibly south-east",England,http://vocab.getty.edu/tgn/7002445,Q133
"England, Possibly south-east.",England,http://vocab.getty.edu/tgn/7002445,Q133
"England, South East England",England,http://vocab.getty.edu/tgn/7002445,Q133
"England, Southern Lincolnshire",England;Lincolnshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008157,Q133;Q38229
"England, Staffordshire",England;Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008174,Q133;Q1309
"England, Surrey",England;Surrey,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008175,Q133;Q38304
"England, Sussex",England;Sussex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008133,Q133;Q1307
"England, Warwickshire",England;Warwickshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008178,Q133;Q810
"England, West Midlands",England;West Midlands,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7029506,Q133;Q38324
"England, West Midlands, England",England;West Midlands,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7029506,Q133;Q38324
"England, West Midlands?",England;West Midlands,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7029506,Q133;Q38324
"England, Westminster",England;City of Westminster,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7018934,Q133;Q17528
"England, Worcestershire",England;Worcestershire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/5000227,Q133;Q1296
"England, Yorkshire",England;Yorkshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008171,Q133;Q38328
England; France,England;France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070,Q133;Q122
"England; France, England (?); Northern France",England;France;Northern France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036,Q133;Q122;Q1114
England; France?,England;France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070,Q133;Q122
England?,England,http://vocab.getty.edu/tgn/7002445,Q133
England ?,England,http://vocab.getty.edu/tgn/7002445,Q133
England? France,England;France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070,Q133;Q122
England? France?,England;France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070,Q133;Q122
England? Wales,England;Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443,Q133;Q7799
England? Wales?,England;Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443,Q133;Q7799
England /,England,http://vocab.getty.edu/tgn/7002445,Q133
England (?),England,http://vocab.getty.edu/tgn/7002445,Q133
England (?); Iceland,England;Iceland,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000077,Q133;Q38216
"England (Dixton, Gloucester?)",England;Dixton;Gloucester,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7026610;http://vocab.getty.edu/tgn/7011128,Q133;Q17529;Q17527
"England (Itchingfield, Sussex)",England;Itchingfield;Sussex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7461740;http://vocab.getty.edu/tgn/7008133,Q133;Q17523;Q1307
England (likely Oxford),England;Oxford,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011931,Q133;Q3654
England (London),England;London,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011781,Q133;Q3660
England (Oxford?),England;Oxford,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011931,Q133;Q3654
England (Oxford),England;Oxford,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011931,Q133;Q3654
England (Oxford or London),England;Oxford;London,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011931;http://vocab.getty.edu/tgn/7011781,Q133;Q3654;Q3660
England (Suffolk),England;Suffolk,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008185,Q133;Q38303
England (Westminster),England;City of Westminster,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7018934,Q133;Q17528
England (Wiltshire?),England;Wiltshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008180,Q133;Q17536
England (Yorkshire),England;Yorkshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008171,Q133;Q38328
England and India,England;India,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7000198,Q133;Q138
England and Spain,England;Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095,Q133;Q129
England or France,England;France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070,Q133;Q122
England or Northern France,England;Northern France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/4004036,Q133;Q1114
England or Wales,England;Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443,Q133;Q7799
"Enkhuizen, Netherlands",Enkhuizen;Netherlands,http://vocab.getty.edu/tgn/7007064;http://vocab.getty.edu/tgn/7016845,Q66898;Q651
Erfurt,Erfurt,http://vocab.getty.edu/tgn/7024031,Q6983
Erzincan,Erzincan,http://vocab.getty.edu/tgn/7002502,Q106563
Erzurum,Erzurum,http://vocab.getty.edu/tgn/7017539,Q63767
"Essonne, France",Département de l'Essonne;France,http://vocab.getty.edu/tgn/7002935;http://vocab.getty.edu/tgn/1000070,Q42492;Q122
Ethiopia,Ethiopia,http://vocab.getty.edu/tgn/7000489,Q3655
Europe,Europe,http://vocab.getty.edu/tgn/1000003,Q1290
"Europe, [Central Europe",Europe;Central Europe,http://vocab.getty.edu/tgn/1000003;http://vocab.getty.edu/tgn/4003755,Q1290;Q5945
"Europe, [Central Europe?]",Europe;Central Europe,http://vocab.getty.edu/tgn/1000003;http://vocab.getty.edu/tgn/4003755,Q1290;Q5945
Europe (but not England),Europe,http://vocab.getty.edu/tgn/1000003,Q1290
Evora,Évora,http://vocab.getty.edu/tgn/7010600,Q54965
"Extremadura, Spain?",Extremadura;Spain,http://vocab.getty.edu/tgn/7003837;http://vocab.getty.edu/tgn/1000095,Q66900;Q129
Fagnano,Fagnano Olona,http://vocab.getty.edu/tgn/1044553,Q76284
Ferrara,Ferrara,http://vocab.getty.edu/tgn/7004264,Q1299
"Ferrara, Italy",Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q1299;Q134
"Ferrara, Italy?",Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q1299;Q134
"Ferrara?, Italy",Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q1299;Q134
"Figuera, Catalonia",Figueras;Catalonia,http://vocab.getty.edu/tgn/1062024;http://vocab.getty.edu/tgn/7030216,Q42483;Q125
Firenze,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
Fivizzano,Fivizzano,http://vocab.getty.edu/tgn/1044626,Q6980
Flanders,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
"Flanders, Belgium",Flanders;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063,Q126;Q1243
"Flanders, Belgium?",Flanders;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063,Q126;Q1243
"Flanders, Bruges, Belgium",Flanders;Bruges;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063,Q126;Q16418;Q1243
"Flanders, possibly Ghent",Flanders;Ghent,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/7007887,Q126;Q16408
"Flanders, probably Bruges",Flanders (region);Bruges,http://vocab.getty.edu/tgn/7018236;http://vocab.getty.edu/tgn/7007867,Q100357;Q16418
Flanders?,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
Flanders ?,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
"Flanders ?, Franco-Flemish",Flanders,http://vocab.getty.edu/tgn/7024097,Q126
Flanders (Belgium),Flanders (region);Belgium,http://vocab.getty.edu/tgn/7018236;http://vocab.getty.edu/tgn/1000063,Q100357;Q1243
"Flanders (Belgium), Eastern Flanders",Flanders;Belgium;East Flanders,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7003457,Q126;Q1243;Q38189
"Flanders (Belgium), Flanders",Flanders;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063,Q126;Q1243
"Flanders (Belgium), Flanders (?)",Flanders;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063,Q126;Q1243
"Flanders (Belgium); France, France and Flanders",Flanders;Belgium;France,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000070,Q126;Q1243;Q122
"Flanders (Belgium); France; Italy, Venice; Northern France or Flanders",Flanders;Belgium;France;Italy;Venice;Northern France,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/4004036,Q126;Q1243;Q122;Q134;Q2823;Q1114
"Flanders (Belgium); Rhineland (Germany), Flanders or the Rhineland",Flanders;Belgium;Rhineland;Germany,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7003683;http://vocab.getty.edu/tgn/7000084,Q126;Q1243;Q1305;Q131
"Flanders (France), Flanders",Flanders;France,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000070,Q126;Q122
"Flanders (France), Flanders (?)",Flanders;France,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000070,Q126;Q122
Flanders (possibly Ghent),Flanders;Ghent,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/7007887,Q126;Q16408
Flanders or France,Flanders;France,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000070,Q126;Q122
Florence,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
"Florence, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
"Florence, Italy?",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
Florence?,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
"Florence?, Italy",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
"Florence or Venice, Italy?",Florence;Venice;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q3084;Q2823;Q134
"Fontevrault-l'Abbaye, France",Fontevrault-l'Abbaye;France,http://vocab.getty.edu/tgn/7008488;http://vocab.getty.edu/tgn/1000070,Q68011;Q122
"Fotheringhay, England",Fotheringhay;England,http://vocab.getty.edu/tgn/4004017;http://vocab.getty.edu/tgn/7002445,Q66886;Q133
France,France,http://vocab.getty.edu/tgn/1000070,Q122
"France, Aix-en-Provence",France;Aix-en-Provence,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7010786,Q122;Q38134
"France, Anjou",France;Anjou,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7017069,Q122;Q1288
"France, Anjou?",France;Anjou,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7017069,Q122;Q1288
"France, Auvergne",France;Auvergne,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024266,Q122;Q38146
"France, Auvergne-Rhône-Alpes",France;Auvergne-Rhône-Alpes,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/8711848,Q122;Q38147
"France,  Auvergne-Rhône-Alpes",France;Auvergne-Rhône-Alpes,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/8711848,Q122;Q38147
"France, Avignon",France;Avignon,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008799,Q122;Q4328
"France, Boulbonne, France",France,http://vocab.getty.edu/tgn/1000070,Q122
"France, Bourg-en-Bresse, France",France;Bourg-en-Bresse,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7012558,Q122;Q38155
"France, Bretagne",France;Brittany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267,Q122;Q1297
"France, Brittany",France;Brittany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267,Q122;Q1297
"France, Brittany ?",France;Brittany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267,Q122;Q1297
"France, Burgundy",France;Burgundy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7029372,Q122;Q7797
"France, Burgundy ?",France;Burgundy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7029372,Q122;Q7797
"France, ca. 1490",France,http://vocab.getty.edu/tgn/1000070,Q122
"France, Castres, France",France;Castres,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008450,Q122;Q38168
"France, Central France",France,http://vocab.getty.edu/tgn/1000070,Q122
"France, Central France (?)",France,http://vocab.getty.edu/tgn/1000070,Q122
"France, Central or Southern France",France;Southern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004037,Q122;Q19904
"France, Champagne",France;Champagne,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7658604,Q122;Q1306
"France, Champagne?",France;Champagne,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7658604,Q122;Q1306
"France, Channel",France,http://vocab.getty.edu/tgn/1000070,Q122
"France, Chartres",France;Chartres,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008267,Q122;Q38170
"France, Coutances",France;Coutances,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008215,Q122;Q38178
"France, Dauphiné",France;Dauphiné,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7007764,Q122;Q1310
"France, Dijon, France",France;Dijon,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008224,Q122;Q19896
"France, Eastern France",France;Eastern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/8716310,Q122;Q38191
"France, Eure",France;Département de l'Eure,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002936,Q122;Q38183
"France, Flanders or Northeastern France",France;Flanders;Northeastern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/7669119,Q122;Q126;Q38264
"France, Flanders or Northern France",France;Flanders;Northern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/4004036,Q122;Q126;Q1114
"France, France",France,http://vocab.getty.edu/tgn/1000070,Q122
"France, France, (Paris?)",France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038,Q122;Q136
"France, France (?)",France,http://vocab.getty.edu/tgn/1000070,Q122
"France, France (Arles?)",France;Arles,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008775,Q122;Q8029
"France, France (Burgundy)",France;Burgundy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7029372,Q122;Q7797
"France, France (Citeaux Abbey)",France;Cîteaux,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7656279,Q122;Q38161
"France, France (Clermont-Ferrand?)",France;Clermont-Ferrand,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008202,Q122;Q38174
"France, France (Limany, near Mantes)",France;Limay;Mantes-la-Jolie,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1034056;http://vocab.getty.edu/tgn/7008063,Q122;Q38227;Q38241
"France, France (Loire valley)",France;Loire Valley,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4011586,Q122;Q38232
"France, France (Metz)",France;Metz,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008418,Q122;Q6981
"France, France (Paris?)",France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038,Q122;Q136
"France, France (Paris)",France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038,Q122;Q136
"France, France (Rouen)",France;Rouen,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008929,Q122;Q1244
"France, France (Royaumont Abbey)",France;Royaumont,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4009491,Q122;Q7510
"France, France (Southern France?)",France;Southern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004037,Q122;Q19904
"France, France (Toulouse?)",France;Toulouse,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008441,Q122;Q3659
"France, France or Germany",France;Germany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7000084,Q122;Q131
"France, Franche Comte",France;Franche-Comté,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7645440,Q122;Q38200
"France, Franche Comté (?)",France;Franche-Comté,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7645440,Q122;Q38200
"France, Grenoble",France;Grenoble,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008759,Q122;Q38205
"France, Hainaut",France;Hainaut,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1003757,Q122;Q38208
"France, Hainaut?",France;Hainaut,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1003757,Q122;Q38208
"France, Hautecombe (?)","France;Hautecombe, Abbaye de",http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1100048,Q122;Q38331
"France, Ile de France",France;Île-de-France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002883,Q122;Q38148
"France, Ile-de-France",France;Île-de-France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002883,Q122;Q38148
"France, Île-de-France",France;Île-de-France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002883,Q122;Q38148
"France, Ile-de-France?",France;Île-de-France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002883,Q122;Q38148
"France, Italy",France;Italy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000080,Q122;Q134
"France, Italy (Genoa?)",France;Italy;Genoa,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7008546,Q122;Q134;Q7800
"France, Langedoc",France;Languedoc,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002884,Q122;Q38221
"France, Languedoc",France;Languedoc,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002884,Q122;Q38221
"France, Limousin",France;Limousin,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024270,Q122;Q38228
"France, Loire",France;Département de la Loire,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002958,Q122;Q19902
"France, Lorraine",France;Lorraine,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024272,Q122;Q1289
"France, Lorraine?",France;Lorraine,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024272,Q122;Q1289
"France, Lyon, France",France;Lyon,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008772,Q122;Q6985
"France, Lyons",France;Lyon,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008772,Q122;Q6985
"France, Maine",France;Maine,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7007514,Q122;Q38238
"France, Marcoussis, France",France;Marcoussis,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1034251,Q122;Q38243
"France, maybe Spain",France;Spain,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000095,Q122;Q129
"France, Meaux",France;Meaux,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008008,Q122;Q38245
"France, Mosan",France;Mosan,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7030259,Q122;Q19903
"France, Nangis",France;Nangis,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1034615,Q122;Q27483
"France, Nord-Pas-de-Calais",France;Nord-Pas-de-Calais,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7621379,Q122;Q38262
"France, Nord-Pas-de-Calais ?",France;Nord-Pas-de-Calais,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7621379,Q122;Q38262
"France, Normandy",France;Normandy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002886,Q122;Q1308
"France, Normandy (?)",France;Normandy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002886,Q122;Q1308
"France, Northeastern France (?)",France;Northeastern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7669119,Q122;Q38264
"France, North-Eastern France (Metz)",France;Northeastern France;Metz,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7669119;http://vocab.getty.edu/tgn/7008418,Q122;Q38264;Q6981
"France, Northeastern France (Rheims?)",France;Northeastern France;Rheims,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7669119;http://vocab.getty.edu/tgn/7011060,Q122;Q38264;Q8376
"France, northern",Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
"France, Northern",Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
"France, Northern France",France;Northern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036,Q122;Q1114
"France, Northern France (Paris)",France;Northern France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7008038,Q122;Q1114;Q136
"France, Northern France (Saint-Amand)",France;Northern France;Saint-Amand-les-Eaux,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7008470,Q122;Q1114;Q38294
"France, Northern France or Flanders",France;Northern France;Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7024097,Q122;Q1114;Q126
"France, Northern France or Low Countries",France;Northern France;Low Countries,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7029439,Q122;Q1114;Q1115
"France, Northern Italy or Southern France",France;Northern Italy;Southern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4005363;http://vocab.getty.edu/tgn/4004037,Q122;Q7507;Q19904
"France, North France",France;Northern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036,Q122;Q1114
"France, Northwestern France (Rouen?)",France;Rouen,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008929,Q122;Q1244
"France, or possibly England",France;England,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002445,Q122;Q133
"France, Paris",France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038,Q122;Q136
"France, Paris, France",France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038,Q122;Q136
