File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
subjects.csv,10th century,openn-subjects,,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
subjects.csv,11th century,openn-subjects,,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
subjects.csv,12th century,openn-subjects,,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
subjects.csv,1385-1433,fast,a,,1385-1433,http://id.worldcat.org/fast/1355506,Q48357
subjects.csv,1385-1580,fast,a,,1385-1580,http://id.worldcat.org/fast/1355507,Q48281
subjects.csv,13th century,openn-subjects,,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
subjects.csv,1454-1474,fast,a,,1454-1474,http://id.worldcat.org/fast/1355543,Q7962
subjects.csv,1460-1488,fast,a,,1460-1488,http://id.worldcat.org/fast/1355546,Q48400
subjects.csv,1479-1516,fast,a,,1479-1516,http://id.worldcat.org/fast/1355554,Q6849
subjects.csv,1485-1603,fast,a,,1485-1603,http://id.worldcat.org/fast/1355561,Q38934
subjects.csv,14th century,openn-subjects,,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
subjects.csv,1500-1700,fast,a,,1500-1700,http://id.worldcat.org/fast/1355568,Q48268
subjects.csv,1516-1556,fast,a,,1516-1556,http://id.worldcat.org/fast/1355580,Q254
subjects.csv,1540-1810,fast,a,,1540-1810,http://id.worldcat.org/fast/1355593,Q48355
subjects.csv,1556-1598,fast,a,,1556-1598,http://id.worldcat.org/fast/1355603,Q242
subjects.csv,1558-1603,fast,a,,1558-1603,http://id.worldcat.org/fast/1355606,Q4312
subjects.csv,1567-1625,fast,a,,1567-1625,http://id.worldcat.org/fast/1355615,Q48401
subjects.csv,1574-1589,fast,a,,1574-1589,http://id.worldcat.org/fast/1355622,Q48333
subjects.csv,15th century,openn-subjects,,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
subjects.csv,16th century,openn-subjects,,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
subjects.csv,17th century,openn-subjects,,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
subjects.csv,18th century,openn-subjects,,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
subjects.csv,19th century,openn-subjects,,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
subjects.csv,20th century,openn-subjects,,,Twentieth century,http://id.worldcat.org/fast/1159810,Q5942
subjects.csv,500-1500,fast,a,,500-1500,http://id.worldcat.org/fast/1355938,Q4252
subjects.csv,9th century,openn-subjects,,,Ninth century,http://id.worldcat.org/fast/1037854,Q329
subjects.csv,Abbasids,fast,a,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
subjects.csv,Abbasids.,fast,a,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
subjects.csv,Abbasids--Poetry--Early works to 1800,0,a--v--v,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
subjects.csv,Abbasids--Poetry--Early works to 1800.,0,a--v--v,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
subjects.csv,Abbeys--Belgium--15th century,0,a--z--y,,Abbeys;Belgium;Fifteenth century,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q38799;Q16301;Q154
subjects.csv,Abbeys--Belgium--Nivelles,0,a--z--z,,Abbeys;Belgium--Nivelles,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210707,Q38799;Q38800
subjects.csv,Abbeys--England--Devonshire,0,a--z--z,,Abbeys;England--Devon,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1206047,Q38799;Q3609
subjects.csv,Abbots,fast,a,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
subjects.csv,Abbots.,fast,a,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
subjects.csv,Abbots--Early works to 1800,0,a--v,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
subjects.csv,Abbots--Early works to 1800.,0,a--v,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
subjects.csv,Ablutions (Islamic law),fast,a,(OCoLC)fst01748813,Ablutions (Islamic law),http://id.worldcat.org/fast/1748813,Q11157
subjects.csv,Ablutions (Islamic law)--Early works to 1800,0,a--v,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
subjects.csv,Ablutions (Islamic law)--Early works to 1800,0,a--v,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
subjects.csv,Ablutions (Islamic law)--Early works to 1800.,0,a--v,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
subjects.csv,Ablutions (Islamic law)--Early works to 1800.,0,a--v,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
subjects.csv,Abraham (Biblical patriarch) in the Qurʼan,fast,a,(OCoLC)fst01864769,Abraham (Biblical patriarch) in the Qurʼan,http://id.worldcat.org/fast/1864769,Q26751
subjects.csv,Account books,fast,a,(OCoLC)fst00795342,Account books,http://id.worldcat.org/fast/795342,Q38801
subjects.csv,Account books--Germany--Niederrhein--Early works to 1800,0,a--z--z--v,,Account books;Germany;Early works,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1411636,Q38801;Q3032;Q300
subjects.csv,Account books--Great Britain--19th century,0,a--z--y,,Account books;Great Britain;Nineteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841,Q38801;Q179;Q3538
subjects.csv,Accounting,fast,a,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
subjects.csv,Accounting.,fast,a,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
subjects.csv,Accounting--France--14th century,0,a--z--y,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
