genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
Annotations (Provenance),rbprov,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102
Chronologies,lcgft,,Chronologies,http://id.worldcat.org/fast/1423901
"Manuscripts, Church Slavic--19th century",local,,"Manuscripts, Church Slavic|Nineteenth century",http://id.worldcat.org/fast/1008312|http://id.worldcat.org/fast/1037841
"Manuscripts, Judeo-Arabic--15th century",,,"Manuscripts, Judeo-Arabic|Fifteenth century",http://id.worldcat.org/fast/1008384|http://id.worldcat.org/fast/923962
"Manuscripts, Samaritan--15th century",,,"Manuscripts, Samaritan|Fifteenth century",http://id.worldcat.org/fast/1008481|http://id.worldcat.org/fast/923962
Stamps (Provenance),rbprov,,Stamps,http://id.loc.gov/vocabulary/rbmscv/cv00142
accounts,aat,,accounts,http://vocab.getty.edu/aat/300145802
books of hours,aat,,books of hours,http://vocab.getty.edu/aat/300026457
devotional calendars,aat,,devotional calendars,http://vocab.getty.edu/aat/300026750
drawings (visual works),aat,,drawings (visual works),http://vocab.getty.edu/aat/300033973
histories,aat,,histories (literary works),http://vocab.getty.edu/aat/300026358
illuminations (painting),aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
volvelles,aat,,volvelles,http://vocab.getty.edu/aat/300247651
Abridgements,aat,,abridgements,http://vocab.getty.edu/aat/300202489
Abridgments,fast,,Abridgments,http://id.worldcat.org/fast/1726571
Abridgments,lcgft,,Abridgments,http://id.worldcat.org/fast/1726571
Abstracts (summaries),aat,,abstracts (summaries),http://vocab.getty.edu/aat/300026032
Account books,aat,,account books,http://vocab.getty.edu/aat/300027483
Accounts,aat,,accounts,http://vocab.getty.edu/aat/300145802
Agreements,aat,,agreements,http://vocab.getty.edu/aat/300027628
Allegories,aat,,allegories (literary works),http://vocab.getty.edu/aat/300202507
Almanacs,aat,,almanacs,http://vocab.getty.edu/aat/300026705
Almanacs,fast,,Almanacs,http://id.worldcat.org/fast/1423872
Almanacs,lcgft,,Almanacs,http://id.worldcat.org/fast/1423872
Alphabets (symbols),aat,,alphabets (symbols),http://vocab.getty.edu/aat/300255216
Amulets,aat,,amulets,http://vocab.getty.edu/aat/300266585
Annals and chronicles,fast,,Annals and chronicles,http://id.worldcat.org/fast/1919892
Annals and chronicles,lcgft,,Annals and chronicles,http://id.worldcat.org/fast/1919892
annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100
Annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100
anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037
Anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037
Antiphonaries,aat,,antiphonaries,http://vocab.getty.edu/aat/300188812
Antiphonaries (Service books),fast,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004
Antiphonaries (Service books),lcgft,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004
Aphorisms,aat,,aphorisms,http://vocab.getty.edu/aat/300253001
Apocryphal and legendary literature,fast,,Apocryphal and legendary literature,http://id.worldcat.org/fast/1424027
Apologetic writings,fast,,Apologetic writings,http://id.worldcat.org/fast/1423698
Apologetic writings,lcgft,,Apologetic writings,http://id.worldcat.org/fast/1423698
Archives,fast,,Archives,http://id.worldcat.org/fast/1423700
Art,fast,,Art,http://id.worldcat.org/fast/815177
Art,lcgft,,Art,http://id.worldcat.org/fast/815177
Articles of incorporation,aat,,articles of incorporation,http://vocab.getty.edu/aat/300027597
Artificial grains,lobt,,artificial grains,http://w3id.org/lob/concept/1507
Atlases,aat,,atlases,http://vocab.getty.edu/aat/300028053
Autographs,aat,,autographs (manuscripts),http://vocab.getty.edu/aat/300028571
Autographs,fast,,Autographs,http://id.worldcat.org/fast/822653
Autographs (manuscripts),aat,,autographs (manuscripts),http://vocab.getty.edu/aat/300028571
Bibles,aat,,Bibles,http://vocab.getty.edu/aat/300264513
Biographies,fast,,Biographies,http://id.worldcat.org/fast/1919896
Biographies,lcgft,,Biographies,http://id.worldcat.org/fast/1919896
Biographies (literary works),aat,,biographies (literary works),http://vocab.getty.edu/aat/300080102
