ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 7B,SC MS 0431 GU 7B,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-10,https://preserve.lehigh.edu/node/450524/book-manifest,"","",14th century,1300^1399,14,http://vocab.getty.edu/aat/300404506,false,Binding fragment from a glossed gospel,"","","",Q10843;Q6034,Fragment,Q222,"Fragment, 14th century, Gospel, Gloss, Penwork initial",Q222;Q295;Q5839;Q4260;Q114399;Q10796,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 105 x 178 mm,"Layout: Fragment, 2 columns, 8 lines|Script: Gothic|Decoration: Decorated initial ""A"" in blue, with long descender into blank lower margin, with red penwork.|Binding fragment, from a Glossed Gospel, on parchment|With 'tabs' for spine reinforcements between raised bands|From the same MS as 7A","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 10A,SC MS 0431 GU 10A,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-11,https://preserve.lehigh.edu/node/450527/book-manifest,"","",ca. 1440,1420^1460,15,http://vocab.getty.edu/aat/300404465,false,Clipping of a decorated initial,"","","",Q19949,Fragment,Q222,"Fragment, 15th century, Illumination, Gradual",Q222;Q154;Q225;Q5831,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 78 x 78 mm,"Layout: Fragment, 1 initial on recto, 1 line of text and 2 partial lines of neumes on red staves on verso|Script: Gothic|Decoration: Decorated and illuminated initial ""P""|Initial cut from a manuscript, on parchment from the Murano Gradual, made for one of two Camaldolese houses on the island of Murano, Venice|With neumes and some text on the reverse.|Provenance: King Alfred's Notebook catalogue ""Enchiridion 21"" (Scott Gwara)|Provenance: Eric Millar, Keeper of Manuscripts at the British Library (1944-47)","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 10B,SC MS 0431 GU 10B,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-12,https://preserve.lehigh.edu/node/450530/book-manifest,"","",ca. 1450,1430^1470,15,http://vocab.getty.edu/aat/300404465,false,Binding fragment from a breviary,"","","",Q10843;Q657,Fragment,Q222,"Fragment, 15th century, Breviary",Q222;Q154;Q38440,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 302 x 40 mm,"Layout: Fragment, 31 lines, ruled in red ink|Script: Gothic|Decoration: Two-line blue initial E on recto|Binding fragment, from a Breviary, on parchment|Leaf cut vertically, folded twice horizontally|First line ""ligatus ig....""|Provenance: King Alfred's Notebook (Scott Gwara), purchased 3/30/2016|Provenance: Acquired as part of a lot with 10C and 10D (fragments of a different breviary).","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 10C,SC MS 0431 GU 10C,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-13,https://preserve.lehigh.edu/node/450533/book-manifest,"","",ca. 1450,1430^1470,15,http://vocab.getty.edu/aat/300404465,false,Binding fragment from a breviary,"","","",Q10843;Q657,Fragment,Q222,"Fragment, 15th century, Breviary, Penwork initial",Q222;Q154;Q38440;Q114399;Q10796,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 154 x 92 mm,"Layout: Fragment, 13 lines on recto, 11 lines of text and two lines of neumes on verso|Script: Gothic|Decoration: Several 1-line red and blue initials. Large black initial infilled with red, with black penwork.|Binding fragment, from a Breviary, on parchment|Apparently from the same manuscript as 10D.|Provenance: King Alfred's Notebook (Scott Gwara), purchased 3/30/2016|Provenance: Acquired as part of a lot with 10B and 10D.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 10D,SC MS 0431 GU 10D,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-14,https://preserve.lehigh.edu/node/450536/book-manifest,"","",ca. 1450,1430^1470,15,http://vocab.getty.edu/aat/300404465,false,Binidng fragment from a breviary,"","","",Q10843;Q657,Fragment,Q222,"Fragment, 15th century, Breviary",Q222;Q154;Q38440,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 208 x 172 mm,"Layout: Fragment, 2 columns, 17 lines|Script: Gothic|Decoration: Several 1-line red and blue initials.|Binding fragment, from a Breviary, on parchment|Apparently from the same manuscript as 10C.|Provenance: King Alfred's Notebook (Scott Gwara), purchased 3/30/2016|Provenance: Acquired as part of a lot with 10B and 10C.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 11A,SC MS 0431 GU 11A,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-15,https://preserve.lehigh.edu/node/450539/book-manifest,"","",n.d.,"",,,false,Binding fragment from a breviary,"","","",Q10843;Q657,Fragment,Q222,"Fragment, Breviary",Q222;Q38440,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 32 x 172 mm,"Layout: Fragment, 2 columns, 5 lines|Script: Gothic|Decoration: Several 1-line red initials|Binding fragment, from a Breviary, on parchment|Very narrow horizontal strip, two columns with a fold between, most likely a single leaf rather than a bifolium.|Provenance: Maggs, acquired July 2000","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 11B,SC MS 0431 GU 11B,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-16,https://preserve.lehigh.edu/node/450542/book-manifest,"","",n.d.,"",,,false,Binding fragment with extensive annotations,"","","",Q10843;Q39197,Fragment,Q222,"Fragment, Annotated",Q222;Q114400,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 79 x 118 mm,"Layout: Fragment. 1 column, 22 lines. Paraph marks in red and blue.|Decoration: Paraph marks in red and blue.|Binding fragment on parchment|Extensive marginal and interlinear annotations in another (later) hand.|Provenance: Maggs, acquired July 2000","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 13B-E,SC MS 0431 GU 13B-E,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown/four,https://preserve.lehigh.edu/node/450548/book-manifest,"","",n.d.,"",,,false,Four fragments attached to each other,"","","","",Fragment,Q222,"Fragment, France",Q222;Q152,"","","","","","","","","","","","","","","","French, Latin",Q111;Q113,Paper,Q31,Extent: Paper; 135 x 100 mm,"Layout: 3B: Single leaf, 19 lines|Layout: 3E: Single leaf, 47 lines|Layout: Other leaves pasted together.|Script: Gothic|Script: Gothic Cursive|Fragments, unidentified texts, on paper|Four leaves attached to each other, apparently used in a binding|13B-13E|13B has text in French, the first line ""Tobien qu par le ….""|Written in a formal book hand, possibly unrelated to the other three leaves|13C: Latin, in a cursive hand, has a note pasted to the top|13D and 13E, Latin, in cursive hand.|Provenance: Provenance for all items in enclosure 13, per Prof Hirsh's note: Maggs, 2001.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 13F,SC MS 0431 GU 13F,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-18,https://preserve.lehigh.edu/node/450551/book-manifest,"","",n.d.,"",,,false,Binding fragment with neumes,"","","",Q10843;Q20017,Fragment,Q222,"Fragment, Liturgy, Musical notation",Q222;Q207;Q12609,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 135 x 190 mm,"Layout: Fragment, 2 columns, 8 lines of text and neumes|Script: Gothic|Decoration: Two-line initials in red and blue, some rubrication.|Binding fragment, from a liturgical manuscript, on parchment|Neumes on red four-line staves|Tab cut out for spine reinforcement.|Provenance: Provenance for all items in enclosure 13, per Prof Hirsh's note: Maggs, 2001.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 13G,SC MS 0431 GU 13G,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-19,https://preserve.lehigh.edu/node/450554/book-manifest,"","",n.d.,"",,,false,Binding fragment from an unidentified text,"","","",Q10843,Fragment,Q222,Fragment,Q222,"","","","","","","","","","","","","","","","","",Paper,Q31,Extent: Paper; 45 x 187 mm,"Layout: Fragment, 7 lines on recto|Script: Cursive|Binding fragment, from an unidentified text, on parchment|Partly blank on the recto, with text written at 90 degrees to the denser text on the verso.|Provenance: Provenance for all items in enclosure 13, per Prof Hirsh's note: Maggs, 2001.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
