name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_qid_add,ds_id_add,instance_of,authorized_label,structured_value,ds_qid
"Saʻadia ben Joseph, 882-942",author,,,human,Saadia Gaon,Q328748,Q42761,DSNAME6069,,,,
Saʻdī,author,,,,,,,,human,Saadi,Q170302,Q3799
"Sedulius, active 5th century",author,,http://id.loc.gov/authorities/names/n84213550,,,,,,human,Coelius Sedulius,Q538564,Q7867
"Shaw, William J. 1824-",former owner,,,human,William J. Shaw,Q127510484,Q42762,DSNAME6070,,,,
"Skyrrow, John, 17th cent",author,,,human,John Skyrrow,Q127510487,Q42763,DSNAME6071,,,,
"Smith, Thomas, 1513-1577",author,,,human,Thomas Smith,Q3525572,Q41680,DSNAME5235,,,,
"Smith, Thomas, Sir, approximately 1556-1609",former owner,,,human,Thomas Smith,Q7794048,Q42764,DSNAME6072,,,,
Smoyel,author,,,human,Smoyel,Q127510455,Q42765,DSNAME6073,,,,
"Stille, Klaus von, active 15th century",author,,,human,Klaus von Stille,Q127510500,Q42766,DSNAME6074,,,,
"Suardus, Joannes",scribe,,,human,Joannes Suardus,Q127510459,Q42767,DSNAME6075,,,,
"Suetonius, approximately 69-approximately 122",author,,http://id.loc.gov/authorities/names/n50053072,,,,,,human,Suetonius,Q10133,Q1819
"Surrey, Thomas Howard, Earl of, 1517?-1547",author,,,human,"Thomas Howard, 4th Duke of Norfolk",Q278130,Q42768,DSNAME6076,,,,
"Talbot, Gilbert, Sir, of Grafton",author,,,human,Gilbert Talbot,Q16863515,Q42769,DSNAME6077,,,,
"Thomas, Aquinas, Saint, 1225?-1274",author,,http://id.loc.gov/authorities/names/n78095790,,,,,,human,Thomas Aquinas,Q9438,Q1919
"Thomson, Frank Allen",former owner,,,human,Frank Allen Thomson,Q127510486,Q42770,DSNAME6078,,,,
"Torre, Antonio de la, active 17th century",author,,,human,Antonio de la Torre,Q127510488,Q42771,DSNAME6079,,,,
"Trujillo, Gabriel de",author,,,human,Gabriel de Trujillo,Q127510462,Q42772,DSNAME6080,,,,
"Tucker, Josiah, 1712-1799",author,,,human,Josiah Tucker,Q3186047,Q42773,DSNAME6081,,,,
"Valencia, Pedro de, 1555-1620",author,,,human,Pedro de Valencia,Q3374154,Q42774,DSNAME6082,,,,
"Valenzuela Velázquez, Juan Bautista",author,,,human,Juan Valenzuela Velázquez,Q16584375,Q42775,DSNAME6083,,,,
"Valle de la Cerda, Luis, 1552-",author,,,human,Luis Valle de la Cerda,Q127510495,Q42776,DSNAME6084,,,,
"Vieira, António, 1608-1697",author,,,human,António Vieira,Q458650,Q42777,DSNAME6085,,,,
"Villegas, Antonio de",author,,,human,Antonio de Villegas,Q8201872,Q42778,DSNAME6086,,,,
"Vincent, Antoine, active 15th century",author,,,human,Antoine Vincent,Q127510450,Q42779,DSNAME6087,,,,
"Vinsterwalder, Hans, active 1525-1527",author,,,human,Hans Vinsterwalder,Q127510453,Q42780,DSNAME6088,,,,
Virgil,author,,http://id.loc.gov/authorities/names/n79014062,,,,,,human,Virgil,Q1398,Q6128
Vitruvius Pollio,author,,,human,Vitruvius,Q47163,Q42781,DSNAME6089,,,,
"Wace, approximately 1100-approximately 1175",author,,,human,Wace,Q5382,Q42782,DSNAME6090,,,,
"Weiss, Andreas, active 16th century",former owner,,,human,Andreas Weiss,Q127510457,Q42783,DSNAME6091,,,,
"Wellys, Humphrey",author,,,human,Humphrey Wellys,Q127510480,Q42784,DSNAME6092,,,,
"William, of Conches, 1080-approximately 1150",author,,http://id.loc.gov/authorities/names/n83217766,,,,,,human,William of Conches,Q615260,Q3178
"Ytelhuser, Kaspar",scribe,,,human,Kaspar Ytelhuser,Q127510456,Q42785,DSNAME6093,,,,
"Ẓahīr Fāryābī, Abū al-Faz̤l Ṭāhir ibn Muḥammad, -1201 or 1202",author,,,human,Zahir-al-Din Faryabi,Q3275850,Q42786,DSNAME6094,,,,
Ẕawqī Laʻl,author,,,human,Ẕawqī Laʻl,Q127510499,Q42787,DSNAME6095,,,,
"Zayyānī, Abū al-Qāsim ibn Aḥmad, 1734 or 5-1833",author,,,human,Abu al-Qasim al-Zayyani,Q3818171,Q42788,DSNAME6096,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"ʻAwfī, Muḥammad, active 1228",author,,,human,Muhammad Aufi,Q140584,Q42789,DSNAME6097,,,,
