name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Abbazia di Morimondo,former owner,"",http://id.loc.gov/authorities/names/nr93035920(uri) http://id.loc.gov/authorities/names/nr93035920(uri) http://viaf.org/viaf/sourceID/LC%7cnr93035920,"","",""
Abbazia di Morimondo,former owner,"",http://id.loc.gov/authorities/names/nr93035920,"","",""
"Ambrose, Saint, Bishop of Milan, -397",author,"",http://id.loc.gov/authorities/names/n79029712,human,Ambrose,Q43689
"Andersen, H. C. 1805-1875",author,"",http://id.loc.gov/authorities/names/n79022941,"","",""
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,"",http://id.loc.gov/authorities/names/n50024763,human,Anselm of Canterbury,Q43939
"Anṣārī, Zakarīyā ibn Muḥammad, approximately 1423-approximately 1520",author,"",http://id.loc.gov/authorities/names/n85197808,"","",""
"Antonio, de Sant Romà, fray",scribe,"","","","",""
"Ashburnham, Bertram, Earl of, 1797-1878",former owner,"","","","",""
"Aṭahʹlī, Muṣṭafá ibn Ḥamzah, active 17th century",author,"",http://id.loc.gov/authorities/names/nr92007691,"","",""
"Azdī, Ḥasan ibn Abī ʻAbd Allāh, active 13th century",scribe,ازدي، حسن بن ابي عبد الله، active 13th century,"","","",""
"Bacon, Edward, 1548 or 1549-1618",former owner,"",http://id.loc.gov/authorities/names/no2009126640,"","",""
"Bateman, Thomas, 1821-1861",former owner,"","","","",""
"Bateman, William, 1787-1835",former owner,"","","","",""
"Bayton, Walter",former owner,"","","","",""
"Baḥshāshī, Muḥammad ibn Muḥammad Karīm",scribe,بحشاشي، محمد بن محمد كريم,"","","",""
"Beaumont, G. de",author,"",http://id.loc.gov/authorities/names/no2005023524,"","",""
"Beerbohm, Max, Sir, 1872-1956",author,"",http://id.loc.gov/authorities/names/n80036711,"","",""
"Bragge, William, 1823-1884",former owner,"",http://id.loc.gov/authorities/names/no99021947,human,William Bragge,Q15453218
"Bromley, William, 1663?-1732",former owner,"",http://id.loc.gov/authorities/names/n84134415,"","",""
Brudenell family,former owner,"","","","",""
"Caird, Henryson",former owner,"","","","",""
"Canonici, Matteo Luigi, 1727-1805",former owner,"",http://id.loc.gov/authorities/names/nr98044437,human,Matteo Luigi Canonici,Q55226394
"Carmel de Nantes (Convent : Nantes, France)",former owner,"","","","",""
Carthusians,former owner,"",http://id.loc.gov/authorities/names/n81028890,organization,Carthusian Order,Q220979
Catholic Church,author,"",http://id.loc.gov/authorities/names/n79041716,organization,Catholic Church,Q9592
Catholic Church,author,"",http://id.loc.gov/authorities/names/n79041716(uri) http://id.loc.gov/authorities/names/n79041716(uri) http://viaf.org/viaf/sourceID/LC%7cn79041716,organization,Catholic Church,Q9592
Catholic Church,author,"","",organization,Catholic Church,Q9592
"Clarke, Thomas Shields, 1860-1920","former owner,","",http://id.loc.gov/authorities/names/no2019090329,"","",""
"Cole, William",author,"",http://id.loc.gov/authorities/names/no2016098596,"","",""
"Convento San Pedro Regalado de la Aguilero (Burgos, Spain)",former owner,"","","","",""
"Corradini Bozzi, M. S",author,"",http://id.loc.gov/authorities/names/n85129161,"","",""
"Council of Trent (1545-1563 : Trento, Italy)",author,"","","","",""
"Dickens, Charles, 1812-1870",author,"",http://id.loc.gov/authorities/names/n78087607,"","",""
"Doheny, Estelle, 1875-1958",former owner,"",http://id.loc.gov/authorities/names/nr87000737,"","",""
"Edwardes, Henry Hope, Sir, 1829-1900",former owner,"","","","",""
"Fīrūzābādī, Muḥammad ibn Yaʻqūb, 1329-1414 or 1415",author,"",http://id.loc.gov/authorities/names/n83055935,human,Fairuzabadi,Q4115262
"Folkard, Henry Coleman, 1827-1914",author,"",http://id.loc.gov/authorities/names/n88001782,"","",""
"Fraser, H. J",author,"",http://id.loc.gov/authorities/names/no2008095513,"","",""
"Garrett, Thomas Harrison, 1848-1888",former owner,"",http://id.loc.gov/authorities/names/n93099523,"","",""
"Gates, William, 1863-1940",former owner,"",http://id.loc.gov/authorities/names/n86023604,"","",""
"Gratian, active 12th century",author,"",http://id.loc.gov/authorities/names/n50032031,"","",""
"Greenlaw, William",author,"","","","",""
"Gregory, of Nazianzus, Saint",author,"",http://id.loc.gov/authorities/names/n50082276,"","",""
"Haimo, of Auxerre, -approximately 855",author,"",http://id.loc.gov/authorities/names/nr91031750(uri) http://id.loc.gov/authorities/names/nr91031750(uri) http://viaf.org/viaf/sourceID/LC%7cnr91031750,human,Haimo of Auxerre,Q2934990
"Hamilton, Alexander Hamilton Douglas, Duke of, 1767-1852",former owner,"","","","",""
"Heald, Levi",author,"","","","",""
Horace,author,"",http://id.loc.gov/authorities/names/n79081354,human,Horace,Q6197
"Hŏ, Nansŏrhŏn, 1563-1589",author,"許 蘭雪軒, 1563-1589",http://id.loc.gov/authorities/names/n81055101,"","",""
"Ibn Abī Sharīf, Muḥammad ibn Muḥammad, 1419 or 1420-1500 or 1501",author,"",http://id.loc.gov/authorities/names/nr92023224,"","",""
"Ibn Iyyāz, Ḥusayn ibn Badr, -1282 or 1283",author,ابن اياز، حسين بن بدر,http://id.loc.gov/authorities/names/no2002086349,"","",""
"Ibn Khaldūn, 1332-1406",author,ابن خلدون، 1332-1406,http://id.loc.gov/authorities/names/n50052785,"","",""
"Ibn Sayyid al-Nās, Muḥammad ibn Muḥammad, 1273?-1334",author,ابن سيد الناس، محمد بن محمد، 1273?-1334,"","","",""
"Ibn al-Asīr, Yūsuf ibn ʻAbd al-Qādir, 1816 or 1817-1889 or 1890",scribe,ابن الاسير، يوسف بن عبد القادر، 1816 or 1817-1889 or 1890,"","","",""
