subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
1700-1799,a,fast,"","",""
"Alexander, the Great, 356 B.C.-323 B.C.--Poetry--Early works to 1800.",a;c;d--v--v,0,"","",""
"Alexandria Boarding School (Alexandria, Va.)--Students--19th century--Notebooks, sketchbooks, etc.",a--x--y--v,0,"","",""
"Appiani, Jacopo, III, 1422-1474--Poetry.",a;c;d--v,0,"","",""
"Bacon, Nicholas, Sir, 1509-1579--Estate--Early works to 1800.",a;c;d--x--v,0,"","",""
"Baghawī, al-Ḥusayn ibn Masʻūd, -1117? Maṣābīḥ al-sunnah.",a;d;t,0,http://id.loc.gov/authorities/names/no2004061221,"",""
Bible. Isaiah,a;p,fast,(OCoLC)fst01808068,"",""
Bible. Isaiah--Commentaries--Early works to 1800.,a;p--v--v,0,(uri) http://id.loc.gov/authorities/names/n80002952--(uri) http://viaf.org/viaf/sourceID/LC%7cn80002952,"",""
Bible. New Testament--Commentaries--Early works to 1800.,a;p--v--y,0,"","",""
Bible. New Testament--Commentaries--Early works to 1800.,a;p--v--v,0,"","",""
Bible. New Testament--Commentaries.,a;p--v,0,"","",""
Bible. New Testament.--Greek--Commentaries.,a;p--l--v,0,"","",""
Bible. Old Testament.--Greek--Commentaries.,a;p--l--v,0,"","",""
"Bible. Psalms--Criticism, interpretation, etc.--Early works to 1800.",a;p--x--v,0,"",Bible. Psalms;Criticism and interpretation;Early works,http://id.worldcat.org/fast/1808097;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636
Bible. Revelation--Commentaries--Early works to 1800.,a;p--v--v,0,"","",""
Bible. Song of Solomon--Commentaries--Early works to 1800.,a;p--v--v,0,"","",""
"Birgivî Mehmet Efendi, approximately 1522-1573. Iẓhār al-asrār.",a;d;t,0,http://id.loc.gov/authorities/names/no2019183539,"",""
"Boner, Charles, 1815-1870",a;d,0,"","",""
"Bukhārī, Muḥammad ibn Ismāʻīl, 810-870. Jāmiʻ al-ṣaḥīḥ.",a;d;t,0,http://id.loc.gov/authorities/names/n83056202,"",""
Carmelites--Liturgy--Texts--Early works to 1800.,a--x--v--v,0,"","",""
"Cassiodorus, Senator, approximately 487-approximately 580. Expositio Psalmorum.",a;c;d;t,0,"","",""
Catholic Church--Liturgy--Texts--Early works to 1800.,a--x--v--v,0,"",Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636
Catholic Church--Prayers and devotions--Early works to 1800.,a--v--v,0,"",Catholic Church;Prayers and devotions;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636
Catholic Church--Prayers and devotions--Early works to 1800.,a--v--v,0,(uri) http://id.loc.gov/authorities/names/n79041716--(uri) http://viaf.org/viaf/sourceID/LC%7cn79041716,Catholic Church;Prayers and devotions;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636
Catholic Church--Prayers and devotions.,a--v,0,http://id.loc.gov/authorities/subjects/sh85021160,Catholic Church;Prayers and devotions,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909
Catholic Church--Sermons--Early works to 1800.,a--v--v,0,"",Catholic Church;Sermons;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423904;http://id.worldcat.org/fast/1411636
Catholic Church--Sermons--Early works to 1800.,a--v--x,0,"",Catholic Church;Sermons;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423904;http://id.worldcat.org/fast/1411636
Catholic Church.,a,fast,(OCoLC)fst00531720,Catholic Church,http://id.worldcat.org/fast/531720
Church of Scotland--Doctrines--17th century.,a--x--y,0,"","",""
Cistercians--Rules--Early works to 1800.,a--x--v,0,"","",""
"Coran--Critique, interprétation, etc.--Ouvrages avant 1800.",a--x--v,6,"","",""
"Council of Trent (1545-1563 : Trento, Italy)--Early works to 1800.",a;d;c--v,0,"",Council of Trent;Early works,http://id.worldcat.org/fast/1405600;http://id.worldcat.org/fast/1411636
"Cyrus, the Great, King of Persia, -530 B.C. or 529 B.C.--Early works to 1800.",a;c;d--v,0,"","",""
"Dāwūdī, Muḥammad ibn ʻAlī, -1538 or 1539.",a;d,0,http://id.loc.gov/authorities/names/nr2001040889,"",""
"Dickens, Charles, 1812-1870. Correspondence.",a;d;t,0,"","",""
Don Juan (Brig),a,0,"","",""
Franciscans--Liturgy--Texts--Early works to 1800.,a--x--v--v,0,"","",""
Free Soil Party.,a,viaf,http://viaf.org/viaf/6296147605370557760009,"",""
Hollander (Ship),a,0,"","",""
"Ibn Hishām, ʻAbd al-Malik, -834. Sīrat Rasūl Allāh.",a;d;t,0,"","",""
"Ibn Mālik, Muḥammad ibn ʻAbd Allāh, d. 1274. Iʻjāz al-taʻrīf fī ʻilm al-taṣrīf.",a;d;t,0,"","",""
"Ibn al-Ḥājib, ʻUthmān ibn ʻUmar, 1175-1249. Shāfiyah fī al-taṣrīf.",a;d;t,0,"","",""
"Kahler, Erich, 1885-1970.",a;d,0,http://id.loc.gov/authorities/names/n50045068,"",""
"Kisāʼī, ʻAlī ibn Ḥamzah, -804 or 805.",a;d,0,"","",""
Kitāb fī al-fiqh al-Shāfiʻī.,a,0,"","",""
Landi family.,a,0,"","",""
"Lewes, George Henry, 1817-1878. Correspondence.",a;d;t,0,"","",""
Liberty Party (U.S. : 1840-1848),a,viaf,http://viaf.org/viaf/163459646,"",""
"Mahomet, le prophète, -632--Biographie--Ouvrages avant 1800.",a;c;d--v--v,6,"","",""
"Morven (Princeton, N.J.)--Maps.",a--v,0,"","",""
"Muḥammad, Prophet, -632--Biography--Early works to 1800.",a;c;d--v--v,0,"","",""
"Muḥammad, Prophet, -632--Companions--Early works to 1800.",a;c;d--x--v,0,"","",""
"Muḥammad, Prophet, -632--Devotional literature--Early works to 1800.",a;c;d--v--v,0,"","",""
"Muḥammad, Prophet, -632--Early works to 1800.",a;c;d--v,0,(uri) http://id.loc.gov/authorities/names/n79130881--(uri) http://viaf.org/viaf/sourceID/LC%7cn79130881,"",""
"Muḥammad, Prophet, -632--Military leadership--Early works to 1800.",a;c;d--x--v,0,"","",""
"Muḥammad, Prophet, -632.",a;c;d,fast,(OCoLC)fst01836298,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298
"Muslim ibn al-Ḥajjāj al-Qushayrī, approximately 821-875. Jāmiʻ al-ṣaḥīḥ.",a;d;t,0,http://id.loc.gov/authorities/names/n84009737,"",""
"Muḥammad, Prophet, -632.",a;c;d,fast,(OCoLC)fst01836298,"",""
Orthodox Eastern Church--19th century--History--Sources.,a--y--x--v,0,"","",""
Orthodox Eastern Church--Hymns.,a--v,0,http://id.loc.gov/authorities/subjects/sh85095782,"",""
"Paz, María.",a,0,http://id.loc.gov/authorities/names/no00068418,"",""
"Princeton University--Maps, Manuscript.",a--v,0,"","",""
"Qurʼan--Criticism, interpretation, etc.--Early works to 1800.",a--x--v,0,"","",""
Qurʼan--Reading--Early works to 1800.,a--x--v,0,"","",""
Qurʼan--Readings--Early works to 1800.,a--x--v,0,"","",""
Qurʼan--Readings.,a--x,0,http://id.loc.gov/authorities/subjects/sh85072983,"",""
Qurʼan.,a,fast,(OCoLC)fst01842877,"",""
"Rives, Amélie, 1863-1945.",a,viaf,https://viaf.org/viaf/8194582,"",""
"Sājaqlīzādah, Muḥammad ibn Abī Bakr, -1737. Risālah al-Waladīyah fī al-ādāb.",a;d;t,0,"","",""
"Shāṭibī, al-Qāsim ibn Fīrruh, 1144-1194. Ḥirz al-amānī wa-wajh al-tahānī.",a;d;t,0,http://id.loc.gov/authorities/names/n93121336,"",""
"Sīrat Rasūl Allāh (Ibn Hishām, ʻAbd al-Malik)",a,fast,(OCoLC)fst01358100,"",""
"Ten commandments--Criticism, interpretation, etc.--History--Middle Ages, 600-1500.",a--x--x--y,0,"","",""
"Torsellino, Orazio, 1545-1599. Epitome historiarum a mundo conditio.",a;d;t,0,"","",""
"Velasco, Juan.",a,0,http://id.loc.gov/authorities/names/no2004103042,"",""
"Walton, Izaak, 1593-1683. Compleat angler.",a;d;t,0,http://id.loc.gov/authorities/names/n87930255,"",""
"Waterhouse, Loyal Nelson, 1826-1902.",a;d,0,"","",""
"ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn, 1325-1404. Alfīyat al-ʻIrāqī.",a;d;t,0,http://id.loc.gov/authorities/names/no2002008752,"",""
