title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Leaf from the 'St. Albans Bible',,,,,,Bible;St. Albans Bible,Q661;Q108700
"A fragmentary leaf, apparently a list of aphorisms set to music",,,,Aphorisms,Q44049,,
Fragment of a glossed Psalms,,,,Psalms,Q5972,,
Two leaves from a decorated pocket Bible,,,,Bible,Q661,,
"A leaf from Philp the Chancellor (d. 1236), Sermons",,Sermons,,Sermons,Q1400,,
"A leaf from a book of hours, in Latin with French rubrics, with miniatures or St. Francis and St. Laurence",,,,Book of hours,Q795,,
Leaf from a breviary,,,,,,Breviary,Q657
"A leaf from Thomas Aquinas, Commentary on the Sentences of Peter Lombard",,,,Commentary on Sentences,Q7516,,
A leaf from a gradual,,,,Gradual,Q1121,,
A leaf from a Processional,,,,Processional,Q1336,,
"Leaf from a Praxapostolos, in Armenian",,,,Praxapostolos,Q54353,,
"Leaf from a Breviary, use of Sarum(?)",,,,Breviary,Q657,,
"Leaf from a Book of hours, Use of Troyes",,,,Book of hours,Q795,,
"Leaf from a Book of hours, in Netherlandish",,,,Book of hours,Q795,,
"Three leaves from a Book of hours, Use of Paris",,,,Book of hours,Q795,,
Leaf from a Book of hours,,,,,,Book of hours,Q795
Leaf from a miniature Book of hours,,,,Book of hours,Q795,,
Leaf from the Chichester 'Evangelia festivalia',,,,Festivalia,Q44089,,
"Two leaves from a Book of hours, with rubrics in Netherlandish",,,,Book of hours,Q795,,
Five leaves with miniatures from the calendar of a Book of hours,,,,Book of hours;Miniatures,Q795;Q20429,,
Two leaves from a Book of hours,,,,Book of hours,Q795,,
"Grant of property, in Latin with some words in Middle English",,,,Grant,Q5982,,
Leaf from a processional,,,,Processional,Q1336,,
Leaf from a Burial service,,,,Service book,Q40008,,
Leaf from the Litany in a Book of hours,,,,Book of hours,Q795,,
Two miniatures each depicting a pope performing Mass,,,,Miniatures,Q20429,,
Miniature depicting the betrayal and arrest of Christ,,,,Miniature,Q19998,,
"Miniature by the Spanish Forger, on a cutting from an antiphonary",,,,Miniature,Q19998,,
Leaf from a Bible,,,,,,Bible,Q661
Leaf from a missal,,,,,,Missal,Q662
Leaf of a martyrology,,,,Martyrology,Q19946,,
Leaf from a folio-sized Bible,,,,Bible,Q661,,
Leaf from a psalter,,,,,,Psalter,Q660
Leaf from a Carthusian(?) hymnal,,,,Hymnal,Q666,,
Leaf from a gradual,,,,Gradual,Q1121,,
"Two leaves from a homiliary, in Armenian",,,,Homiliary,Q1338,,
"Leaf from the ""Bohun Bible""",,,,Bible;Bohun Bible,Q661;Q108701,,
Leaf from a palimpsest antiphonary (B),,,,Antiphonary,Q654,,
Leaf from a palimpsest antiphonary,,,,Antiphonary,Q654,,
"Leaf from Virgil, Aeneid",,,,Aeneid,Q5978,,
"Leaf from pseudo-Virgil, in Italian and Latin",,,,Poetry,Q1330,,
Vast leaf from an antiphonary,,,,Antiphonary,Q654,,
"Leaf from a breviary, Use of Sarum",,,,Breviary,Q657,,
"Leaf from Vincent of Beauvais, Speculum historiale",,,,Speculum historiale,Q360,,
"Leaf from Terence, Comedies",,,,Comedies,Q7275,,
"Fragments from Justinian, Institutes, glossed",,,,Institutes of Justinian,Q44088,,
Leaf from a Dominical missal,,,,Missal,Q662,,
Leaf from an anitphonary,,,,Antiphonary,Q654,,
Leaf from an antiphonary,,,,,,Antiphonary,Q654
Two leaves from a stenciled gradual,,,,Gradual,Q1121,,
Psalms 148-150,,,,Psalms,Q5972,,
Bifolium from a noted missal,,,,Missal,Q662,,
Leaf from a book of hours,,,,,,Book of hours,Q795
Leaf from the Rosenbaum Psalter-Hours,,,,Psalter,Q660,,
