row_index,ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_tgn,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_wikidata,author_instance_of,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language_iso_639-3,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
816,,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 48.|3977144,,,"[France,",http://vocab.getty.edu/tgn/1000070,,between ca. 1400 and ca. 1450],1400^1450,15,http://vocab.getty.edu/aat/300404465,,,,,De patriarchis.,,Gothic scripts.|Early works,,Theology--Early works to 1800.|Theology,,"Richard, of St. Victor, -1173.",Q1344799,human,,,,,,,,,Text in Latin.,lat,,,,,,"parchment, ill. ;","Extent: 36 leaves : parchment, ill. ; 210 x 150 (150 x 99) mm. bound to 220 x 155 mm.",,2022-02-08T17:47:39-05:00,2014-12-25,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-000.xml
817,,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 16.|3817793,,,"[Northern Italy,",http://vocab.getty.edu/tgn/4005363,,between ca. 1400 and ca. 1450.],1400^1450,15,http://vocab.getty.edu/aat/300404465,,,Antiphonal,,Antiphonarium.,,,,Divine office.|Divine office,,,,,,,,,,,,,Text in Latin.,lat,,,,,,"parchment, ill. ;","Extent: 123 leaves : parchment, ill. ; 131 x 98 (105 x 70) mm. bound to 141 x 113 mm.",,2022-02-08T17:47:39-05:00,2014-12-23,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-001.xml
818,,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 39.|3978530,,,"[Italy (Fabriano),",,,14th century],1301^1400,14,http://vocab.getty.edu/aat/300404506,,,,,Quodlibeta / James of Viterbo ...et al.,,Gothic scripts.|Parchment.|Early works,,Theology--Early works to 1800.|Mysticism.|Quaestiones disputatae.|Mysticism|Theology,,"James, of Viterbo, Archbishop of Naples, approximately 1255-1307 or 1308.",Q352625,human,,,,,,,,,Text in Latin.,lat,,,,,,"parchment, ill. ;","Extent: 121 leaves : parchment, ill. ; 226 x 170 (164 x 117) mm. bound to 236 x 180 mm.",,2022-02-08T17:47:39-05:00,2014-12-25,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-002.xml
819,,,,marc-xml,Q49115,NIC,4600 Bd. Ms. 176|6382455,,,,,,1600s.,"",,,,,Shāhnāmah,,"Shah-nameh,",,,,"Epic poetry, Persian.|Epic poetry, Persian",,Firdawsī.,Q43459,human,,,,,,,,,In Persian.,fas,,,,,,col. ill. ;,Extent: 1 v. (395 leaves) : col. ill. ; 30 cm.,,2022-02-08T17:47:39-05:00,2017-04-18,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-003.xml
820,,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 142.|3963913,,,"[Italy,",http://vocab.getty.edu/tgn/1000080,,15th century],1400^1500,15,http://vocab.getty.edu/aat/300404465,,,,,Naturalis Historia.,,Humanistic scripts.|Parchment.|Palimpsests.|Early works,,Natural history--Pre-Linnean works.|Latin literature--Natural history.|Natural history,,"Pliny, the Elder.",Q82778,human,,,,,,,,,Text in Latin.,lat,,,,,,parchment ;,Extent: 147 leaves : parchment ; 190 x 130 (125-135 x 60-65) mm. bound to 199 x 137 mm.,,2022-02-08T17:47:39-05:00,2014-12-25,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-004.xml
821,,,,marc-xml,Q49115,NIC,3313577,,,,,,"","",,,,,Office of the Blessed Virgin Mary,,Incipit officium beate Marie Virginis secundum cursum roman ...,,Miniatures (Illuminations)--Italy--15th century.|Marginal illustrations--Italy--15th century.|Prayers,,Catholic Church--Prayers and devotions--Italian.|Catholic Church--Prayers and devotions--Latin.|Catholic Church,,Catholic Church.,Q9592,organization,,,,,,,,,,,,,,,,,Extent: 1 v. (187 p.) ; 10 cm.,,2022-02-08T17:47:39-05:00,2017-09-13,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-005.xml
822,,,,marc-xml,Q49115,NIC,13128691,,,,,,1712,1712,18,http://vocab.getty.edu/aat/300404512,,,Jónsbók.,,Islaendernes lovbog :,,,,Law--Iceland.|Internal revenue--Iceland.|Internal revenue.|Law.|Iceland.,,Iceland.,Q189,organization,,,,,,,,,In Danish.,dan,|dan,,,,,,"Extent: 1 volume (2, 596 pages, some blank) ; 22 cm.",,2022-02-08T17:47:39-05:00,2021-01-18,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-006.xml
823,,,,marc-xml,Q49115,NIC,5829109,,,,,,[13--],"",,,,,,,"Sermones,",,Sermons--14th century.|Cords.,,"Sermons, Latin.|Sermons, Medieval.|Sermons, Latin|Sermons, Medieval",,,,,,,,,,,,,,,,,,,,,Extent: 1 v. (143 leaves) ; 37 cm.,,2022-02-08T17:47:39-05:00,2014-12-29,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-007.xml
824,,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 53.|3959623,,,"[Germany,",http://vocab.getty.edu/tgn/7000084,,between ca. 1453 and ca. 1483],1453^1483,15,http://vocab.getty.edu/aat/300404465,,,Miscellany.,,Tractatus de horis canonicis ...et al.,,Gothic scripts.|Early works,,Theology--Early works to 1800.|Theology,,,,,,,,,,,,,Text in Latin.,lat,,,,,,"paper, ill. ;","Extent: 138 leaves : paper, ill. ; 290 x 200 (215-40 x 145-160) mm., unbound.",,2022-02-08T17:47:39-05:00,2014-12-25,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-008.xml
825,,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 44.|3978612,,,"[Italy,",http://vocab.getty.edu/tgn/1000080,,ca. 1100],1075^1125,11;12,http://vocab.getty.edu/aat/300404503;http://vocab.getty.edu/aat/300404504,,,Commentary on the Epistle to the Romans,,Expositio super epistolam Pauli ad Romanos.,,Gothic scripts.|Parchment.|Early works,,Theology--Early works to 1800.|Theology,,Origen.,Q170472,human,,,,,,,,,Text in Latin.,lat,,,,,,"parchment, ill. ;","Extent: 190 leaves : parchment, ill. ; 260 x 180 (185 x 103) mm. bound to 274 x 189 mm.",,2022-02-08T17:47:39-05:00,2014-12-25,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/cornell/cornell-marc-009.xml
