item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q137857790,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.001.1OS",manuscript containing Bifolio from a noted Gradual,DS27126,https://search.digital-scriptorium.org/catalog/DS27126,Q103707,Q103708,Lehigh University,39151010238745|SC MS 0431.001.1OS
http://www.wikidata.org/entity/Q137857791,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.002.2OS",manuscript containing Folio from a Bolognese Bible,DS27127,https://search.digital-scriptorium.org/catalog/DS27127,Q103710,Q103711,Lehigh University,39151010238703|SC MS 0431.002.2OS
http://www.wikidata.org/entity/Q137857792,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.003.2OS",manuscript containing Binding fragment: folio from an Evangeliary,DS27128,https://search.digital-scriptorium.org/catalog/DS27128,Q103713,Q103714,Lehigh University,39151010238737|SC MS 0431.003.2OS
http://www.wikidata.org/entity/Q137857793,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.004.1",manuscript containing Binding fragment: bifolio from a Lives of the Saints manuscript,DS27129,https://search.digital-scriptorium.org/catalog/DS27129,Q103716,Q103717,Lehigh University,39151010238729|SC MS 0431.004.1
http://www.wikidata.org/entity/Q137857794,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.005.3OS",manuscript containing Binding fragment: folio from a Missal,DS27130,https://search.digital-scriptorium.org/catalog/DS27130,Q103719,Q103720,Lehigh University,39151010238711|SC MS 0431.005.3OS
http://www.wikidata.org/entity/Q137857795,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.006.3OS",manuscript containing Binding fragment: folio from a liturgical manuscript,DS27131,https://search.digital-scriptorium.org/catalog/DS27131,Q103722,Q103723,Lehigh University,39151010238695|SC MS 0431.006.3OS
http://www.wikidata.org/entity/Q137857796,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.007.1",manuscript containing Binding fragment: folio from a Missal,DS27132,https://search.digital-scriptorium.org/catalog/DS27132,Q103725,Q103726,Lehigh University,39151010238687|SC MS 0431.007.1
http://www.wikidata.org/entity/Q137857797,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.008.1",manuscript containing Binding fragment: folio from a calendar for November and December,DS27133,https://search.digital-scriptorium.org/catalog/DS27133,Q103728,Q103729,Lehigh University,39151010238679|SC MS 0431.008.1
http://www.wikidata.org/entity/Q137857798,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.009.1",manuscript containing Bifolio with prayers for the Divine Office,DS27134,https://search.digital-scriptorium.org/catalog/DS27134,Q103731,Q103732,Lehigh University,39151010238653|SC MS 0431.009.1
http://www.wikidata.org/entity/Q137857799,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.010.1","manuscript containing Binding fragment: folio from Jerome, Commentarii in Isaiam (Commentary on Isaiah)",DS27135,https://search.digital-scriptorium.org/catalog/DS27135,Q103734,Q103735,Lehigh University,39151010238638|SC MS 0431.010.1
http://www.wikidata.org/entity/Q137857800,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.011.1",manuscript containing Folios from an Ordinal or a Missal,DS27136,https://search.digital-scriptorium.org/catalog/DS27136,Q103737,Q103738,Lehigh University,39151010238646|SC MS 0431.011.1
http://www.wikidata.org/entity/Q137857801,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.012.3OS",manuscript containing Folio from a large Sarum Missal (Ege no. 20),DS27137,https://search.digital-scriptorium.org/catalog/DS27137,Q103740,Q103741,Lehigh University,39151010238562|SC MS 0431.012.3OS
http://www.wikidata.org/entity/Q137857802,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.013.1",manuscript containing Binding fragment: vertical fragment from a folio of liturgical music,DS27138,https://search.digital-scriptorium.org/catalog/DS27138,Q103743,Q103744,Lehigh University,39151010238661|SC MS 0431.013.1
http://www.wikidata.org/entity/Q137857803,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.014.1OS",manuscript containing Binding fragment: folio from a large Bible,DS27139,https://search.digital-scriptorium.org/catalog/DS27139,Q103746,Q103747,Lehigh University,39151010238554|SC MS 0431.014.1OS
http://www.wikidata.org/entity/Q137857804,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.015.2OS",manuscript containing Folio from a large East Anglian Bible,DS27140,https://search.digital-scriptorium.org/catalog/DS27140,Q103749,Q103750,Lehigh University,39151010238620|SC MS 0431.015.2OS
http://www.wikidata.org/entity/Q137857805,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.016.1OS",manuscript containing Binding fragment: folio from a large Bible (Proverbs),DS27141,https://search.digital-scriptorium.org/catalog/DS27141,Q103752,Q103753,Lehigh University,39151010238612|SC MS 0431.016.1OS
http://www.wikidata.org/entity/Q137857806,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.020.4OS",manuscript containing Binding fragment: folio from a Homoliary,DS27142,https://search.digital-scriptorium.org/catalog/DS27142,Q103755,Q103756,Lehigh University,39151010238570|SC MS 0431.020.4OS
http://www.wikidata.org/entity/Q137857807,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.021.2OS",manuscript containing Folio from a large liturgical volume,DS27143,https://search.digital-scriptorium.org/catalog/DS27143,Q103758,Q103759,Lehigh University,39151010238497|SC MS 0431.021.2OS
http://www.wikidata.org/entity/Q137857808,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.022.4OS",manuscript containing Folio from a large Antiphonal or Gradual,DS27144,https://search.digital-scriptorium.org/catalog/DS27144,Q103761,Q103762,Lehigh University,39151010238505|SC MS 0431.022.4OS
http://www.wikidata.org/entity/Q137857809,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.023.2OS","manuscript containing Three folios from Augustine, Tractatus in Iohannem",DS27145,https://search.digital-scriptorium.org/catalog/DS27145,Q103764,Q103765,Lehigh University,39151010238513|SC MS 0431.023.2OS
http://www.wikidata.org/entity/Q137857810,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.024.1",manuscript containing Binding fragment: horizontal fragment of a folio from the Second Volume of the Bury Bible,DS27146,https://search.digital-scriptorium.org/catalog/DS27146,Q103767,Q103768,Lehigh University,39151010238489|SC MS 0431.024.1
http://www.wikidata.org/entity/Q137857811,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.025.1","manuscript containing Folio from Thomas Aquinas, Catanea Aurea (Golden Chain)",DS27147,https://search.digital-scriptorium.org/catalog/DS27147,Q103770,Q103771,Lehigh University,39151010238471|SC MS 0431.025.1
http://www.wikidata.org/entity/Q137857812,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.026.1",manuscript containing Folio from a Moroccan Quran,DS27148,https://search.digital-scriptorium.org/catalog/DS27148,Q103773,Q103774,Lehigh University,39151010238463|SC MS 0431.026.1
http://www.wikidata.org/entity/Q137857813,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.027.1",manuscript containing Folio with index of Hebrew Names from a Latin Bible,DS27149,https://search.digital-scriptorium.org/catalog/DS27149,Q103776,Q103777,Lehigh University,39151010238539|SC MS 0431.027.1
http://www.wikidata.org/entity/Q137857814,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.028.1","manuscript containing Binding fragment: two folios from Gregory IX, Decretales (Decretals), with marginal commentary",DS27150,https://search.digital-scriptorium.org/catalog/DS27150,Q103779,Q103780,Lehigh University,39151010238521|SC MS 0431.028.1
http://www.wikidata.org/entity/Q137857815,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.029.2OS","manuscript containing Folio from an English Bible (Ephesians 1:1–4:11), workshop of William de Brailes",DS27151,https://search.digital-scriptorium.org/catalog/DS27151,Q103782,Q103783,Lehigh University,39151010238802|SC MS 0431.029.2OS
http://www.wikidata.org/entity/Q137857816,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.030.1",manuscript containing Binding fragment: folio from a Lectionary,DS27152,https://search.digital-scriptorium.org/catalog/DS27152,Q103785,Q103786,Lehigh University,39151010238810|SC MS 0431.030.1
http://www.wikidata.org/entity/Q137857819,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.031",manuscript containing Binding fragment: bifolio from a Missal,DS27153,https://search.digital-scriptorium.org/catalog/DS27153,Q103788,Q103789,Lehigh University,39151010238794|SC MS 0431.031
http://www.wikidata.org/entity/Q137857820,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.032.1",manuscript containing Binding fragment: folio from a Breviary with neumes (?),DS27154,https://search.digital-scriptorium.org/catalog/DS27154,Q103791,Q103792,Lehigh University,39151010239081|SC MS 0431.032.1
http://www.wikidata.org/entity/Q137857821,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.033.1",manuscript containing Binding fragment: bifolio from a liturgical manuscript,DS27155,https://search.digital-scriptorium.org/catalog/DS27155,Q103794,Q103795,Lehigh University,39151010239099|SC MS 0431.033.1
http://www.wikidata.org/entity/Q137857823,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.034.1",manuscript containing Binding fragment: folio from a noted Breviary,DS27156,https://search.digital-scriptorium.org/catalog/DS27156,Q103797,Q103798,Lehigh University,39151010238752|SC MS 0431.034.1
http://www.wikidata.org/entity/Q137857824,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.049.1",manuscript containing Folio from an East Anglian Breviary,DS27157,https://search.digital-scriptorium.org/catalog/DS27157,Q103800,Q103801,Lehigh University,39151010238760|SC MS 0431.049.1
http://www.wikidata.org/entity/Q137857825,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.050.1",manuscript containing Folio of a Quran from Persia (Shiraz?),DS27158,https://search.digital-scriptorium.org/catalog/DS27158,Q103803,Q103804,Lehigh University,39151010238919|SC MS 0431.050.1
http://www.wikidata.org/entity/Q137857826,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.051.1",manuscript containing Binding fragment: folio from a Bible (Leviticus),DS27159,https://search.digital-scriptorium.org/catalog/DS27159,Q103806,Q103807,Lehigh University,39151010238927|SC MS 0431.051.1
http://www.wikidata.org/entity/Q137857827,"Bethlehem, Pennsylvania, Lehigh University, SC MS 0431.052.1",manuscript containing Folio from a Missal,DS27160,https://search.digital-scriptorium.org/catalog/DS27160,Q103809,Q103810,Lehigh University,39151010238976|SC MS 0431.052.1
