item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131477618,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.442",manuscript containing Book of Hours,DS11859,Q50941,Q50942,Ohio State University,Spec.Rare.MS.MR.Frag.442
http://www.wikidata.org/entity/Q131477619,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.443",manuscript containing Book of Hours,DS11860,Q50944,Q50945,Ohio State University,Spec.Rare.MS.MR.Frag.443
http://www.wikidata.org/entity/Q131477620,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.444",manuscript containing Breviary,DS11861,Q50947,Q50948,Ohio State University,Spec.Rare.MS.MR.Frag.444
http://www.wikidata.org/entity/Q131477621,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.445",manuscript containing Psalter,DS11862,Q50950,Q50951,Ohio State University,Spec.Rare.MS.MR.Frag.445
http://www.wikidata.org/entity/Q131477622,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.446",manuscript containing Missal,DS11863,Q50953,Q50954,Ohio State University,Spec.Rare.MS.MR.Frag.446
http://www.wikidata.org/entity/Q131478408,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.447",manuscript containing Corpus Iuris Civilis,DS11864,Q50956,Q50957,Ohio State University,Spec.Rare.MS.MR.Frag.447
http://www.wikidata.org/entity/Q131477623,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.448",manuscript containing Bible (portable),DS11865,Q50959,Q50960,Ohio State University,Spec.Rare.MS.MR.Frag.448
http://www.wikidata.org/entity/Q131477626,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.449",manuscript containing Missal,DS11866,Q50962,Q50963,Ohio State University,Spec.Rare.MS.MR.Frag.449
http://www.wikidata.org/entity/Q131477627,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.450",manuscript containing Breviary,DS11867,Q50965,Q50966,Ohio State University,Spec.Rare.MS.MR.Frag.450
http://www.wikidata.org/entity/Q131477628,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.451",manuscript containing Missal,DS11868,Q50968,Q50969,Ohio State University,Spec.Rare.MS.MR.Frag.451
http://www.wikidata.org/entity/Q131478410,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.452",manuscript containing Decretalium,DS11869,Q50971,Q50972,Ohio State University,Spec.Rare.MS.MR.Frag.452
http://www.wikidata.org/entity/Q131477624,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.453",manuscript containing Breviary,DS11870,Q50974,Q50975,Ohio State University,Spec.Rare.MS.MR.Frag.453
