item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131784737,"Brunswick, New Jersey, Rutgers University, MC 1231:02",manuscript containing Sacramentary,DS484,Q2413,Q2414,Rutgers University,MC 1231:02
http://www.wikidata.org/entity/Q131784756,"Brunswick, New Jersey, Rutgers University, MC 1231:03",manuscript containing Historia ecclesiastica,DS485,Q2416,Q2417,Rutgers University,MC 1231:03
http://www.wikidata.org/entity/Q131784738,"Brunswick, New Jersey, Rutgers University, MC 1231:07","manuscript containing Breviary, noted",DS486,Q2419,Q2420,Rutgers University,MC 1231:07
http://www.wikidata.org/entity/Q131784739,"Brunswick, New Jersey, Rutgers University, MC 1231:05",manuscript containing Missal,DS487,Q2422,Q2423,Rutgers University,MC 1231:05
http://www.wikidata.org/entity/Q131784758,"Brunswick, New Jersey, Rutgers University, MC 1231:06",manuscript containing Digestum novumwith gloss,DS488,Q2425,Q2426,Rutgers University,MC 1231:06
http://www.wikidata.org/entity/Q131784740,"Brunswick, New Jersey, Rutgers University, MC 1231:11",manuscript containing Homiliary,DS489,Q2428,Q2429,Rutgers University,MC 1231:11
http://www.wikidata.org/entity/Q131784759,"Brunswick, New Jersey, Rutgers University, MC 1231:14",manuscript containing Historia destructionis Troiae,DS490,Q2431,Q2432,Rutgers University,MC 1231:14
http://www.wikidata.org/entity/Q131784741,"Brunswick, New Jersey, Rutgers University, MC 1231:15",manuscript containing Sermons,DS491,Q2434,Q2435,Rutgers University,MC 1231:15
http://www.wikidata.org/entity/Q131784742,"Brunswick, New Jersey, Rutgers University, MC 1231:16",manuscript containing Commentaries on Acts of the Apostles,DS492,Q2437,Q2438,Rutgers University,MC 1231:16
http://www.wikidata.org/entity/Q131784743,"Brunswick, New Jersey, Rutgers University, MC 1231:12",manuscript containing Sermons,DS493,Q2440,Q2441,Rutgers University,MC 1231:12
http://www.wikidata.org/entity/Q131784744,"Brunswick, New Jersey, Rutgers University, MC 1231:08",manuscript containing Bible,DS494,Q2443,Q2444,Rutgers University,MC 1231:08
http://www.wikidata.org/entity/Q131784760,"Brunswick, New Jersey, Rutgers University, MC 1231:13",manuscript containing Digestum novumwith gloss,DS495,Q2446,Q2447,Rutgers University,MC 1231:13
http://www.wikidata.org/entity/Q131784745,"Brunswick, New Jersey, Rutgers University, MC 1231:10",manuscript containing Lectionary,DS496,Q2449,Q2450,Rutgers University,MC 1231:10
http://www.wikidata.org/entity/Q131784746,"Brunswick, New Jersey, Rutgers University, MC 1231:09",manuscript containing Lectionary,DS497,Q2452,Q2453,Rutgers University,MC 1231:09
http://www.wikidata.org/entity/Q131784761,"Brunswick, New Jersey, Rutgers University, MC 1231:04",manuscript containing Der ordo iudiciarius,DS498,Q2455,Q2456,Rutgers University,MC 1231:04
